C_EGDA_M,C_cat_M,Q1_mL_min,Q2_mL_min,Q_total_mL_min,T_C,beta_model_weight,design_mode,eig_evaluated,eig_model,eig_param,governor_state,n_positions,rank,resource_penalty,round,scenario,screen_score,seed,selected,strategy,utility_total,z_positions_m
2.0,2.0,0.25,0.25,0.5,140.0,1.0,eig,1,0.0,0.8748325152870441,NORMAL_LEARNING,10,2,0.0,5,S1_ideal,2.0120653645081603,1,1,F,0.8748325152870441,0.0561;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,1.0,0.25,0.25,0.5,160.0,1.0,eig,1,0.0,0.5207559361052277,NORMAL_LEARNING,10,3,0.0,5,S1_ideal,2.006602362179457,1,0,F,0.5207559361052277,0.0414;0.0561;0.0708;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,4,nan,5,S1_ideal,2.0061059787003543,1,0,F,nan,0.0267;0.0414;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,1.0,1.0,2.0,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,5,nan,5,S1_ideal,1.9396288376482076,1,0,F,nan,0.1002;0.1149;0.1296;0.1443;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,0.5,0.25,0.25,0.5,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,6,nan,5,S1_ideal,1.9150677207863964,1,0,F,nan,0.1002;0.1149;0.1296;0.1443;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,0.5,1.0,1.0,2.0,160.0,1.0,eig,1,0.0,0.6462107470667581,NORMAL_LEARNING,10,1,0.0,6,S1_ideal,1.4153257847838745,1,0,F,0.6462107470667581,0.4236;0.4383;0.453;0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559
2.0,2.0,4.0,4.0,8.0,160.0,1.0,eig,1,0.0,1.0082089867825337,NORMAL_LEARNING,10,2,0.0,6,S1_ideal,1.4075473126757814,1,1,F,1.0082089867825337,0.4383;0.453;0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706
2.0,0.1,0.25,0.25,0.5,160.0,1.0,eig,1,0.0,0.8315270106187668,NORMAL_LEARNING,10,3,0.0,6,S1_ideal,1.4067309078622756,1,0,F,0.8315270106187668,0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,1.0,1.0,1.0,2.0,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,4,nan,6,S1_ideal,1.3956822071081731,1,0,F,nan,0.1884;0.2031;0.2178;0.2325;0.2472;0.2619;0.2766;0.2913;0.306;0.3207
2.0,2.0,1.0,1.0,2.0,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,5,nan,6,S1_ideal,1.3560413287298942,1,0,F,nan,0.0855;0.1002;0.1149;0.1296;0.1443;0.159;0.1737;0.1884;0.5853;0.6
