basis,boot_ci_hi,boot_ci_lo,mean,median,metric,n_faulted_cumulative,n_in_summary,n_observed,n_total,q25,q75,round,scenario,strategy
observed,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,3,S1_ideal,A
locf,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,3,S1_ideal,A
observed,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,3,S1_ideal,A
locf,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,3,S1_ideal,A
observed,5112.041366413582,5112.041366413582,5112.041366413582,5112.041366413582,time_s,0,40,40,40,5112.041366413582,5112.041366413582,3,S1_ideal,A
locf,5112.041366413582,5112.041366413582,5112.041366413582,5112.041366413582,time_s,0,40,40,40,5112.041366413582,5112.041366413582,3,S1_ideal,A
observed,0.04260034472011319,0.04260034472011319,0.04260034472011319,0.04260034472011319,egda_mol,0,40,40,40,0.04260034472011319,0.04260034472011319,3,S1_ideal,A
locf,0.04260034472011319,0.04260034472011319,0.04260034472011319,0.04260034472011319,egda_mol,0,40,40,40,0.04260034472011319,0.04260034472011319,3,S1_ideal,A
observed,28.999647733259792,28.999647733259792,28.999647733259792,28.999647733259792,energy_kJ,0,40,40,40,28.999647733259792,28.999647733259792,3,S1_ideal,A
locf,28.999647733259792,28.999647733259792,28.999647733259792,28.999647733259792,energy_kJ,0,40,40,40,28.999647733259792,28.999647733259792,3,S1_ideal,A
observed,3.0,3.0,3.0,3.0,nmr_acquisitions,0,40,40,40,3.0,3.0,3,S1_ideal,A
locf,3.0,3.0,3.0,3.0,nmr_acquisitions,0,40,40,40,3.0,3.0,3,S1_ideal,A
observed,3.0,3.0,3.0,3.0,spatial_samples,0,40,40,40,3.0,3.0,3,S1_ideal,A
locf,3.0,3.0,3.0,3.0,spatial_samples,0,40,40,40,3.0,3.0,3,S1_ideal,A
observed,170.28798741000958,136.36284997462874,160.7219095358683,151.30533902873464,param_err_pct,0,40,40,40,112.48180820006779,177.8634432065536,4,S1_ideal,A
locf,170.28798741000958,136.36284997462874,160.7219095358683,151.30533902873464,param_err_pct,0,40,40,40,112.48180820006779,177.8634432065536,4,S1_ideal,A
observed,0.04473274547891122,0.04060522396873789,0.04400825410962029,0.042132481121544246,blind_rmse_M,0,40,40,40,0.037308879650495036,0.0484928003983635,4,S1_ideal,A
locf,0.04473274547891122,0.03997502244185563,0.04400825410962029,0.042132481121544246,blind_rmse_M,0,40,40,40,0.037308879650495036,0.0484928003983635,4,S1_ideal,A
observed,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,4,S1_ideal,A
locf,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,4,S1_ideal,A
observed,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,4,S1_ideal,A
locf,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,4,S1_ideal,A
observed,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,4,S1_ideal,A
locf,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,4,S1_ideal,A
observed,6930.340869503824,6930.340869503824,6930.340869503825,6930.340869503824,time_s,0,40,40,40,6930.340869503824,6930.340869503824,4,S1_ideal,A
locf,6930.340869503824,6930.340869503824,6930.340869503825,6930.340869503824,time_s,0,40,40,40,6930.340869503824,6930.340869503824,4,S1_ideal,A
observed,0.05775284057919854,0.05775284057919854,0.057752840579198536,0.05775284057919854,egda_mol,0,40,40,40,0.05775284057919854,0.05775284057919854,4,S1_ideal,A
locf,0.05775284057919854,0.05775284057919854,0.057752840579198536,0.05775284057919854,egda_mol,0,40,40,40,0.05775284057919854,0.05775284057919854,4,S1_ideal,A
observed,45.985906647918135,45.985906647918135,45.985906647918135,45.985906647918135,energy_kJ,0,40,40,40,45.985906647918135,45.985906647918135,4,S1_ideal,A
locf,45.985906647918135,45.985906647918135,45.985906647918135,45.985906647918135,energy_kJ,0,40,40,40,45.985906647918135,45.985906647918135,4,S1_ideal,A
observed,4.0,4.0,4.0,4.0,nmr_acquisitions,0,40,40,40,4.0,4.0,4,S1_ideal,A
locf,4.0,4.0,4.0,4.0,nmr_acquisitions,0,40,40,40,4.0,4.0,4,S1_ideal,A
observed,4.0,4.0,4.0,4.0,spatial_samples,0,40,40,40,4.0,4.0,4,S1_ideal,A
locf,4.0,4.0,4.0,4.0,spatial_samples,0,40,40,40,4.0,4.0,4,S1_ideal,A
observed,148.15599573231336,104.62737006426121,130.5304180792583,120.58570351614907,param_err_pct,0,40,40,40,102.04465089534618,170.20935049855774,5,S1_ideal,A
locf,148.15599573231336,104.58129088245764,130.5304180792583,120.58570351614907,param_err_pct,0,40,40,40,102.04465089534618,170.20935049855774,5,S1_ideal,A
observed,0.03943972356659228,0.022787392344515586,0.030850605643057305,0.037671637024813825,blind_rmse_M,0,40,40,40,0.018683386935457662,0.041363119550130625,5,S1_ideal,A
locf,0.0397676982266063,0.021834838769095193,0.030850605643057305,0.037671637024813825,blind_rmse_M,0,40,40,40,0.018683386935457662,0.041363119550130625,5,S1_ideal,A
observed,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,5,S1_ideal,A
locf,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,5,S1_ideal,A
observed,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,5,S1_ideal,A
locf,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,5,S1_ideal,A
observed,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,5,S1_ideal,A
locf,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,5,S1_ideal,A
observed,8748.640372594065,8748.640372594065,8748.640372594065,8748.640372594065,time_s,0,40,40,40,8748.640372594065,8748.640372594065,5,S1_ideal,A
locf,8748.640372594065,8748.640372594065,8748.640372594065,8748.640372594065,time_s,0,40,40,40,8748.640372594065,8748.640372594065,5,S1_ideal,A
observed,0.0729053364382839,0.0729053364382839,0.0729053364382839,0.0729053364382839,egda_mol,0,40,40,40,0.0729053364382839,0.0729053364382839,5,S1_ideal,A
locf,0.0729053364382839,0.0729053364382839,0.0729053364382839,0.0729053364382839,egda_mol,0,40,40,40,0.0729053364382839,0.0729053364382839,5,S1_ideal,A
observed,65.14373468340996,65.14373468340996,65.14373468340996,65.14373468340996,energy_kJ,0,40,40,40,65.14373468340996,65.14373468340996,5,S1_ideal,A
locf,65.14373468340996,65.14373468340996,65.14373468340996,65.14373468340996,energy_kJ,0,40,40,40,65.14373468340996,65.14373468340996,5,S1_ideal,A
observed,5.0,5.0,5.0,5.0,nmr_acquisitions,0,40,40,40,5.0,5.0,5,S1_ideal,A
locf,5.0,5.0,5.0,5.0,nmr_acquisitions,0,40,40,40,5.0,5.0,5,S1_ideal,A
observed,5.0,5.0,5.0,5.0,spatial_samples,0,40,40,40,5.0,5.0,5,S1_ideal,A
locf,5.0,5.0,5.0,5.0,spatial_samples,0,40,40,40,5.0,5.0,5,S1_ideal,A
observed,128.35878365307903,88.57082044095563,105.2902131673505,108.36307386113737,param_err_pct,0,40,40,40,73.98089089912185,138.86740864333822,6,S1_ideal,A
locf,125.91164373752083,86.76780708271217,105.2902131673505,108.36307386113737,param_err_pct,0,40,40,40,73.98089089912185,138.86740864333822,6,S1_ideal,A
observed,0.02021256425636858,0.01738396336590993,0.02224720060553537,0.018295101596926402,blind_rmse_M,0,40,40,40,0.016396465118056827,0.03731474190917374,6,S1_ideal,A
locf,0.02021256425636858,0.017441489444114965,0.02224720060553537,0.018295101596926402,blind_rmse_M,0,40,40,40,0.016396465118056827,0.03731474190917374,6,S1_ideal,A
observed,10000.0,10000.0,9903.54839685087,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,6,S1_ideal,A
locf,10000.0,10000.0,9903.54839685087,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,6,S1_ideal,A
observed,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,6,S1_ideal,A
locf,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,6,S1_ideal,A
observed,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,6,S1_ideal,A
locf,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,6,S1_ideal,A
observed,10566.939875684307,10566.939875684307,10566.939875684307,10566.939875684307,time_s,0,40,40,40,10566.939875684307,10566.939875684307,6,S1_ideal,A
locf,10566.939875684307,10566.939875684307,10566.939875684307,10566.939875684307,time_s,0,40,40,40,10566.939875684307,10566.939875684307,6,S1_ideal,A
observed,0.08805783229736924,0.08805783229736924,0.08805783229736924,0.08805783229736924,egda_mol,0,40,40,40,0.08805783229736924,0.08805783229736924,6,S1_ideal,A
locf,0.08805783229736924,0.08805783229736924,0.08805783229736924,0.08805783229736924,egda_mol,0,40,40,40,0.08805783229736924,0.08805783229736924,6,S1_ideal,A
observed,86.47313183973527,86.47313183973527,86.47313183973527,86.47313183973527,energy_kJ,0,40,40,40,86.47313183973527,86.47313183973527,6,S1_ideal,A
locf,86.47313183973527,86.47313183973527,86.47313183973527,86.47313183973527,energy_kJ,0,40,40,40,86.47313183973527,86.47313183973527,6,S1_ideal,A
observed,6.0,6.0,6.0,6.0,nmr_acquisitions,0,40,40,40,6.0,6.0,6,S1_ideal,A
locf,6.0,6.0,6.0,6.0,nmr_acquisitions,0,40,40,40,6.0,6.0,6,S1_ideal,A
observed,6.0,6.0,6.0,6.0,spatial_samples,0,40,40,40,6.0,6.0,6,S1_ideal,A
locf,6.0,6.0,6.0,6.0,spatial_samples,0,40,40,40,6.0,6.0,6,S1_ideal,A
observed,64.45131955660794,49.8589293367222,66.65422356256161,53.731213398619694,param_err_pct,0,40,40,40,47.85339595488196,71.79785418280797,7,S1_ideal,A
locf,64.45131955660794,50.098973580449105,66.65422356256161,53.731213398619694,param_err_pct,0,40,40,40,47.85339595488196,71.79785418280797,7,S1_ideal,A
observed,0.014088447745716626,0.005167409726297182,0.010160467730763576,0.010542426343118826,blind_rmse_M,0,40,40,40,0.004517225628832624,0.0157372175938049,7,S1_ideal,A
locf,0.014088447745716626,0.005167409726297182,0.010160467730763576,0.010542426343118826,blind_rmse_M,0,40,40,40,0.004517225628832624,0.0157372175938049,7,S1_ideal,A
observed,10000.0,7079.140427479314,7211.650666130355,10000.0,max_rel_ci_pct,0,40,40,40,4202.457038153038,10000.0,7,S1_ideal,A
locf,10000.0,7007.3033923280655,7211.650666130355,10000.0,max_rel_ci_pct,0,40,40,40,4202.457038153038,10000.0,7,S1_ideal,A
observed,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,7,S1_ideal,A
locf,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,7,S1_ideal,A
observed,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,7,S1_ideal,A
locf,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,7,S1_ideal,A
observed,12385.23937877455,12385.23937877455,12385.23937877455,12385.23937877455,time_s,0,40,40,40,12385.23937877455,12385.23937877455,7,S1_ideal,A
locf,12385.23937877455,12385.23937877455,12385.23937877455,12385.23937877455,time_s,0,40,40,40,12385.23937877455,12385.23937877455,7,S1_ideal,A
observed,0.10321032815645459,0.10321032815645459,0.10321032815645459,0.10321032815645459,egda_mol,0,40,40,40,0.10321032815645459,0.10321032815645459,7,S1_ideal,A
locf,0.10321032815645459,0.10321032815645459,0.10321032815645459,0.10321032815645459,egda_mol,0,40,40,40,0.10321032815645459,0.10321032815645459,7,S1_ideal,A
observed,109.9740981168941,109.9740981168941,109.97409811689411,109.9740981168941,energy_kJ,0,40,40,40,109.9740981168941,109.9740981168941,7,S1_ideal,A
locf,109.9740981168941,109.9740981168941,109.97409811689411,109.9740981168941,energy_kJ,0,40,40,40,109.9740981168941,109.9740981168941,7,S1_ideal,A
observed,7.0,7.0,7.0,7.0,nmr_acquisitions,0,40,40,40,7.0,7.0,7,S1_ideal,A
