x_m,tau_s,X_EGDA,Y_EGMA,Y_EG
1.83000000e-02,1.37978749e+01,7.90796322e-01,4.68610536e-01,3.22185786e-01
1.86000000e-02,1.40240696e+01,7.96032422e-01,4.67150694e-01,3.28881728e-01
1.89000000e-02,1.42502643e+01,8.01134847e-01,4.65583208e-01,3.35551640e-01
1.92000000e-02,1.44764589e+01,8.06107039e-01,4.63913065e-01,3.42193974e-01
1.95000000e-02,1.47026536e+01,8.10952350e-01,4.62145091e-01,3.48807259e-01
1.98000000e-02,1.49288483e+01,8.15674047e-01,4.60283954e-01,3.55390093e-01
2.01000000e-02,1.51550430e+01,8.20275313e-01,4.58334170e-01,3.61941143e-01
2.04000000e-02,1.53812376e+01,8.24759249e-01,4.56300107e-01,3.68459142e-01
2.07000000e-02,1.56074323e+01,8.29128875e-01,4.54185987e-01,3.74942887e-01
2.10000000e-02,1.58336270e+01,8.33387132e-01,4.51995895e-01,3.81391238e-01
2.13000000e-02,1.60598216e+01,8.37536889e-01,4.49733777e-01,3.87803113e-01
2.16000000e-02,1.62860163e+01,8.41580938e-01,4.47403449e-01,3.94177489e-01
2.19000000e-02,1.65122110e+01,8.45521999e-01,4.45008598e-01,4.00513401e-01
2.22000000e-02,1.67384057e+01,8.49362723e-01,4.42552789e-01,4.06809934e-01
2.25000000e-02,1.69646003e+01,8.53105691e-01,4.40039463e-01,4.13066228e-01
2.28000000e-02,1.71907950e+01,8.56753419e-01,4.37471945e-01,4.19281474e-01
2.31000000e-02,1.74169897e+01,8.60308358e-01,4.34853447e-01,4.25454911e-01
2.34000000e-02,1.76431843e+01,8.63772894e-01,4.32187071e-01,4.31585823e-01
2.37000000e-02,1.78693790e+01,8.67149353e-01,4.29475809e-01,4.37673544e-01
2.40000000e-02,1.80955737e+01,8.70440000e-01,4.26722553e-01,4.43717447e-01
2.43000000e-02,1.83217684e+01,8.73647043e-01,4.23930091e-01,4.49716952e-01
2.46000000e-02,1.85479630e+01,8.76772631e-01,4.21101115e-01,4.55671516e-01
2.49000000e-02,1.87741577e+01,8.79818858e-01,4.18238220e-01,4.61580638e-01
2.52000000e-02,1.90003524e+01,8.82787765e-01,4.15343910e-01,4.67443855e-01
2.55000000e-02,1.92265470e+01,8.85681340e-01,4.12420601e-01,4.73260739e-01
2.58000000e-02,1.94527417e+01,8.88501518e-01,4.09470619e-01,4.79030899e-01
2.61000000e-02,1.96789364e+01,8.91250186e-01,4.06496209e-01,4.84753977e-01
2.64000000e-02,1.99051311e+01,8.93929182e-01,4.03499533e-01,4.90429649e-01
2.67000000e-02,2.01313257e+01,8.96540295e-01,4.00482672e-01,4.96057622e-01
2.70000000e-02,2.03575204e+01,8.99085269e-01,3.97447635e-01,5.01637634e-01
2.73000000e-02,2.05837151e+01,9.01565803e-01,3.94396351e-01,5.07169451e-01
2.76000000e-02,2.08099097e+01,9.03983551e-01,3.91330682e-01,5.12652870e-01
2.79000000e-02,2.10361044e+01,9.06340127e-01,3.88252415e-01,5.18087712e-01
2.82000000e-02,2.12622991e+01,9.08637099e-01,3.85163273e-01,5.23473826e-01
2.85000000e-02,2.14884938e+01,9.10875998e-01,3.82064912e-01,5.28811087e-01
2.88000000e-02,2.17146884e+01,9.13058315e-01,3.78958923e-01,5.34099392e-01
2.91000000e-02,2.19408831e+01,9.15185501e-01,3.75846838e-01,5.39338663e-01
2.94000000e-02,2.21670778e+01,9.17258970e-01,3.72730126e-01,5.44528844e-01
2.97000000e-02,2.23932724e+01,9.19280100e-01,3.69610200e-01,5.49669900e-01
3.00000000e-02,2.26194671e+01,9.21250234e-01,3.66488416e-01,5.54761818e-01
3.03000000e-02,2.28456618e+01,9.23170678e-01,3.63366077e-01,5.59804602e-01
3.06000000e-02,2.30718564e+01,9.25042707e-01,3.60244430e-01,5.64798277e-01
3.09000000e-02,2.32980511e+01,9.26867561e-01,3.57124674e-01,5.69742887e-01
3.12000000e-02,2.35242458e+01,9.28646449e-01,3.54007957e-01,5.74638492e-01
3.15000000e-02,2.37504405e+01,9.30380548e-01,3.50895379e-01,5.79485169e-01
3.18000000e-02,2.39766351e+01,9.32071005e-01,3.47787995e-01,5.84283011e-01
3.21000000e-02,2.42028298e+01,9.33718939e-01,3.44686813e-01,5.89032126e-01
3.24000000e-02,2.44290245e+01,9.35325437e-01,3.41592799e-01,5.93732639e-01
3.27000000e-02,2.46552191e+01,9.36891560e-01,3.38506875e-01,5.98384685e-01
3.30000000e-02,2.48814138e+01,9.38418341e-01,3.35429925e-01,6.02988416e-01
3.33000000e-02,2.51076085e+01,9.39906787e-01,3.32362792e-01,6.07543995e-01
3.36000000e-02,2.53338032e+01,9.41357877e-01,3.29306280e-01,6.12051597e-01
