x_m,tau_s,X_EGDA,Y_EGMA,Y_EG
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-04,2.26194671e-01,6.75097647e-04,6.74984562e-04,1.13085563e-07
6.00000000e-04,4.52389342e-01,1.34973731e-03,1.34928511e-03,4.52194158e-07
9.00000000e-04,6.78584013e-01,2.02391929e-03,2.02290220e-03,1.01709288e-06
1.20000000e-03,9.04778684e-01,2.69764391e-03,2.69583636e-03,1.80755160e-06
1.50000000e-03,1.13097336e+00,3.37091146e-03,3.36808812e-03,2.82334013e-06
1.80000000e-03,1.35716803e+00,4.04372227e-03,4.03965804e-03,4.06422843e-06
2.10000000e-03,1.58336270e+00,4.71607663e-03,4.71054664e-03,5.52998665e-06
2.40000000e-03,1.80955737e+00,5.38797485e-03,5.38075446e-03,7.22038512e-06
2.70000000e-03,2.03575204e+00,6.05941724e-03,6.05028205e-03,9.13519436e-06
3.00000000e-03,2.26194671e+00,6.73040411e-03,6.71912992e-03,1.12741850e-05
3.30000000e-03,2.48814138e+00,7.40093576e-03,7.38729863e-03,1.36371280e-05
3.60000000e-03,2.71433605e+00,8.07101250e-03,8.05478871e-03,1.62237944e-05
3.90000000e-03,2.94053072e+00,8.74063464e-03,8.72160068e-03,1.90339553e-05
4.20000000e-03,3.16672539e+00,9.40980248e-03,9.38773510e-03,2.20673822e-05
4.50000000e-03,3.39292007e+00,1.00785163e-02,1.00531925e-02,2.53238467e-05
4.80000000e-03,3.61911474e+00,1.07467765e-02,1.07179734e-02,2.88031205e-05
5.10000000e-03,3.84530941e+00,1.14145833e-02,1.13820783e-02,3.25049755e-05
5.40000000e-03,4.07150408e+00,1.20819370e-02,1.20455078e-02,3.64291838e-05
5.70000000e-03,4.29769875e+00,1.27488379e-02,1.27082624e-02,4.05755178e-05
6.00000000e-03,4.52389342e+00,1.34152864e-02,1.33703426e-02,4.49437498e-05
6.30000000e-03,4.75008809e+00,1.40812827e-02,1.40317490e-02,4.95336526e-05
6.60000000e-03,4.97628276e+00,1.47468271e-02,1.46924821e-02,5.43449989e-05
6.90000000e-03,5.20247743e+00,1.54119200e-02,1.53525425e-02,5.93775618e-05
7.20000000e-03,5.42867211e+00,1.60765617e-02,1.60119306e-02,6.46311143e-05
7.50000000e-03,5.65486678e+00,1.67407524e-02,1.66706470e-02,7.01054299e-05
7.80000000e-03,5.88106145e+00,1.74044925e-02,1.73286922e-02,7.58002821e-05
8.10000000e-03,6.10725612e+00,1.80677822e-02,1.79860668e-02,8.17154445e-05
8.40000000e-03,6.33345079e+00,1.87306219e-02,1.86427712e-02,8.78506911e-05
8.70000000e-03,6.55964546e+00,1.93930119e-02,1.92988061e-02,9.42057959e-05
9.00000000e-03,6.78584013e+00,2.00549524e-02,1.99541719e-02,1.00780533e-04
9.30000000e-03,7.01203480e+00,2.07164439e-02,2.06088692e-02,1.07574677e-04
9.60000000e-03,7.23822947e+00,2.13774864e-02,2.12628984e-02,1.14588002e-04
9.90000000e-03,7.46442414e+00,2.20380805e-02,2.19162602e-02,1.21820284e-04
1.02000000e-02,7.69061882e+00,2.26982264e-02,2.25689551e-02,1.29271297e-04
1.05000000e-02,7.91681349e+00,2.33579243e-02,2.32209835e-02,1.36940815e-04
1.08000000e-02,8.14300816e+00,2.40171747e-02,2.38723460e-02,1.44828615e-04
1.11000000e-02,8.36920283e+00,2.46759777e-02,2.45230432e-02,1.52934472e-04
1.14000000e-02,8.59539750e+00,2.53343337e-02,2.51730755e-02,1.61258162e-04
1.17000000e-02,8.82159217e+00,2.59922430e-02,2.58224435e-02,1.69799460e-04
1.20000000e-02,9.04778684e+00,2.66497059e-02,2.64711477e-02,1.78558142e-04
1.23000000e-02,9.27398151e+00,2.73067226e-02,2.71191887e-02,1.87533984e-04
1.26000000e-02,9.50017618e+00,2.79632936e-02,2.77665668e-02,1.96726764e-04
1.29000000e-02,9.72637086e+00,2.86194191e-02,2.84132828e-02,2.06136256e-04
1.32000000e-02,9.95256553e+00,2.92750993e-02,2.90593371e-02,2.15762238e-04
1.35000000e-02,1.01787602e+01,2.99303347e-02,2.97047302e-02,2.25604487e-04
1.38000000e-02,1.04049549e+01,3.05851254e-02,3.03494626e-02,2.35662780e-04
1.41000000e-02,1.06311495e+01,3.12394718e-02,3.09935349e-02,2.45936894e-04
1.44000000e-02,1.08573442e+01,3.18933743e-02,3.16369476e-02,2.56426606e-04
1.47000000e-02,1.10835389e+01,3.25468330e-02,3.22797013e-02,2.67131694e-04
1.50000000e-02,1.13097336e+01,3.31998483e-02,3.29217963e-02,2.78051936e-04
1.53000000e-02,1.15359282e+01,3.38524204e-02,3.35632333e-02,2.89187109e-04
1.56000000e-02,1.17621229e+01,3.45045498e-02,3.42040128e-02,3.00536992e-04
1.59000000e-02,1.19883176e+01,3.51562367e-02,3.48441353e-02,3.12101362e-04
1.62000000e-02,1.22145122e+01,3.58074813e-02,3.54836013e-02,3.23879999e-04
1.65000000e-02,1.24407069e+01,3.64582840e-02,3.61224113e-02,3.35872681e-04
1.68000000e-02,1.26669016e+01,3.71086451e-02,3.67605659e-02,3.48079186e-04
1.71000000e-02,1.28930963e+01,3.77585649e-02,3.73980656e-02,3.60499294e-04
1.74000000e-02,1.31192909e+01,3.84080436e-02,3.80349109e-02,3.73132783e-04
1.77000000e-02,1.33454856e+01,3.90570817e-02,3.86711022e-02,3.85979433e-04
1.80000000e-02,1.35716803e+01,3.97056792e-02,3.93066402e-02,3.99039024e-04
1.83000000e-02,1.37978749e+01,4.03538367e-02,3.99415254e-02,4.12311334e-04
1.86000000e-02,1.40240696e+01,4.10015543e-02,4.05757581e-02,4.25796145e-04
1.89000000e-02,1.42502643e+01,4.16488324e-02,4.12093391e-02,4.39493235e-04
