x_m,tau_s,C_EGDA_mol_L,C_EGMA_mol_L,C_EG_mol_L,C_AcOH_mol_L,C_H2O_mol_L,C_OH_mol_L,X_EGDA,Y_EGMA,Y_EG
0.00000000e+00,0.00000000e+00,2.50000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.12020538e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-04,2.26194671e-01,2.49831226e-01,1.68746140e-04,2.82713909e-08,1.68802683e-04,5.12018850e+01,0.00000000e+00,6.75097647e-04,6.74984562e-04,1.13085563e-07
6.00000000e-04,4.52389342e-01,2.49662566e-01,3.37321278e-04,1.13048540e-07,3.37547375e-04,5.12017163e+01,0.00000000e+00,1.34973731e-03,1.34928511e-03,4.52194158e-07
9.00000000e-04,6.78584013e-01,2.49494020e-01,5.05725550e-04,2.54273220e-07,5.06234096e-04,5.12015476e+01,0.00000000e+00,2.02391929e-03,2.02290220e-03,1.01709288e-06
1.20000000e-03,9.04778684e-01,2.49325589e-01,6.73959089e-04,4.51887901e-07,6.74862865e-04,5.12013790e+01,0.00000000e+00,2.69764391e-03,2.69583636e-03,1.80755160e-06
1.50000000e-03,1.13097336e+00,2.49157272e-01,8.42022031e-04,7.05835032e-07,8.43433701e-04,5.12012104e+01,0.00000000e+00,3.37091146e-03,3.36808812e-03,2.82334013e-06
1.80000000e-03,1.35716803e+00,2.48989069e-01,1.00991451e-03,1.01605711e-06,1.01194662e-03,5.12010419e+01,0.00000000e+00,4.04372227e-03,4.03965804e-03,4.06422843e-06
2.10000000e-03,1.58336270e+00,2.48820981e-01,1.17763666e-03,1.38249666e-06,1.18040165e-03,5.12008734e+01,0.00000000e+00,4.71607663e-03,4.71054664e-03,5.52998665e-06
2.40000000e-03,1.80955737e+00,2.48653006e-01,1.34518862e-03,1.80509628e-06,1.34879881e-03,5.12007050e+01,0.00000000e+00,5.38797485e-03,5.38075446e-03,7.22038512e-06
2.70000000e-03,2.03575204e+00,2.48485146e-01,1.51257051e-03,2.28379859e-06,1.51713811e-03,5.12005367e+01,0.00000000e+00,6.05941724e-03,6.05028205e-03,9.13519436e-06
3.00000000e-03,2.26194671e+00,2.48317399e-01,1.67978248e-03,2.81854626e-06,1.68541957e-03,5.12003684e+01,0.00000000e+00,6.73040411e-03,6.71912992e-03,1.12741850e-05
3.30000000e-03,2.48814138e+00,2.48149766e-01,1.84682466e-03,3.40928201e-06,1.85364322e-03,5.12002002e+01,0.00000000e+00,7.40093576e-03,7.38729863e-03,1.36371280e-05
