x_m,tau_s,C_EGDA_mol_L,C_EGMA_mol_L,C_EG_mol_L,C_AcOH_mol_L,C_H2O_mol_L,C_OH_mol_L,X_EGDA,Y_EGMA,Y_EG
0.00000000e+00,0.00000000e+00,2.50000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.12020538e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-03,7.53982237e-01,2.40279402e-01,9.61453444e-03,1.06063662e-04,9.82666177e-03,5.11922272e+01,0.00000000e+00,3.88823924e-02,3.84581378e-02,4.24254646e-04
2.00000000e-03,1.50796447e+00,2.30938672e-01,1.86457256e-02,4.15602085e-04,1.94769297e-02,5.11825769e+01,0.00000000e+00,7.62453106e-02,7.45829022e-02,1.66240834e-03
3.00000000e-03,2.26194671e+00,2.21963023e-01,2.71208895e-02,9.16088036e-04,2.89530655e-02,5.11731008e+01,0.00000000e+00,1.12147910e-01,1.08483558e-01,3.66435214e-03
4.00000000e-03,3.01592895e+00,2.13338232e-01,3.50661910e-02,1.59557657e-03,3.82573442e-02,5.11637965e+01,0.00000000e+00,1.46647070e-01,1.40264764e-01,6.38230628e-03
5.00000000e-03,3.76991118e+00,2.05050630e-01,4.25066895e-02,2.44268097e-03,4.73920514e-02,5.11546618e+01,0.00000000e+00,1.79797482e-01,1.70026758e-01,9.77072387e-03
6.00000000e-03,4.52389342e+00,1.97087068e-01,4.94663820e-02,3.44654959e-03,5.63594811e-02,5.11456944e+01,0.00000000e+00,2.11651726e-01,1.97865528e-01,1.37861983e-02
7.00000000e-03,5.27787566e+00,1.89434910e-01,5.59682460e-02,4.59684361e-03,6.51619332e-02,5.11368919e+01,0.00000000e+00,2.42260358e-01,2.23872984e-01,1.83873744e-02
8.00000000e-03,6.03185789e+00,1.82082005e-01,6.20342798e-02,5.88371565e-03,7.38017111e-02,5.11282521e+01,0.00000000e+00,2.71671982e-01,2.48137119e-01,2.35348626e-02
9.00000000e-03,6.78584013e+00,1.75016670e-01,6.76855413e-02,7.29778916e-03,8.22811196e-02,5.11197727e+01,0.00000000e+00,2.99933322e-01,2.70742165e-01,2.91911566e-02
1.00000000e-02,7.53982237e+00,1.68227675e-01,7.29421860e-02,8.83013867e-03,9.06024634e-02,5.11114514e+01,0.00000000e+00,3.27089299e-01,2.91768744e-01,3.53205547e-02
1.10000000e-02,8.29380461e+00,1.61704226e-01,7.78235029e-02,1.04722708e-02,9.87680444e-02,5.11032858e+01,0.00000000e+00,3.53183094e-01,3.11294011e-01,4.18890830e-02
1.20000000e-02,9.04778684e+00,1.55435945e-01,8.23479489e-02,1.22161058e-02,1.06780161e-01,5.10952737e+01,0.00000000e+00,3.78256219e-01,3.29391796e-01,4.88644232e-02
1.30000000e-02,9.80176908e+00,1.49412856e-01,8.65331833e-02,1.40539603e-02,1.14641104e-01,5.10874127e+01,0.00000000e+00,4.02348574e-01,3.46132733e-01,5.62158414e-02
1.40000000e-02,1.05557513e+01,1.43625371e-01,9.03960987e-02,1.59785303e-02,1.22353159e-01,5.10797007e+01,0.00000000e+00,4.25498516e-01,3.61584395e-01,6.39141214e-02
1.50000000e-02,1.13097336e+01,1.38064272e-01,9.39528529e-02,1.79828749e-02,1.29918603e-01,5.10721352e+01,0.00000000e+00,4.47742911e-01,3.75811412e-01,7.19314994e-02
1.60000000e-02,1.20637158e+01,1.32720701e-01,9.72188984e-02,2.00604005e-02,1.37339699e-01,5.10647141e+01,0.00000000e+00,4.69117196e-01,3.88875594e-01,8.02416020e-02
1.70000000e-02,1.28176980e+01,1.27586143e-01,1.00209011e-01,2.22048464e-02,1.44618704e-01,5.10574351e+01,0.00000000e+00,4.89655429e-01,4.00836043e-01,8.88193858e-02
1.80000000e-02,1.35716803e+01,1.22652413e-01,1.02937317e-01,2.44102701e-02,1.51757857e-01,5.10502960e+01,0.00000000e+00,5.09390347e-01,4.11749266e-01,9.76410805e-02
1.90000000e-02,1.43256625e+01,1.17911647e-01,1.05417319e-01,2.66710334e-02,1.58759386e-01,5.10432945e+01,0.00000000e+00,5.28353411e-01,4.21669278e-01,1.06684134e-01
2.00000000e-02,1.50796447e+01,1.13356285e-01,1.07661926e-01,2.89817893e-02,1.65625504e-01,5.10364283e+01,0.00000000e+00,5.46574861e-01,4.30647703e-01,1.15927157e-01
2.10000000e-02,1.58336270e+01,1.08979061e-01,1.09683469e-01,3.13374693e-02,1.72358408e-01,5.10296954e+01,0.00000000e+00,5.64083755e-01,4.38733878e-01,1.25349877e-01
2.20000000e-02,1.65876092e+01,1.04772994e-01,1.11493735e-01,3.37332710e-02,1.78960277e-01,5.10230936e+01,0.00000000e+00,5.80908022e-01,4.45974938e-01,1.34933084e-01
2.30000000e-02,1.73415914e+01,1.00731374e-01,1.13103979e-01,3.61646466e-02,1.85433272e-01,5.10166206e+01,0.00000000e+00,5.97074502e-01,4.52415916e-01,1.44658586e-01
2.40000000e-02,1.80955737e+01,9.68477533e-02,1.14524955e-01,3.86272916e-02,1.91779538e-01,5.10102743e+01,0.00000000e+00,6.12608987e-01,4.58099820e-01,1.54509166e-01
