x_m,C_EGMA_T40C,C_EGMA_T70C,C_EGMA_T100C,C_EGMA_T130C,C_EGMA_T150C
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-03,3.19179193e-05,2.02234158e-04,9.50455693e-04,3.52605651e-03,7.55700889e-03
2.00000000e-03,6.38298542e-05,4.04222738e-04,1.89537734e-03,6.97437222e-03,1.47510981e-02
3.00000000e-03,9.57358056e-05,6.05965972e-04,2.83478990e-03,1.03462698e-02,2.15956909e-02
4.00000000e-03,1.27635774e-04,8.07464092e-04,3.76871821e-03,1.36430516e-02,2.81037642e-02
5.00000000e-03,1.59529761e-04,1.00871733e-03,4.69718703e-03,1.68660001e-02,3.42878618e-02
6.00000000e-03,1.91417767e-04,1.20972591e-03,5.62022101e-03,2.00163781e-02,4.01601086e-02
7.00000000e-03,2.23299792e-04,1.41049008e-03,6.53784468e-03,2.30954288e-02,4.57322233e-02
8.00000000e-03,2.55175839e-04,1.61101006e-03,7.45008250e-03,2.61043766e-02,5.10155313e-02
9.00000000e-03,2.87045907e-04,1.81128607e-03,8.35695881e-03,2.90444268e-02,5.60209771e-02
1.00000000e-02,3.18909998e-04,2.01131836e-03,9.25849787e-03,3.19167663e-02,6.07591361e-02
1.10000000e-02,3.50768112e-04,2.21110715e-03,1.01547238e-02,3.47225635e-02,6.52402266e-02
1.20000000e-02,3.82620250e-04,2.41065267e-03,1.10456607e-02,3.74629690e-02,6.94741207e-02
1.30000000e-02,4.14466414e-04,2.60995516e-03,1.19313325e-02,4.01391154e-02,7.34703555e-02
1.40000000e-02,4.46306604e-04,2.80901484e-03,1.28117631e-02,4.27521180e-02,7.72381438e-02
1.50000000e-02,4.78140820e-04,3.00783193e-03,1.36869762e-02,4.53030746e-02,8.07863839e-02
1.60000000e-02,5.09969065e-04,3.20640668e-03,1.45569954e-02,4.77930662e-02,8.41236703e-02
1.70000000e-02,5.41791338e-04,3.40473931e-03,1.54218444e-02,5.02231569e-02,8.72583029e-02
1.80000000e-02,5.73607641e-04,3.60283004e-03,1.62815466e-02,5.25943943e-02,9.01982964e-02
1.90000000e-02,6.05417974e-04,3.80067912e-03,1.71361254e-02,5.49078097e-02,9.29513899e-02
2.00000000e-02,6.37222339e-04,3.99828676e-03,1.79856041e-02,5.71644184e-02,9.55250550e-02
2.10000000e-02,6.69020736e-04,4.19565319e-03,1.88300058e-02,5.93652199e-02,9.79265050e-02
2.20000000e-02,7.00813166e-04,4.39277865e-03,1.96693536e-02,6.15111979e-02,1.00162703e-01
2.30000000e-02,7.32599629e-04,4.58966335e-03,2.05036706e-02,6.36033211e-02,1.02240369e-01
2.40000000e-02,7.64380128e-04,4.78630754e-03,2.13329796e-02,6.56425428e-02,1.04165991e-01
2.50000000e-02,7.96154662e-04,4.98271143e-03,2.21573035e-02,6.76298014e-02,1.05945828e-01
2.60000000e-02,8.27923233e-04,5.17887525e-03,2.29766649e-02,6.95660208e-02,1.07585919e-01
2.70000000e-02,8.59685842e-04,5.37479923e-03,2.37910865e-02,7.14521101e-02,1.09092093e-01
2.80000000e-02,8.91442488e-04,5.57048360e-03,2.46005908e-02,7.32889645e-02,1.10469973e-01
2.90000000e-02,9.23193174e-04,5.76592858e-03,2.54052002e-02,7.50774648e-02,1.11724981e-01
3.00000000e-02,9.54937900e-04,5.96113441e-03,2.62049372e-02,7.68184781e-02,1.12862350e-01
3.10000000e-02,9.86676667e-04,6.15610130e-03,2.69998238e-02,7.85128580e-02,1.13887123e-01
3.20000000e-02,1.01840948e-03,6.35082948e-03,2.77898824e-02,8.01614443e-02,1.14804168e-01
3.30000000e-02,1.05013633e-03,6.54531919e-03,2.85751349e-02,8.17650639e-02,1.15618175e-01
3.40000000e-02,1.08185722e-03,6.73957063e-03,2.93556034e-02,8.33245303e-02,1.16333667e-01
3.50000000e-02,1.11357216e-03,6.93358405e-03,3.01313098e-02,8.48406445e-02,1.16955005e-01
3.60000000e-02,1.14528115e-03,7.12735967e-03,3.09022758e-02,8.63141945e-02,1.17486391e-01
3.70000000e-02,1.17698418e-03,7.32089770e-03,3.16685232e-02,8.77459560e-02,1.17931876e-01
3.80000000e-02,1.20868125e-03,7.51419838e-03,3.24300735e-02,8.91366923e-02,1.18295363e-01
3.90000000e-02,1.24037238e-03,7.70726194e-03,3.31869484e-02,9.04871547e-02,1.18580614e-01
4.00000000e-02,1.27205756e-03,7.90008858e-03,3.39391692e-02,9.17980823e-02,1.18791252e-01
4.10000000e-02,1.30373678e-03,8.09267855e-03,3.46867573e-02,9.30702027e-02,1.18930767e-01
4.20000000e-02,1.33541005e-03,8.28503207e-03,3.54297341e-02,9.43042318e-02,1.19002521e-01
4.30000000e-02,1.36707738e-03,8.47714935e-03,3.61681206e-02,9.55008741e-02,1.19009753e-01
4.40000000e-02,1.39873876e-03,8.66903062e-03,3.69019380e-02,9.66608227e-02,1.18955579e-01
4.50000000e-02,1.43039419e-03,8.86067611e-03,3.76312072e-02,9.77847598e-02,1.18843001e-01
4.60000000e-02,1.46204368e-03,9.05208604e-03,3.83559493e-02,9.88733566e-02,1.18674908e-01
4.70000000e-02,1.49368722e-03,9.24326064e-03,3.90761850e-02,9.99272736e-02,1.18454081e-01
4.80000000e-02,1.52532481e-03,9.43420011e-03,3.97919352e-02,1.00947161e-01,1.18183196e-01
4.90000000e-02,1.55695647e-03,9.62490470e-03,4.05032203e-02,1.01933657e-01,1.17864828e-01
5.00000000e-02,1.58858218e-03,9.81537462e-03,4.12100611e-02,1.02887392e-01,1.17501454e-01
5.10000000e-02,1.62020195e-03,1.00056101e-02,4.19124781e-02,1.03808984e-01,1.17095455e-01
5.20000000e-02,1.65181577e-03,1.01956113e-02,4.26104916e-02,1.04699043e-01,1.16649124e-01
5.30000000e-02,1.68342366e-03,1.03853786e-02,4.33041220e-02,1.05558168e-01,1.16164664e-01
5.40000000e-02,1.71502561e-03,1.05749121e-02,4.39933895e-02,1.06386947e-01,1.15644192e-01
5.50000000e-02,1.74662162e-03,1.07642120e-02,4.46783143e-02,1.07185962e-01,1.15089744e-01
5.60000000e-02,1.77821170e-03,1.09532786e-02,4.53589164e-02,1.07955782e-01,1.14503277e-01
5.70000000e-02,1.80979583e-03,1.11421120e-02,4.60352159e-02,1.08696969e-01,1.13886670e-01
5.80000000e-02,1.84137404e-03,1.13307126e-02,4.67072327e-02,1.09410075e-01,1.13241728e-01
5.90000000e-02,1.87294630e-03,1.15190805e-02,4.73749866e-02,1.10095643e-01,1.12570186e-01
6.00000000e-02,1.90451264e-03,1.17072159e-02,4.80384973e-02,1.10754208e-01,1.11873709e-01
6.10000000e-02,1.93607304e-03,1.18951192e-02,4.86977846e-02,1.11386294e-01,1.11153896e-01
6.20000000e-02,1.96762751e-03,1.20827904e-02,4.93528679e-02,1.11992420e-01,1.10412280e-01
6.30000000e-02,1.99917604e-03,1.22702298e-02,5.00037669e-02,1.12573094e-01,1.09650334e-01
6.40000000e-02,2.03071865e-03,1.24574376e-02,5.06505009e-02,1.13128815e-01,1.08869470e-01
6.50000000e-02,2.06225533e-03,1.26444141e-02,5.12930893e-02,1.13660076e-01,1.08071042e-01
6.60000000e-02,2.09378608e-03,1.28311595e-02,5.19315513e-02,1.14167361e-01,1.07256350e-01
6.70000000e-02,2.12531090e-03,1.30176740e-02,5.25659061e-02,1.14651145e-01,1.06426638e-01
6.80000000e-02,2.15682979e-03,1.32039577e-02,5.31961729e-02,1.15111898e-01,1.05583099e-01
6.90000000e-02,2.18834276e-03,1.33900110e-02,5.38223707e-02,1.15550079e-01,1.04726877e-01
7.00000000e-02,2.21984981e-03,1.35758341e-02,5.44445184e-02,1.15966141e-01,1.03859066e-01
7.10000000e-02,2.25135093e-03,1.37614271e-02,5.50626348e-02,1.16360529e-01,1.02980714e-01
7.20000000e-02,2.28284612e-03,1.39467903e-02,5.56767389e-02,1.16733683e-01,1.02092825e-01
7.30000000e-02,2.31433540e-03,1.41319239e-02,5.62868492e-02,1.17086031e-01,1.01196358e-01
7.40000000e-02,2.34581875e-03,1.43168281e-02,5.68929844e-02,1.17417998e-01,1.00292233e-01
7.50000000e-02,2.37729618e-03,1.45015032e-02,5.74951631e-02,1.17730000e-01,9.93813267e-02
7.60000000e-02,2.40876769e-03,1.46859493e-02,5.80934038e-02,1.18022448e-01,9.84644789e-02
7.70000000e-02,2.44023328e-03,1.48701667e-02,5.86877249e-02,1.18295742e-01,9.75424915e-02
7.80000000e-02,2.47169296e-03,1.50541555e-02,5.92781447e-02,1.18550281e-01,9.66161304e-02
7.90000000e-02,2.50314671e-03,1.52379161e-02,5.98646814e-02,1.18786452e-01,9.56861269e-02
8.00000000e-02,2.53459455e-03,1.54214487e-02,6.04473533e-02,1.19004639e-01,9.47531788e-02
8.10000000e-02,2.56603648e-03,1.56047533e-02,6.10261784e-02,1.19205219e-01,9.38179517e-02
8.20000000e-02,2.59747249e-03,1.57878303e-02,6.16011748e-02,1.19388561e-01,9.28810802e-02
8.30000000e-02,2.62890259e-03,1.59706799e-02,6.21723603e-02,1.19555029e-01,9.19431691e-02
8.40000000e-02,2.66032677e-03,1.61533023e-02,6.27397530e-02,1.19704982e-01,9.10047943e-02
8.50000000e-02,2.69174504e-03,1.63356977e-02,6.33033706e-02,1.19838770e-01,9.00665041e-02
8.60000000e-02,2.72315740e-03,1.65178664e-02,6.38632308e-02,1.19956740e-01,8.91288202e-02
8.70000000e-02,2.75456385e-03,1.66998084e-02,6.44193513e-02,1.20059232e-01,8.81922384e-02
8.80000000e-02,2.78596439e-03,1.68815242e-02,6.49717497e-02,1.20146579e-01,8.72572302e-02
8.90000000e-02,2.81735902e-03,1.70630138e-02,6.55204435e-02,1.20219111e-01,8.63242429e-02
9.00000000e-02,2.84874775e-03,1.72442774e-02,6.60654501e-02,1.20277149e-01,8.53937012e-02
9.10000000e-02,2.88013057e-03,1.74253154e-02,6.66067868e-02,1.20321013e-01,8.44660078e-02
9.20000000e-02,2.91150748e-03,1.76061279e-02,6.71444711e-02,1.20351012e-01,8.35415442e-02
9.30000000e-02,2.94287848e-03,1.77867152e-02,6.76785200e-02,1.20367455e-01,8.26206715e-02
9.40000000e-02,2.97424359e-03,1.79670774e-02,6.82089508e-02,1.20370643e-01,8.17037315e-02
9.50000000e-02,3.00560278e-03,1.81472147e-02,6.87357805e-02,1.20360871e-01,8.07910468e-02
9.60000000e-02,3.03695608e-03,1.83271274e-02,6.92590261e-02,1.20338431e-01,7.98829222e-02
9.70000000e-02,3.06830348e-03,1.85068158e-02,6.97787046e-02,1.20303609e-01,7.89796451e-02
9.80000000e-02,3.09964497e-03,1.86862799e-02,7.02948328e-02,1.20256686e-01,7.80814862e-02
9.90000000e-02,3.13098056e-03,1.88655200e-02,7.08074275e-02,1.20197939e-01,7.71887002e-02
1.00000000e-01,3.16231026e-03,1.90445364e-02,7.13165055e-02,1.20127639e-01,7.63015263e-02
1.01000000e-01,3.19363405e-03,1.92233292e-02,7.18220834e-02,1.20046053e-01,7.54201891e-02
1.02000000e-01,3.22495195e-03,1.94018986e-02,7.23241777e-02,1.19953443e-01,7.45448988e-02
1.03000000e-01,3.25626396e-03,1.95802450e-02,7.28228051e-02,1.19850068e-01,7.36758523e-02
1.04000000e-01,3.28757006e-03,1.97583684e-02,7.33179819e-02,1.19736179e-01,7.28132330e-02
1.05000000e-01,3.31887028e-03,1.99362691e-02,7.38097246e-02,1.19612026e-01,7.19572122e-02
1.06000000e-01,3.35016459e-03,2.01139473e-02,7.42980493e-02,1.19477853e-01,7.11079489e-02
1.07000000e-01,3.38145302e-03,2.02914032e-02,7.47829725e-02,1.19333900e-01,7.02655907e-02
1.08000000e-01,3.41273555e-03,2.04686371e-02,7.52645102e-02,1.19180403e-01,6.94302740e-02
1.09000000e-01,3.44401219e-03,2.06456491e-02,7.57426786e-02,1.19017595e-01,6.86021249e-02
1.10000000e-01,3.47528295e-03,2.08224395e-02,7.62174936e-02,1.18845702e-01,6.77812590e-02
1.11000000e-01,3.50654781e-03,2.09990084e-02,7.66889714e-02,1.18664948e-01,6.69677824e-02
1.12000000e-01,3.53780678e-03,2.11753561e-02,7.71571277e-02,1.18475553e-01,6.61617919e-02
1.13000000e-01,3.56905987e-03,2.13514828e-02,7.76219784e-02,1.18277733e-01,6.53633754e-02
1.14000000e-01,3.60030707e-03,2.15273887e-02,7.80835393e-02,1.18071699e-01,6.45726121e-02
1.15000000e-01,3.63154838e-03,2.17030740e-02,7.85418261e-02,1.17857661e-01,6.37895731e-02
1.16000000e-01,3.66278381e-03,2.18785389e-02,7.89968544e-02,1.17635821e-01,6.30143220e-02
1.17000000e-01,3.69401335e-03,2.20537837e-02,7.94486399e-02,1.17406382e-01,6.22469145e-02
1.18000000e-01,3.72523701e-03,2.22288085e-02,7.98971979e-02,1.17169540e-01,6.14873996e-02
1.19000000e-01,3.75645478e-03,2.24036135e-02,8.03425440e-02,1.16925489e-01,6.07358190e-02
1.20000000e-01,3.78766668e-03,2.25781990e-02,8.07846936e-02,1.16674419e-01,5.99922084e-02
1.21000000e-01,3.81887269e-03,2.27525652e-02,8.12236619e-02,1.16416517e-01,5.92565971e-02
1.22000000e-01,3.85007283e-03,2.29267123e-02,8.16594642e-02,1.16151967e-01,5.85290084e-02
1.23000000e-01,3.88126708e-03,2.31006404e-02,8.20921157e-02,1.15880948e-01,5.78094600e-02
1.24000000e-01,3.91245546e-03,2.32743498e-02,8.25216315e-02,1.15603637e-01,5.70979642e-02
1.25000000e-01,3.94363796e-03,2.34478408e-02,8.29480266e-02,1.15320208e-01,5.63945284e-02
1.26000000e-01,3.97481458e-03,2.36211135e-02,8.33713162e-02,1.15030831e-01,5.56991549e-02
1.27000000e-01,4.00598533e-03,2.37941680e-02,8.37915150e-02,1.14735674e-01,5.50118413e-02
1.28000000e-01,4.03715020e-03,2.39670048e-02,8.42086380e-02,1.14434900e-01,5.43325810e-02
