T_C,X_EGDA,Y_EGMA,Y_EG
4.00000000e+01,2.52119126e-02,2.50625502e-02,1.49362353e-04
4.50000000e+01,3.49623838e-02,3.46701945e-02,2.92189346e-04
5.00000000e+01,4.79061216e-02,4.73473343e-02,5.58787306e-04
5.50000000e+01,6.48583783e-02,6.38132264e-02,1.04515194e-03
6.00000000e+01,8.67472789e-02,8.48348911e-02,1.91238777e-03
6.50000000e+01,1.14583781e-01,1.11160343e-01,3.42343755e-03
7.00000000e+01,1.49402675e-01,1.43407941e-01,5.99473416e-03
7.50000000e+01,1.92165455e-01,1.81901245e-01,1.02642098e-02
8.00000000e+01,2.43618051e-01,2.26445168e-01,1.71728830e-02
8.50000000e+01,3.04103064e-01,2.76054136e-01,2.80489280e-02
9.00000000e+01,3.73339147e-01,3.28669569e-01,4.46695776e-02
9.50000000e+01,4.50200535e-01,3.80942524e-01,6.92580117e-02
1.00000000e+02,5.32555075e-01,4.28200867e-01,1.04354209e-01
1.05000000e+02,6.17241461e-01,4.64749460e-01,1.52492001e-01
1.10000000e+02,7.00270267e-01,4.84632065e-01,2.15638202e-01
1.15000000e+02,7.77298999e-01,4.82874577e-01,2.94424422e-01
1.20000000e+02,8.44345871e-01,4.57012037e-01,3.87333834e-01
1.25000000e+02,8.98583616e-01,4.08425663e-01,4.90157953e-01
1.30000000e+02,9.38948744e-01,3.42831546e-01,5.96117198e-01
1.35000000e+02,9.66298263e-01,2.69381985e-01,6.96916278e-01
1.40000000e+02,9.83001823e-01,1.98380480e-01,7.84621343e-01
1.45000000e+02,9.92123842e-01,1.38387635e-01,8.53736207e-01
1.50000000e+02,9.96560965e-01,9.39987684e-02,9.02562196e-01
