x_m,tau_s,C_EGDA_mol_L,C_EGMA_mol_L,C_EG_mol_L,C_AcOH_mol_L,C_H2O_mol_L,C_OH_mol_L,X_EGDA,Y_EGMA,Y_EG
0.00000000e+00,0.00000000e+00,2.50000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.39242298e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-04,2.26194671e-01,2.48932684e-01,1.06605926e-03,1.25714660e-06,1.06857355e-03,5.39231612e+01,0.00000000e+00,4.26926561e-03,4.26423703e-03,5.02858640e-06
6.00000000e-04,4.52389342e-01,2.47869945e-01,2.12503756e-03,5.01738512e-06,2.13507233e-03,5.39220947e+01,0.00000000e+00,8.52021976e-03,8.50015022e-03,2.00695405e-05
9.00000000e-04,6.78584013e-01,2.46811765e-01,3.17697119e-03,1.12639753e-05,3.19949914e-03,5.39210303e+01,0.00000000e+00,1.27529407e-02,1.27078848e-02,4.50559013e-05
1.20000000e-03,9.04778684e-01,2.45758123e-01,4.22189629e-03,1.99802623e-05,4.26185682e-03,5.39199680e+01,0.00000000e+00,1.69675062e-02,1.68875852e-02,7.99210491e-05
1.50000000e-03,1.13097336e+00,2.44709002e-01,5.25984882e-03,3.11496757e-05,5.32214817e-03,5.39189077e+01,0.00000000e+00,2.11639940e-02,2.10393953e-02,1.24598703e-04
1.80000000e-03,1.35716803e+00,2.43664380e-01,6.29086456e-03,4.47557293e-05,6.38037602e-03,5.39178494e+01,0.00000000e+00,2.53424811e-02,2.51634582e-02,1.79022917e-04
2.10000000e-03,1.58336270e+00,2.42624239e-01,7.31497914e-03,6.07820205e-05,7.43654319e-03,5.39167933e+01,0.00000000e+00,2.95030447e-02,2.92599166e-02,2.43128082e-04
2.40000000e-03,1.80955737e+00,2.41588560e-01,8.33222804e-03,7.92122303e-05,8.49065250e-03,5.39157392e+01,0.00000000e+00,3.36457611e-02,3.33289122e-02,3.16848921e-04
2.70000000e-03,2.03575204e+00,2.40557323e-01,9.34264654e-03,1.00030123e-04,9.54270679e-03,5.39146871e+01,0.00000000e+00,3.77707067e-02,3.73705862e-02,4.00120493e-04
3.00000000e-03,2.26194671e+00,2.39530511e-01,1.03462698e-02,1.23219547e-04,1.05927089e-02,5.39136371e+01,0.00000000e+00,4.18779574e-02,4.13850792e-02,4.92878187e-04
3.30000000e-03,2.48814138e+00,2.38508103e-01,1.13431328e-02,1.48764430e-04,1.16406616e-02,5.39125891e+01,0.00000000e+00,4.59675888e-02,4.53725310e-02,5.95057719e-04
3.60000000e-03,2.71433605e+00,2.37490081e-01,1.23332703e-02,1.76648783e-04,1.26865678e-02,5.39115432e+01,0.00000000e+00,5.00396762e-02,4.93330810e-02,7.06595132e-04
3.90000000e-03,2.94053072e+00,2.36476426e-01,1.33167169e-02,2.06856699e-04,1.37304303e-02,5.39104994e+01,0.00000000e+00,5.40942945e-02,5.32668678e-02,8.27426795e-04
4.20000000e-03,3.16672539e+00,2.35467120e-01,1.42935073e-02,2.39372350e-04,1.47722520e-02,5.39094576e+01,0.00000000e+00,5.81315186e-02,5.71740292e-02,9.57489400e-04
4.50000000e-03,3.39292007e+00,2.34462144e-01,1.52636757e-02,2.74179992e-04,1.58120356e-02,5.39084178e+01,0.00000000e+00,6.21514226e-02,6.10547026e-02,1.09671997e-03
4.80000000e-03,3.61911474e+00,2.33461480e-01,1.62272562e-02,3.11263959e-04,1.68497841e-02,5.39073800e+01,0.00000000e+00,6.61540806e-02,6.49090248e-02,1.24505584e-03
5.10000000e-03,3.84530941e+00,2.32465108e-01,1.71842829e-02,3.50608667e-04,1.78855003e-02,5.39063443e+01,0.00000000e+00,7.01395664e-02,6.87371318e-02,1.40243467e-03
5.40000000e-03,4.07150408e+00,2.31473012e-01,1.81347897e-02,3.92198611e-04,1.89191869e-02,5.39053106e+01,0.00000000e+00,7.41079533e-02,7.25391589e-02,1.56879445e-03
5.70000000e-03,4.29769875e+00,2.30485171e-01,1.90788103e-02,4.36018365e-04,1.99508470e-02,5.39042790e+01,0.00000000e+00,7.80593145e-02,7.63152410e-02,1.74407346e-03
6.00000000e-03,4.52389342e+00,2.29501569e-01,2.00163781e-02,4.82052581e-04,2.09804833e-02,5.39032493e+01,0.00000000e+00,8.19937227e-02,8.00655124e-02,1.92821033e-03
6.30000000e-03,4.75008809e+00,2.28522187e-01,2.09475266e-02,5.30285992e-04,2.20080986e-02,5.39022217e+01,0.00000000e+00,8.59112504e-02,8.37901064e-02,2.12114397e-03
6.60000000e-03,4.97628276e+00,2.27547008e-01,2.18722890e-02,5.80703407e-04,2.30336958e-02,5.39011961e+01,0.00000000e+00,8.98119697e-02,8.74891561e-02,2.32281363e-03
6.90000000e-03,5.20247743e+00,2.26576012e-01,2.27906985e-02,6.33289715e-04,2.40572779e-02,5.39001725e+01,0.00000000e+00,9.36959527e-02,9.11627938e-02,2.53315886e-03
7.20000000e-03,5.42867211e+00,2.25609182e-01,2.37027878e-02,6.88029881e-04,2.50788476e-02,5.38991510e+01,0.00000000e+00,9.75632707e-02,9.48111512e-02,2.75211953e-03
7.50000000e-03,5.65486678e+00,2.24646501e-01,2.46085898e-02,7.44908948e-04,2.60984077e-02,5.38981314e+01,0.00000000e+00,1.01413995e-01,9.84343593e-02,2.97963579e-03
7.80000000e-03,5.88106145e+00,2.23687951e-01,2.55081372e-02,8.03912035e-04,2.71159612e-02,5.38971138e+01,0.00000000e+00,1.05248197e-01,1.02032549e-01,3.21564814e-03
8.10000000e-03,6.10725612e+00,2.22733513e-01,2.64014623e-02,8.65024339e-04,2.81315110e-02,5.38960983e+01,0.00000000e+00,1.09065947e-01,1.05605849e-01,3.46009736e-03
8.40000000e-03,6.33345079e+00,2.21783171e-01,2.72885975e-02,9.28231131e-04,2.91450598e-02,5.38950847e+01,0.00000000e+00,1.12867315e-01,1.09154390e-01,3.71292453e-03
8.70000000e-03,6.55964546e+00,2.20836907e-01,2.81695750e-02,9.93517761e-04,3.01566106e-02,5.38940732e+01,0.00000000e+00,1.16652371e-01,1.12678300e-01,3.97407104e-03
9.00000000e-03,6.78584013e+00,2.19894704e-01,2.90444268e-02,1.06086965e-03,3.11661661e-02,5.38930636e+01,0.00000000e+00,1.20421186e-01,1.16177707e-01,4.24347860e-03
9.30000000e-03,7.01203480e+00,2.18956543e-01,2.99131848e-02,1.13027230e-03,3.21737294e-02,5.38920561e+01,0.00000000e+00,1.24173828e-01,1.19652739e-01,4.52108920e-03
9.60000000e-03,7.23822947e+00,2.18022408e-01,3.07758806e-02,1.20171128e-03,3.31793032e-02,5.38910505e+01,0.00000000e+00,1.27910367e-01,1.23103522e-01,4.80684513e-03
9.90000000e-03,7.46442414e+00,2.17092282e-01,3.16325459e-02,1.27517224e-03,3.41828904e-02,5.38900469e+01,0.00000000e+00,1.31630872e-01,1.26530183e-01,5.10068898e-03
1.02000000e-02,7.69061882e+00,2.16166147e-01,3.24832120e-02,1.35064091e-03,3.51844938e-02,5.38890453e+01,0.00000000e+00,1.35335412e-01,1.29932848e-01,5.40256364e-03
1.05000000e-02,7.91681349e+00,2.15243987e-01,3.33279103e-02,1.42810307e-03,3.61841165e-02,5.38880457e+01,0.00000000e+00,1.39024054e-01,1.33311641e-01,5.71241230e-03
1.08000000e-02,8.14300816e+00,2.14325783e-01,3.41666719e-02,1.50754461e-03,3.71817612e-02,5.38870480e+01,0.00000000e+00,1.42696866e-01,1.36666688e-01,6.03017843e-03
1.11000000e-02,8.36920283e+00,2.13411521e-01,3.49995278e-02,1.58895145e-03,3.81774307e-02,5.38860524e+01,0.00000000e+00,1.46353917e-01,1.39998111e-01,6.35580580e-03
1.14000000e-02,8.59539750e+00,2.12501182e-01,3.58265089e-02,1.67230962e-03,3.91711281e-02,5.38850587e+01,0.00000000e+00,1.49995274e-01,1.43306035e-01,6.68923847e-03
1.17000000e-02,8.82159217e+00,2.11594749e-01,3.66476457e-02,1.75760520e-03,4.01628561e-02,5.38840670e+01,0.00000000e+00,1.53621004e-01,1.46590583e-01,7.03042079e-03
1.20000000e-02,9.04778684e+00,2.10692207e-01,3.74629690e-02,1.84482435e-03,4.11526177e-02,5.38830772e+01,0.00000000e+00,1.57231173e-01,1.49851876e-01,7.37929740e-03
1.23000000e-02,9.27398151e+00,2.09793538e-01,3.82725090e-02,1.93395331e-03,4.21404156e-02,5.38820894e+01,0.00000000e+00,1.60825849e-01,1.53090036e-01,7.73581323e-03
1.26000000e-02,9.50017618e+00,2.08898725e-01,3.90762961e-02,2.02497837e-03,4.31262529e-02,5.38811036e+01,0.00000000e+00,1.64405098e-01,1.56305185e-01,8.09991348e-03
1.29000000e-02,9.72637086e+00,2.08007754e-01,3.98743605e-02,2.11788591e-03,4.41101323e-02,5.38801197e+01,0.00000000e+00,1.67968986e-01,1.59497442e-01,8.47154366e-03
1.32000000e-02,9.95256553e+00,2.07120606e-01,4.06667320e-02,2.21266238e-03,4.50920568e-02,5.38791378e+01,0.00000000e+00,1.71517578e-01,1.62666928e-01,8.85064954e-03
1.35000000e-02,1.01787602e+01,2.06237265e-01,4.14534406e-02,2.30929430e-03,4.60720292e-02,5.38781578e+01,0.00000000e+00,1.75050940e-01,1.65813763e-01,9.23717718e-03
1.38000000e-02,1.04049549e+01,2.05357716e-01,4.22345160e-02,2.40776823e-03,4.70500525e-02,5.38771798e+01,0.00000000e+00,1.78569137e-01,1.68938064e-01,9.63107293e-03
1.41000000e-02,1.06311495e+01,2.04481941e-01,4.30099877e-02,2.50807085e-03,4.80261294e-02,5.38762037e+01,0.00000000e+00,1.82072234e-01,1.72039951e-01,1.00322834e-02
1.44000000e-02,1.08573442e+01,2.03609926e-01,4.37798852e-02,2.61018887e-03,4.90002630e-02,5.38752295e+01,0.00000000e+00,1.85560296e-01,1.75119541e-01,1.04407555e-02
1.47000000e-02,1.10835389e+01,2.02741653e-01,4.45442378e-02,2.71410910e-03,4.99724560e-02,5.38742574e+01,0.00000000e+00,1.89033388e-01,1.78176951e-01,1.08564364e-02
1.50000000e-02,1.13097336e+01,2.01877107e-01,4.53030746e-02,2.81981839e-03,5.09427114e-02,5.38732871e+01,0.00000000e+00,1.92491572e-01,1.81212298e-01,1.12792735e-02
