bound_active,condition_number,effective_rank,eigenvalues_ascending,eigval_max,eigval_min,estimate_natural,final_round,matrix_kind,n_params,param,rel_ci_width_pct,rel_error_pct,scenario,seed,sigma_scaled,strategy,true_value
0,8990246.866921483,6,0.000718617;0.0852157;3.10974;72.9261;1102.21;6460.54,6460.54106888802,0.0007186166480765721,0.00100530315871695,8,fisher_information,6,k1_ref,7.234879243971726,0.5303158716950078,S1_ideal,1,0.035638457046107706,A,0.001
0,8990246.866921483,6,0.000718617;0.0852157;3.10974;72.9261;1102.21;6460.54,6460.54106888802,0.0007186166480765721,40090.12333380825,8,fisher_information,6,Ea1_J,4.629421330806522,0.22530833452063234,S1_ideal,1,0.9469085312050826,A,40000.0
0,8990246.866921483,6,0.000718617;0.0852157;3.10974;72.9261;1102.21;6460.54,6460.54106888802,0.0007186166480765721,0.0005440272539841117,8,fisher_information,6,k2_ref,46.20531543608885,16.30349938705973,S1_ideal,1,0.19379679487687038,A,0.00065
0,8990246.866921483,6,0.000718617;0.0852157;3.10974;72.9261;1102.21;6460.54,6460.54106888802,0.0007186166480765721,51907.554875451315,8,fisher_information,6,Ea2_J,12.945748343806027,8.140739323856906,S1_ideal,1,3.4284803191831346,A,48000.0
1,8990246.866921483,6,0.000718617;0.0852157;3.10974;72.9261;1102.21;6460.54,6460.54106888802,0.0007186166480765721,6.180115929932445,8,fisher_information,6,K1_ref,inf,586.6795477702715,S1_ideal,1,37.295001274866095,A,0.9
0,8990246.866921483,6,0.000718617;0.0852157;3.10974;72.9261;1102.21;6460.54,6460.54106888802,0.0007186166480765721,0.06234133200055334,8,fisher_information,6,K2_ref,37.7771804857538,10.940954284923807,S1_ideal,1,0.16350385718435198,A,0.07
0,7463871.968751465,6,0.000847019;0.0909349;2.93938;18.6128;1425.81;6322.04,6322.041291204336,0.0008470189892956951,0.0009505907980153543,8,fisher_information,6,k1_ref,7.501100052778487,4.940920198464574,S1_ideal,2,0.036903517641005586,A,0.001
0,7463871.968751465,6,0.000847019;0.0909349;2.93938;18.6128;1425.81;6322.04,6322.041291204336,0.0008470189892956951,40907.362618405874,8,fisher_information,6,Ea1_J,4.579796353548965,2.2684065460146847,S1_ideal,2,0.9558540313932676,A,40000.0
0,7463871.968751465,6,0.000847019;0.0909349;2.93938;18.6128;1425.81;6322.04,6322.041291204336,0.0008470189892956951,0.0007820802515819807,8,fisher_information,6,k2_ref,43.753907990501496,20.320038704920115,S1_ideal,2,0.18516973435750783,A,0.00065
0,7463871.968751465,6,0.000847019;0.0909349;2.93938;18.6128;1425.81;6322.04,6322.041291204336,0.0008470189892956951,44592.911557564,8,fisher_information,6,Ea2_J,14.546024241505636,7.098100921741661,S1_ideal,2,3.3094365944675657,A,48000.0
