c_fitted_M,c_true_M,censored,example,example_seed,fit_condition_number,qc_flags,residual_M,residual_rms,sigma_M,species
0.9072590749440923,0.9,0,low_conversion,20260809,2.634085691080751,,0.007259074944092281,0.4546932928420662,0.0203943851122956,EGDA
0.00979853998610402,0.07,0,low_conversion,20260809,2.634085691080751,,-0.06020146001389599,0.4546932928420662,0.015442697525719726,EGMA
0.01138912679710282,0.01,0,low_conversion,20260809,2.634085691080751,,0.0013891267971028205,0.4546932928420662,0.002420295486723364,EG
0.07247440198239184,0.09,0,low_conversion,20260809,2.634085691080751,,-0.017525598017608154,0.4546932928420662,0.004784577151818896,AcOH
nan,nan,0,low_conversion,20260809,2.634085691080751,nmr_example_low_conversion.csv,nan,0.4546932928420662,nan,_spectrum_csv
0.33204594260041326,0.34,0,intermediate_overlap,20260809,2.572288397674987,FAIL residual rms 0.693 >> noise scale 0.0662 - lineshape model inadequate?,-0.007954057399586767,0.6928548276775385,0.00812877013222953,EGDA
0.3762433801862489,0.33,0,intermediate_overlap,20260809,2.572288397674987,FAIL residual rms 0.693 >> noise scale 0.0662 - lineshape model inadequate?,0.046243380186248906,0.6928548276775385,0.03696798075061302,EGMA
0.3028958606221839,0.3,0,intermediate_overlap,20260809,2.572288397674987,FAIL residual rms 0.693 >> noise scale 0.0662 - lineshape model inadequate?,0.002895860622183888,0.6928548276775385,0.005572390062246691,EG
0.9292936954576628,0.93,0,intermediate_overlap,20260809,2.572288397674987,FAIL residual rms 0.693 >> noise scale 0.0662 - lineshape model inadequate?,-0.0007063045423372216,0.6928548276775385,0.011374473908054843,AcOH
nan,nan,0,intermediate_overlap,20260809,2.572288397674987,nmr_example_intermediate_overlap.csv,nan,0.6928548276775385,nan,_spectrum_csv
0.04112957288684089,0.04,0,high_conversion,20260809,2.600672663809141,,0.0011295728868408877,0.4911940128705167,0.003288888420111446,EGDA
0.08595465558682683,0.11,0,high_conversion,20260809,2.600672663809141,,-0.024045344413173173,0.4911940128705167,0.017169244741899486,EGMA
0.8281682345633415,0.83,0,high_conversion,20260809,2.600672663809141,,-0.0018317654366584168,0.4911940128705167,0.012616159307199691,EG
1.7284023657353453,1.72,0,high_conversion,20260809,2.600672663809141,,0.008402365735345363,0.4911940128705167,0.019068777082499655,AcOH
nan,nan,0,high_conversion,20260809,2.600672663809141,nmr_example_high_conversion.csv,nan,0.4911940128705167,nan,_spectrum_csv
