T_C,X_EGDA,Y_EGMA,Y_EG
4.00000000e+01,2.10794750e-02,2.09752879e-02,1.04187053e-04
4.50000000e+01,2.92559814e-02,2.90519975e-02,2.03983851e-04
5.00000000e+01,4.01315585e-02,3.97410225e-02,3.90535941e-04
5.50000000e+01,5.44124811e-02,5.36809417e-02,7.31539376e-04
6.00000000e+01,7.29160937e-02,7.15749238e-02,1.34116995e-03
6.50000000e+01,9.65546095e-02,9.41475846e-02,2.40702498e-03
7.00000000e+01,1.26297771e-01,1.22068891e-01,4.22888077e-03
7.50000000e+01,1.63106425e-01,1.55834924e-01,7.27150059e-03
8.00000000e+01,2.07829488e-01,1.95597912e-01,1.22315758e-02
8.50000000e+01,2.61059947e-01,2.40945909e-01,2.01140377e-02
9.00000000e+01,3.22953029e-01,2.90648772e-01,3.23042571e-02
9.50000000e+01,3.93022950e-01,3.42413460e-01,5.06094897e-02
1.00000000e+02,4.69953761e-01,3.92727000e-01,7.72267606e-02
1.05000000e+02,5.51481461e-01,4.36900769e-01,1.14580692e-01
1.10000000e+02,6.34420444e-01,4.69445476e-01,1.64974968e-01
1.15000000e+02,7.14903301e-01,4.84871353e-01,2.30031949e-01
1.20000000e+02,7.88863273e-01,4.78891492e-01,3.09971781e-01
1.25000000e+02,8.52706527e-01,4.49803310e-01,4.02903217e-01
1.30000000e+02,9.04015100e-01,3.99592176e-01,5.04422924e-01
1.35000000e+02,9.42042897e-01,3.34182179e-01,6.07860718e-01
1.40000000e+02,9.67786017e-01,2.62422656e-01,7.05363361e-01
1.45000000e+02,9.83560333e-01,1.93907891e-01,7.89652442e-01
1.50000000e+02,9.92247610e-01,1.36383212e-01,8.55864397e-01
