x_m,C_EGMA_T40C,C_EGMA_T70C,C_EGMA_T100C,C_EGMA_T130C,C_EGMA_T150C
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-04,2.66303567e-05,1.68746140e-04,7.93372539e-04,2.94728432e-03,6.33043703e-03
6.00000000e-04,5.32565469e-05,3.37321278e-04,1.58288933e-03,5.84029131e-03,1.24066372e-02
9.00000000e-04,7.98785711e-05,5.05725550e-04,2.36856489e-03,8.67979239e-03,1.82364650e-02
1.20000000e-03,1.06496430e-04,6.73959089e-04,3.15041367e-03,1.14665491e-02,2.38275662e-02
1.50000000e-03,1.33110123e-04,8.42022031e-04,3.92845009e-03,1.42013131e-02,2.91873735e-02
1.80000000e-03,1.59719652e-04,1.00991451e-03,4.70268851e-03,1.68848268e-02,3.43231123e-02
2.10000000e-03,1.86325017e-04,1.17763666e-03,5.47314324e-03,1.95178226e-02,3.92418058e-02
2.40000000e-03,2.12926218e-04,1.34518862e-03,6.23982855e-03,2.21010239e-02,4.39502805e-02
2.70000000e-03,2.39523257e-04,1.51257051e-03,7.00275866e-03,2.46351446e-02,4.84551712e-02
3.00000000e-03,2.66116132e-04,1.67978248e-03,7.76194774e-03,2.71208895e-02,5.27629264e-02
3.30000000e-03,2.92704846e-04,1.84682466e-03,8.51740990e-03,2.95589543e-02,5.68798126e-02
3.60000000e-03,3.19289399e-04,2.01369718e-03,9.26915923e-03,3.19500258e-02,6.08119197e-02
3.90000000e-03,3.45869790e-04,2.18040017e-03,1.00172097e-02,3.42947820e-02,6.45651652e-02
4.20000000e-03,3.72446021e-04,2.34693377e-03,1.07615754e-02,3.65938920e-02,6.81452991e-02
4.50000000e-03,3.99018092e-04,2.51329812e-03,1.15022702e-02,3.88480164e-02,7.15579082e-02
4.80000000e-03,4.25586003e-04,2.67949334e-03,1.22393079e-02,4.10578072e-02,7.48084201e-02
5.10000000e-03,4.52149756e-04,2.84551957e-03,1.29727025e-02,4.32239080e-02,7.79021081e-02
5.40000000e-03,4.78709350e-04,3.01137695e-03,1.37024676e-02,4.53469540e-02,8.08440946e-02
5.70000000e-03,5.05264786e-04,3.17706560e-03,1.44286171e-02,4.74275724e-02,8.36393557e-02
6.00000000e-03,5.31816065e-04,3.34258566e-03,1.51511646e-02,4.94663820e-02,8.62927245e-02
6.30000000e-03,5.58363187e-04,3.50793726e-03,1.58701239e-02,5.14639937e-02,8.88088956e-02
6.60000000e-03,5.84906153e-04,3.67312054e-03,1.65855084e-02,5.34210104e-02,9.11924282e-02
6.90000000e-03,6.11444963e-04,3.83813562e-03,1.72973317e-02,5.53380274e-02,9.34477500e-02
7.20000000e-03,6.37979617e-04,4.00298265e-03,1.80056074e-02,5.72156320e-02,9.55791608e-02
7.50000000e-03,6.64510116e-04,4.16766175e-03,1.87103490e-02,5.90544039e-02,9.75908356e-02
7.80000000e-03,6.91036461e-04,4.33217305e-03,1.94115697e-02,6.08549154e-02,9.94868284e-02
8.10000000e-03,7.17558653e-04,4.49651669e-03,2.01092831e-02,6.26177312e-02,1.01271075e-01
8.40000000e-03,7.44076691e-04,4.66069281e-03,2.08035024e-02,6.43434085e-02,1.02947397e-01
8.70000000e-03,7.70590576e-04,4.82470152e-03,2.14942409e-02,6.60324976e-02,1.04519503e-01
9.00000000e-03,7.97100308e-04,4.98854298e-03,2.21815118e-02,6.76855413e-02,1.05990995e-01
9.30000000e-03,8.23605889e-04,5.15221729e-03,2.28653284e-02,6.93030754e-02,1.07365367e-01
9.60000000e-03,8.50107319e-04,5.31572461e-03,2.35457038e-02,7.08856287e-02,1.08646011e-01
9.90000000e-03,8.76604598e-04,5.47906506e-03,2.42226511e-02,7.24337230e-02,1.09836221e-01
1.02000000e-02,9.03097726e-04,5.64223877e-03,2.48961833e-02,7.39478733e-02,1.10939189e-01
1.05000000e-02,9.29586705e-04,5.80524588e-03,2.55663135e-02,7.54285878e-02,1.11958018e-01
1.08000000e-02,9.56071535e-04,5.96808651e-03,2.62330546e-02,7.68763681e-02,1.12895713e-01
1.11000000e-02,9.82552215e-04,6.13076080e-03,2.68964195e-02,7.82917091e-02,1.13755195e-01
1.14000000e-02,1.00902875e-03,6.29326888e-03,2.75564212e-02,7.96750993e-02,1.14539293e-01
1.17000000e-02,1.03550113e-03,6.45561088e-03,2.82130724e-02,8.10270207e-02,1.15250755e-01
1.20000000e-02,1.06196937e-03,6.61778693e-03,2.88663860e-02,8.23479489e-02,1.15892245e-01
1.23000000e-02,1.08843346e-03,6.77979716e-03,2.95163747e-02,8.36383533e-02,1.16466346e-01
1.26000000e-02,1.11489340e-03,6.94164171e-03,3.01630511e-02,8.48986970e-02,1.16975565e-01
1.29000000e-02,1.14134920e-03,7.10332070e-03,3.08064281e-02,8.61294370e-02,1.17422330e-01
1.32000000e-02,1.16780086e-03,7.26483427e-03,3.14465181e-02,8.73310244e-02,1.17809000e-01
1.35000000e-02,1.19424837e-03,7.42618254e-03,3.20833337e-02,8.85039041e-02,1.18137858e-01
1.38000000e-02,1.22069173e-03,7.58736566e-03,3.27168876e-02,8.96485152e-02,1.18411120e-01
1.41000000e-02,1.24713095e-03,7.74838373e-03,3.33471921e-02,9.07652910e-02,1.18630933e-01
1.44000000e-02,1.27356603e-03,7.90923691e-03,3.39742598e-02,9.18546589e-02,1.18799378e-01
1.47000000e-02,1.29999696e-03,8.06992532e-03,3.45981029e-02,9.29170408e-02,1.18918472e-01
1.50000000e-02,1.32642376e-03,8.23044908e-03,3.52187340e-02,9.39528529e-02,1.18990172e-01
1.53000000e-02,1.35284641e-03,8.39080833e-03,3.58361652e-02,9.49625059e-02,1.19016370e-01
1.56000000e-02,1.37926492e-03,8.55100321e-03,3.64504089e-02,9.59464048e-02,1.18998904e-01
1.59000000e-02,1.40567929e-03,8.71103383e-03,3.70614773e-02,9.69049495e-02,1.18939552e-01
1.62000000e-02,1.43208952e-03,8.87090033e-03,3.76693826e-02,9.78385343e-02,1.18840037e-01
1.65000000e-02,1.45849561e-03,9.03060284e-03,3.82741370e-02,9.87475485e-02,1.18702027e-01
1.68000000e-02,1.48489756e-03,9.19014149e-03,3.88757525e-02,9.96323758e-02,1.18527140e-01
1.71000000e-02,1.51129537e-03,9.34951640e-03,3.94742413e-02,1.00493395e-01,1.18316941e-01
1.74000000e-02,1.53768904e-03,9.50872772e-03,4.00696153e-02,1.01330980e-01,1.18072947e-01
1.77000000e-02,1.56407858e-03,9.66777556e-03,4.06618865e-02,1.02145499e-01,1.17796624e-01
1.80000000e-02,1.59046398e-03,9.82666005e-03,4.12510669e-02,1.02937317e-01,1.17489395e-01
1.83000000e-02,1.61684524e-03,9.98538134e-03,4.18371684e-02,1.03706791e-01,1.17152634e-01
1.86000000e-02,1.64322236e-03,1.01439395e-02,4.24202028e-02,1.04454276e-01,1.16787673e-01
1.89000000e-02,1.66959535e-03,1.03023348e-02,4.30001820e-02,1.05180120e-01,1.16395802e-01
1.92000000e-02,1.69596421e-03,1.04605672e-02,4.35771177e-02,1.05884670e-01,1.15978266e-01
1.95000000e-02,1.72232893e-03,1.06186369e-02,4.41510218e-02,1.06568263e-01,1.15536273e-01
1.98000000e-02,1.74868952e-03,1.07765441e-02,4.47219057e-02,1.07231236e-01,1.15070988e-01
2.01000000e-02,1.77504597e-03,1.09342888e-02,4.52897814e-02,1.07873919e-01,1.14583543e-01
2.04000000e-02,1.80139829e-03,1.10918712e-02,4.58546602e-02,1.08496639e-01,1.14075027e-01
2.07000000e-02,1.82774648e-03,1.12492914e-02,4.64165540e-02,1.09099716e-01,1.13546497e-01
2.10000000e-02,1.85409053e-03,1.14065495e-02,4.69754740e-02,1.09683469e-01,1.12998974e-01
2.13000000e-02,1.88043046e-03,1.15636458e-02,4.75314320e-02,1.10248211e-01,1.12433444e-01
2.16000000e-02,1.90676625e-03,1.17205802e-02,4.80844393e-02,1.10794250e-01,1.11850862e-01
2.19000000e-02,1.93309791e-03,1.18773530e-02,4.86345073e-02,1.11321891e-01,1.11252150e-01
2.22000000e-02,1.95942544e-03,1.20339642e-02,4.91816475e-02,1.11831434e-01,1.10638197e-01
2.25000000e-02,1.98574885e-03,1.21904140e-02,4.97258712e-02,1.12323176e-01,1.10009866e-01
2.28000000e-02,2.01206812e-03,1.23467025e-02,5.02671896e-02,1.12797408e-01,1.09367986e-01
2.31000000e-02,2.03838327e-03,1.25028299e-02,5.08056141e-02,1.13254420e-01,1.08713362e-01
2.34000000e-02,2.06469428e-03,1.26587962e-02,5.13411558e-02,1.13694496e-01,1.08046768e-01
2.37000000e-02,2.09100117e-03,1.28146017e-02,5.18738260e-02,1.14117915e-01,1.07368952e-01
2.40000000e-02,2.11730394e-03,1.29702463e-02,5.24036358e-02,1.14524955e-01,1.06680638e-01
2.43000000e-02,2.14360257e-03,1.31257303e-02,5.29305963e-02,1.14915888e-01,1.05982523e-01
2.46000000e-02,2.16989708e-03,1.32810538e-02,5.34547186e-02,1.15290983e-01,1.05275279e-01
2.49000000e-02,2.19618747e-03,1.34362169e-02,5.39760137e-02,1.15650506e-01,1.04559555e-01
2.52000000e-02,2.22247373e-03,1.35912198e-02,5.44944926e-02,1.15994718e-01,1.03835978e-01
2.55000000e-02,2.24875586e-03,1.37460625e-02,5.50101663e-02,1.16323877e-01,1.03105150e-01
2.58000000e-02,2.27503387e-03,1.39007451e-02,5.55230457e-02,1.16638237e-01,1.02367655e-01
2.61000000e-02,2.30130776e-03,1.40552679e-02,5.60331416e-02,1.16938050e-01,1.01624052e-01
2.64000000e-02,2.32757753e-03,1.42096310e-02,5.65404649e-02,1.17223562e-01,1.00874883e-01
2.67000000e-02,2.35384317e-03,1.43638344e-02,5.70450264e-02,1.17495019e-01,1.00120668e-01
2.70000000e-02,2.38010469e-03,1.45178783e-02,5.75468370e-02,1.17752659e-01,9.93619087e-02
2.73000000e-02,2.40636209e-03,1.46717628e-02,5.80459072e-02,1.17996722e-01,9.85990878e-02
2.76000000e-02,2.43261537e-03,1.48254881e-02,5.85422479e-02,1.18227440e-01,9.78326704e-02
2.79000000e-02,2.45886452e-03,1.49790542e-02,5.90358696e-02,1.18445044e-01,9.70631037e-02
2.82000000e-02,2.48510956e-03,1.51324614e-02,5.95267830e-02,1.18649762e-01,9.62908182e-02
2.85000000e-02,2.51135048e-03,1.52857097e-02,6.00149987e-02,1.18841818e-01,9.55162279e-02
2.88000000e-02,2.53758728e-03,1.54387992e-02,6.05005272e-02,1.19021432e-01,9.47397308e-02
2.91000000e-02,2.56381996e-03,1.55917301e-02,6.09833790e-02,1.19188824e-01,9.39617094e-02
2.94000000e-02,2.59004852e-03,1.57445025e-02,6.14635646e-02,1.19344208e-01,9.31825314e-02
2.97000000e-02,2.61627297e-03,1.58971166e-02,6.19410945e-02,1.19487796e-01,9.24025500e-02
3.00000000e-02,2.64249329e-03,1.60495724e-02,6.24159790e-02,1.19619797e-01,9.16221041e-02
3.03000000e-02,2.66870951e-03,1.62018701e-02,6.28882285e-02,1.19740416e-01,9.08415192e-02
3.06000000e-02,2.69492160e-03,1.63540097e-02,6.33578534e-02,1.19849858e-01,9.00611075e-02
3.09000000e-02,2.72112958e-03,1.65059916e-02,6.38248639e-02,1.19948321e-01,8.92811684e-02
3.12000000e-02,2.74733345e-03,1.66578157e-02,6.42892703e-02,1.20036004e-01,8.85019892e-02
3.15000000e-02,2.77353320e-03,1.68094821e-02,6.47510828e-02,1.20113102e-01,8.77238448e-02
3.18000000e-02,2.79972884e-03,1.69609911e-02,6.52103116e-02,1.20179805e-01,8.69469987e-02
3.21000000e-02,2.82592036e-03,1.71123427e-02,6.56669669e-02,1.20236303e-01,8.61717032e-02
3.24000000e-02,2.85210777e-03,1.72635371e-02,6.61210587e-02,1.20282783e-01,8.53981996e-02
3.27000000e-02,2.87829107e-03,1.74145744e-02,6.65725972e-02,1.20319428e-01,8.46267188e-02
3.30000000e-02,2.90447026e-03,1.75654546e-02,6.70215924e-02,1.20346420e-01,8.38574814e-02
3.33000000e-02,2.93064534e-03,1.77161780e-02,6.74680543e-02,1.20363936e-01,8.30906981e-02
3.36000000e-02,2.95681630e-03,1.78667447e-02,6.79119929e-02,1.20372153e-01,8.23265701e-02
3.39000000e-02,2.98298315e-03,1.80171547e-02,6.83534181e-02,1.20371244e-01,8.15652894e-02
3.42000000e-02,3.00914590e-03,1.81674083e-02,6.87923398e-02,1.20361381e-01,8.08070390e-02
3.45000000e-02,3.03530453e-03,1.83175055e-02,6.92287680e-02,1.20342731e-01,8.00519933e-02
3.48000000e-02,3.06145906e-03,1.84674464e-02,6.96627124e-02,1.20315461e-01,7.93003182e-02
3.51000000e-02,3.08760948e-03,1.86172312e-02,7.00941829e-02,1.20279735e-01,7.85521718e-02
3.54000000e-02,3.11375579e-03,1.87668600e-02,7.05231892e-02,1.20235714e-01,7.78077040e-02
3.57000000e-02,3.13989799e-03,1.89163330e-02,7.09497411e-02,1.20183556e-01,7.70670574e-02
3.60000000e-02,3.16603609e-03,1.90656502e-02,7.13738482e-02,1.20123419e-01,7.63303672e-02
3.63000000e-02,3.19217008e-03,1.92148118e-02,7.17955202e-02,1.20055457e-01,7.55977616e-02
3.66000000e-02,3.21829996e-03,1.93638179e-02,7.22147669e-02,1.19979823e-01,7.48693618e-02
3.69000000e-02,3.24442574e-03,1.95126686e-02,7.26315977e-02,1.19896665e-01,7.41452825e-02
3.72000000e-02,3.27054741e-03,1.96613640e-02,7.30460222e-02,1.19806132e-01,7.34256322e-02
3.75000000e-02,3.29666498e-03,1.98099044e-02,7.34580501e-02,1.19708370e-01,7.27105129e-02
3.78000000e-02,3.32277845e-03,1.99582897e-02,7.38676907e-02,1.19603522e-01,7.20000209e-02
3.81000000e-02,3.34888781e-03,2.01065201e-02,7.42749535e-02,1.19491729e-01,7.12942466e-02
3.84000000e-02,3.37499307e-03,2.02545958e-02,7.46798481e-02,1.19373131e-01,7.05932750e-02
3.87000000e-02,3.40109422e-03,2.04025169e-02,7.50823837e-02,1.19247865e-01,6.98971857e-02
3.90000000e-02,3.42719128e-03,2.05502834e-02,7.54825698e-02,1.19116066e-01,6.92060531e-02
3.93000000e-02,3.45328423e-03,2.06978955e-02,7.58804156e-02,1.18977868e-01,6.85199466e-02
3.96000000e-02,3.47937308e-03,2.08453534e-02,7.62759306e-02,1.18833402e-01,6.78389308e-02
3.99000000e-02,3.50545784e-03,2.09926571e-02,7.66691239e-02,1.18682797e-01,6.71630657e-02
4.02000000e-02,3.53153849e-03,2.11398069e-02,7.70600048e-02,1.18526180e-01,6.64924069e-02
4.05000000e-02,3.55761504e-03,2.12868027e-02,7.74485826e-02,1.18363678e-01,6.58270054e-02
4.08000000e-02,3.58368750e-03,2.14336447e-02,7.78348664e-02,1.18195413e-01,6.51669083e-02
4.11000000e-02,3.60975585e-03,2.15803331e-02,7.82188652e-02,1.18021508e-01,6.45121587e-02
4.14000000e-02,3.63582011e-03,2.17268679e-02,7.86005884e-02,1.17842083e-01,6.38627957e-02
4.17000000e-02,3.66188027e-03,2.18732494e-02,7.89800448e-02,1.17657257e-01,6.32188547e-02
4.20000000e-02,3.68793634e-03,2.20194776e-02,7.93572436e-02,1.17467144e-01,6.25803677e-02
4.23000000e-02,3.71398831e-03,2.21655525e-02,7.97321939e-02,1.17271861e-01,6.19473630e-02
4.26000000e-02,3.74003618e-03,2.23114745e-02,8.01049045e-02,1.17071520e-01,6.13198658e-02
4.29000000e-02,3.76607995e-03,2.24572435e-02,8.04753844e-02,1.16866232e-01,6.06978979e-02
4.32000000e-02,3.79211964e-03,2.26028598e-02,8.08436425e-02,1.16656108e-01,6.00814782e-02
4.35000000e-02,3.81815522e-03,2.27483233e-02,8.12096878e-02,1.16441254e-01,5.94706227e-02
4.38000000e-02,3.84418672e-03,2.28936343e-02,8.15735292e-02,1.16221779e-01,5.88653442e-02
4.41000000e-02,3.87021412e-03,2.30387929e-02,8.19351753e-02,1.15997785e-01,5.82656532e-02
4.44000000e-02,3.89623743e-03,2.31837991e-02,8.22946350e-02,1.15769377e-01,5.76715574e-02
4.47000000e-02,3.92225664e-03,2.33286532e-02,8.26519172e-02,1.15536655e-01,5.70830619e-02
4.50000000e-02,3.94827177e-03,2.34733552e-02,8.30070305e-02,1.15299721e-01,5.65001695e-02
4.53000000e-02,3.97428280e-03,2.36179053e-02,8.33599836e-02,1.15058672e-01,5.59228807e-02
4.56000000e-02,4.00028974e-03,2.37623035e-02,8.37107852e-02,1.14813606e-01,5.53511937e-02
4.59000000e-02,4.02629259e-03,2.39065500e-02,8.40594439e-02,1.14564617e-01,5.47851045e-02
4.62000000e-02,4.05229135e-03,2.40506449e-02,8.44059685e-02,1.14311800e-01,5.42246072e-02
4.65000000e-02,4.07828603e-03,2.41945884e-02,8.47503673e-02,1.14055249e-01,5.36696940e-02
4.68000000e-02,4.10427661e-03,2.43383805e-02,8.50926491e-02,1.13795052e-01,5.31203550e-02
4.71000000e-02,4.13026310e-03,2.44820214e-02,8.54328223e-02,1.13531302e-01,5.25765786e-02
4.74000000e-02,4.15624551e-03,2.46255112e-02,8.57708954e-02,1.13264085e-01,5.20383515e-02
4.77000000e-02,4.18222383e-03,2.47688500e-02,8.61068769e-02,1.12993489e-01,5.15056589e-02
4.80000000e-02,4.20819807e-03,2.49120380e-02,8.64407752e-02,1.12719600e-01,5.09784842e-02
4.83000000e-02,4.23416821e-03,2.50550752e-02,8.67725988e-02,1.12442501e-01,5.04568094e-02
4.86000000e-02,4.26013427e-03,2.51979618e-02,8.71023559e-02,1.12162277e-01,4.99406150e-02
4.89000000e-02,4.28609625e-03,2.53406979e-02,8.74300550e-02,1.11879008e-01,4.94298803e-02
4.92000000e-02,4.31205414e-03,2.54832836e-02,8.77557043e-02,1.11592775e-01,4.89245832e-02
4.95000000e-02,4.33800795e-03,2.56257191e-02,8.80793122e-02,1.11303657e-01,4.84247003e-02
4.98000000e-02,4.36395767e-03,2.57680044e-02,8.84008869e-02,1.11011732e-01,4.79302070e-02
5.01000000e-02,4.38990331e-03,2.59101397e-02,8.87204366e-02,1.10717077e-01,4.74410779e-02
5.04000000e-02,4.41584487e-03,2.60521251e-02,8.90379695e-02,1.10419767e-01,4.69572861e-02
5.07000000e-02,4.44178234e-03,2.61939607e-02,8.93534938e-02,1.10119877e-01,4.64788040e-02
5.10000000e-02,4.46771574e-03,2.63356466e-02,8.96670177e-02,1.09817479e-01,4.60056029e-02
5.13000000e-02,4.49364505e-03,2.64771830e-02,8.99785492e-02,1.09512645e-01,4.55376532e-02
5.16000000e-02,4.51957028e-03,2.66185700e-02,9.02880964e-02,1.09205447e-01,4.50749245e-02
5.19000000e-02,4.54549143e-03,2.67598077e-02,9.05956675e-02,1.08895954e-01,4.46173855e-02
5.22000000e-02,4.57140850e-03,2.69008962e-02,9.09012703e-02,1.08584234e-01,4.41650042e-02
5.25000000e-02,4.59732149e-03,2.70418357e-02,9.12049130e-02,1.08270356e-01,4.37177479e-02
5.28000000e-02,4.62323040e-03,2.71826262e-02,9.15066035e-02,1.07954384e-01,4.32755831e-02
5.31000000e-02,4.64913524e-03,2.73232678e-02,9.18063497e-02,1.07636385e-01,4.28384758e-02
5.34000000e-02,4.67503600e-03,2.74637608e-02,9.21041596e-02,1.07316423e-01,4.24063914e-02
5.37000000e-02,4.70093268e-03,2.76041052e-02,9.24000410e-02,1.06994560e-01,4.19792945e-02
5.40000000e-02,4.72682528e-03,2.77443011e-02,9.26940018e-02,1.06670860e-01,4.15571496e-02
5.43000000e-02,4.75271380e-03,2.78843486e-02,9.29860498e-02,1.06345383e-01,4.11399203e-02
5.46000000e-02,4.77859826e-03,2.80242479e-02,9.32761928e-02,1.06018189e-01,4.07275699e-02
5.49000000e-02,4.80447863e-03,2.81639991e-02,9.35644387e-02,1.05689337e-01,4.03200614e-02
5.52000000e-02,4.83035493e-03,2.83036024e-02,9.38507951e-02,1.05358886e-01,3.99173571e-02
5.55000000e-02,4.85622716e-03,2.84430577e-02,9.41352697e-02,1.05026893e-01,3.95194194e-02
5.58000000e-02,4.88209531e-03,2.85823653e-02,9.44178704e-02,1.04693414e-01,3.91262100e-02
5.61000000e-02,4.90795939e-03,2.87215252e-02,9.46986046e-02,1.04358504e-01,3.87376903e-02
5.64000000e-02,4.93381940e-03,2.88605376e-02,9.49774802e-02,1.04022218e-01,3.83538217e-02
5.67000000e-02,4.95967533e-03,2.89994026e-02,9.52545046e-02,1.03684609e-01,3.79745651e-02
5.70000000e-02,4.98552719e-03,2.91381203e-02,9.55296855e-02,1.03345730e-01,3.75998813e-02
5.73000000e-02,5.01137498e-03,2.92766909e-02,9.58030304e-02,1.03005633e-01,3.72297309e-02
5.76000000e-02,5.03721870e-03,2.94151144e-02,9.60745469e-02,1.02664369e-01,3.68640742e-02
5.79000000e-02,5.06305835e-03,2.95533910e-02,9.63442425e-02,1.02321986e-01,3.65028715e-02
5.82000000e-02,5.08889393e-03,2.96915207e-02,9.66121246e-02,1.01978536e-01,3.61460829e-02
5.85000000e-02,5.11472544e-03,2.98295038e-02,9.68782007e-02,1.01634065e-01,3.57936685e-02
5.88000000e-02,5.14055289e-03,2.99673402e-02,9.71424782e-02,1.01288622e-01,3.54455880e-02
5.91000000e-02,5.16637626e-03,3.01050302e-02,9.74049646e-02,1.00942252e-01,3.51018015e-02
5.94000000e-02,5.19219557e-03,3.02425739e-02,9.76656671e-02,1.00595003e-01,3.47622687e-02
5.97000000e-02,5.21801080e-03,3.03799713e-02,9.79245932e-02,1.00246919e-01,3.44269493e-02
6.00000000e-02,5.24382198e-03,3.05172226e-02,9.81817501e-02,9.98980439e-02,3.40958031e-02
