strategy,round,n_experiments,n_data,T_C,Q_total_mL_min,C_EGDA_M,C_cat_M,k1_ref,Ea1_kJ,k2_ref,Ea2_kJ,K1_ref,K2_ref,sigma_lnk1,sigma_Ea1_kJ,sigma_lnk2,sigma_Ea2_kJ,sigma_lnK1,sigma_lnK2,logdet_F,d_criterion,max_rel_ci_pct,mean_rel_err_pct
D,16,16,640,160.0,0.2,1.0,1.0,1.016000e-03,3.972943e+01,6.222708e-04,4.856876e+01,6.180116e+00,7.106606e-02,1.3080e-02,1.8552e-01,4.1991e-02,5.4652e-01,5.2510e+00,3.6162e-02,30.5887,7.8155e-02,2949189.962,99.322
D,17,17,680,111.91513246048122,0.20004189669646416,0.9999405037347833,0.9999405037347833,1.010213e-03,3.979844e+01,6.170237e-04,4.867163e+01,6.180115e+00,7.105426e-02,1.2010e-02,1.7468e-01,3.8219e-02,5.0409e-01,5.2476e+00,3.6149e-02,31.0031,7.5502e-02,2929918.927,99.364
D,18,18,720,160.0,0.2,1.0,1.0,1.013672e-03,3.973036e+01,6.134151e-04,4.878232e+01,5.440422e+00,7.119304e-02,1.1909e-02,1.7144e-01,3.8020e-02,4.9804e-01,4.4368e+00,3.4336e-02,31.6291,7.1664e-02,597837.765,85.916
D,19,19,760,160.0,0.2,1.0,1.0,1.012408e-03,3.975498e+01,6.126904e-04,4.880763e+01,6.180116e+00,7.076146e-02,1.1822e-02,1.6856e-01,3.7853e-02,4.9294e-01,4.8191e+00,3.2589e-02,31.7384,7.1015e-02,1264942.166,99.507
D,20,20,800,112.17525165756385,0.20004189669646416,0.9999405037347833,0.9999405037347833,1.021393e-03,3.964845e+01,6.233147e-04,4.859980e+01,6.180116e+00,7.076342e-02,1.0997e-02,1.6022e-01,3.4796e-02,4.5868e-01,4.8158e+00,3.2593e-02,32.1001,6.8906e-02,1256745.157,99.357
D,21,21,840,160.0,0.2,1.0,1.0,1.019432e-03,3.969066e+01,6.244671e-04,4.855984e+01,2.729805e+00,7.108239e-02,1.0923e-02,1.5773e-01,3.4639e-02,4.5394e-01,2.0425e+00,3.1403e-02,34.0457,5.8593e-02,5377.596,35.445
D,22,22,880,160.0,0.2,1.0,1.0,1.021254e-03,3.965121e+01,6.240106e-04,4.856989e+01,6.180116e+00,7.218575e-02,1.0850e-02,1.5538e-01,3.4494e-02,4.4968e-01,4.4752e+00,3.0604e-02,32.6857,6.5624e-02,644571.378,99.664
D,23,23,920,112.02541091345806,0.20004189669646416,0.9999405037347833,0.9999405037347833,1.015820e-03,3.971552e+01,6.190243e-04,4.866679e+01,6.180114e+00,7.218540e-02,1.0224e-02,1.4911e-01,3.2324e-02,4.2544e-01,4.4731e+00,3.0600e-02,32.9750,6.4061e-02,641985.876,99.708
D,24,24,960,160.0,0.2,1.0,1.0,1.015363e-03,3.972458e+01,6.208379e-04,4.860780e+01,6.180116e+00,7.261679e-02,1.0161e-02,1.4703e-01,3.2198e-02,4.2168e-01,4.3224e+00,2.9742e-02,33.2400,6.2662e-02,477750.286,99.733
D,25,25,1000,160.0,0.2,1.0,1.0,1.014669e-03,3.973835e+01,6.215002e-04,4.858404e+01,6.180116e+00,7.318362e-02,1.0105e-02,1.4517e-01,3.2087e-02,4.1835e-01,4.1878e+00,2.8985e-02,33.4850,6.1396e-02,366919.773,99.825
