strategy,round,n_experiments,n_data,T_C,Q_total_mL_min,C_EGDA_M,C_cat_M,k1_ref,Ea1_kJ,k2_ref,Ea2_kJ,K1_ref,K2_ref,sigma_lnk1,sigma_Ea1_kJ,sigma_lnk2,sigma_Ea2_kJ,sigma_lnK1,sigma_lnK2,logdet_F,d_criterion,max_rel_ci_pct,mean_rel_err_pct
A,23,23,92,150.0,1.0,1.0,0.5,9.515776e-04,4.070527e+01,1.371206e-03,3.935514e+01,6.180116e-02,1.545029e-02,1.1892e-01,2.5854e+00,3.1547e+00,5.8425e+01,5.7471e+01,1.8170e+02,-12.8682,2.9222e+00,4668049637008963356586402876322494302201541459718208677467708737159965256121279945492802689040602578587852464166756965634709494719526046163587979118081212416.000,51.105
A,24,24,96,155.0,1.0,1.0,0.5,9.291362e-04,4.115137e+01,1.707674e-03,3.589015e+01,6.180116e+00,1.545029e-02,1.1284e-01,2.2907e+00,2.5593e+00,4.5558e+01,3.8964e+03,1.2188e+02,-inf,inf,inf,143.753
A,25,25,100,160.0,1.0,1.0,0.5,9.581043e-04,4.060268e+01,3.158992e-03,2.634846e+01,6.180116e-02,1.545029e-02,1.0458e-01,2.0189e+00,2.0065e+00,3.6375e+01,2.8184e+01,1.1305e+02,-8.0814,1.9610e+00,168733560630799318273393619454288223003334303951936846290931689169612916159633647659738864006725632.000,101.311
B,1,1,40,40.0,1.0,1.0,0.5,8.169752e-04,4.460808e+01,1.723581e-04,9.629508e+01,7.653568e-02,1.575854e-02,5.4316e+02,2.3634e+04,7.3199e+03,1.0183e+04,4.5706e+06,2.3700e+01,-inf,inf,inf,62.151
B,2,2,80,45.0,1.0,1.0,0.5,5.626901e-03,1.199974e+02,4.235154e-05,2.487432e+01,6.181352e-02,1.065627e+00,3.0990e+00,1.4704e+02,1.5483e+04,8.5545e+05,2.5199e+05,1.0731e+00,-inf,inf,inf,386.634
B,3,3,120,50.0,1.0,1.0,0.5,8.150551e-04,2.766869e+01,7.912594e-05,2.065765e+01,6.181350e-02,1.065627e+00,1.3297e+00,5.9305e+01,2.8142e+03,1.7817e+05,3.9023e+05,1.7213e-01,-inf,inf,inf,284.928
B,4,4,160,55.0,1.0,1.0,0.5,1.076931e-03,4.302704e+01,5.926881e-05,9.271349e+01,6.592684e-02,1.065627e+00,7.5769e-01,3.9297e+01,3.0305e+03,3.8927e+05,1.6631e+05,3.4334e-01,-inf,inf,inf,285.716
B,5,5,200,60.0,1.0,1.0,0.5,9.429000e-04,3.429213e+01,1.612129e-02,1.200000e+02,6.180624e-02,1.520012e+00,4.9121e-01,2.5908e+01,1.0315e+01,1.2400e+03,1.1469e+05,3.6709e+06,-inf,inf,inf,785.793
B,6,6,240,65.0,1.0,1.0,0.5,9.390953e-04,3.405116e+01,2.229210e-02,1.200000e+02,6.188167e-02,1.543303e+00,3.2653e-01,1.8831e+01,2.5039e+00,4.3051e+02,7.1157e+04,3.8452e+05,-inf,inf,inf,949.727
B,7,7,280,70.0,1.0,1.0,0.5,9.523902e-04,3.568902e+01,1.009796e-02,9.674080e+01,6.180116e-02,2.685112e-02,2.1629e-01,1.4311e+01,3.1060e+00,4.2248e+02,3.9421e+04,1.0757e+04,-inf,inf,inf,287.565
B,8,8,320,75.0,1.0,1.0,0.5,9.190385e-04,3.002610e+01,3.855049e-05,2.000123e+01,6.180116e-02,1.508157e+00,1.7671e-01,1.0919e+01,5.2389e+02,4.3617e+04,3.2439e+04,1.1339e-02,-inf,inf,inf,388.846
B,9,9,360,80.0,1.0,1.0,0.5,9.288611e-04,3.976005e+01,3.854917e-05,3.253678e+01,6.790909e-02,1.508157e+00,1.2028e-01,8.9999e+00,5.4636e+02,3.2210e+04,1.3685e+04,3.3791e-02,-inf,inf,inf,380.160
B,10,10,400,85.0,1.0,1.0,0.5,8.883955e-04,4.737186e+01,3.854912e-05,5.240555e+01,2.027384e-01,1.544984e+00,1.0853e-01,7.3226e+00,4.1805e+02,1.8480e+04,1.6037e+04,5.6057e-02,-inf,inf,inf,386.239
B,11,11,440,90.0,1.0,1.0,0.5,9.068899e-04,4.540225e+01,3.854912e-05,2.297416e+01,5.999059e-01,1.550400e-02,1.0028e-01,5.6832e+00,4.4525e+02,1.7465e+04,2.8045e+04,1.9694e+00,-inf,inf,inf,46.703
B,12,12,480,95.0,1.0,1.0,0.5,9.156658e-04,4.469802e+01,5.030936e-05,1.199996e+02,4.769148e+00,1.545252e-02,9.4124e-02,4.5403e+00,4.7190e+01,1.6216e+03,1.3227e+05,7.6442e+04,-inf,inf,inf,128.378
B,13,13,520,100.0,1.0,1.0,0.5,9.586149e-04,4.193500e+01,1.106035e-04,1.200000e+02,6.180116e-02,1.544974e+00,8.5713e-02,3.6250e+00,1.2840e+01,3.8587e+02,1.1621e+03,4.2554e+05,-inf,inf,inf,407.033
B,14,14,560,105.0,1.0,1.0,0.5,9.725580e-04,4.117201e+01,1.105532e-04,9.628662e+01,6.180116e-02,1.546408e-02,8.0287e-02,2.9833e+00,1.5961e+01,4.4087e+02,7.3891e+02,8.8685e+03,-inf,inf,inf,60.051
B,15,15,600,110.0,1.0,1.0,0.5,1.023053e-03,3.887408e+01,3.901919e-05,2.165341e+01,6.180116e-02,1.509916e+00,7.3211e-02,2.4552e+00,2.4210e+02,5.8396e+03,5.3316e+02,1.3187e-02,-inf,inf,inf,384.027
B,16,16,640,115.0,1.0,1.0,0.5,1.015246e-03,3.917687e+01,1.160663e-04,3.343659e+01,6.180116e-02,1.550516e-02,6.9505e-02,2.0875e+00,5.5886e+01,1.4864e+03,3.4168e+02,5.6427e+05,-inf,inf,inf,47.842
B,17,17,680,120.0,1.0,1.0,0.5,1.009825e-03,3.936888e+01,3.854912e-05,9.432412e+01,6.180116e-02,1.477286e+00,6.5587e-02,1.7875e+00,1.3365e+01,2.7954e+02,2.2124e+02,3.9714e+05,-inf,inf,inf,382.780
