scenario,strategy,seed,round,cum_acid_mol_mol,delta_acid_mol_mol,cum_capillary_travel_m_m,delta_capillary_travel_m_m,cum_condition_changes_count,delta_condition_changes_count,cum_egda_mol_mol,delta_egda_mol_mol,cum_energy_kJ_kJ,delta_energy_kJ_kJ,cum_liquid_mL_mL,delta_liquid_mL_mL,cum_nmr_acquisitions_count,delta_nmr_acquisitions_count,cum_nmr_reacquisitions_count,delta_nmr_reacquisitions_count,cum_qc_rejected_count,delta_qc_rejected_count,cum_reactor_conditions_count,delta_reactor_conditions_count,cum_sample_mL_mL,delta_sample_mL_mL,cum_spatial_samples_count,delta_spatial_samples_count,cum_temperature_changes_count,delta_temperature_changes_count,cum_time_s_s,delta_time_s_s,cum_waste_mL_mL,delta_waste_mL_mL
S3_transport,D,7,8,0.09333236919736619,0.014117956449865021,2.700000000000001,0.3600000000000003,6.0,1.0,0.1149084742296526,0.014117956449865021,277.5500634419599,45.933525649317744,229.81694845930573,28.23591289973018,80.0,10.0,0.0,0.0,0.0,0.0,7.0,1.0,60.0,7.5,80.0,10.0,6.0,1.0,22399.768607367892,3388.3095479675976,289.8169484593055,35.735912899729925
S3_transport,E,7,1,0.006252435849476524,0.006252435849476524,0.09290400000000001,0.09290400000000001,0.0,0.0,0.012504871698953047,0.012504871698953047,1.568110911048712,1.568110911048712,25.009743397906092,25.009743397906092,10.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,7.5,7.5,10.0,10.0,0.0,0.0,1500.584603874366,1500.584603874366,32.50974339790609,32.50974339790609
S3_transport,E,7,2,0.00789966482779636,0.0016472289783198363,0.38298399999999994,0.2900799999999999,1.0,1.0,0.02897716148215141,0.01647228978319836,61.02748688274021,59.4593759716915,57.95432296430282,32.944579566396726,20.0,10.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,7.5,20.0,10.0,1.0,1.0,5453.934151841971,3953.349547967605,72.95432296430282,40.444579566396726
S3_transport,E,7,3,0.019448721277661393,0.011549056449865033,0.7099119999999999,0.32692799999999994,2.0,1.0,0.040526217932016446,0.011549056449865036,89.06175199205788,28.034265109317666,81.05243586403289,23.09811289973007,30.0,10.0,0.0,0.0,0.0,0.0,3.0,1.0,22.5,7.5,30.0,10.0,2.0,1.0,8225.707699809576,2771.7735479676057,103.55243586403289,30.59811289973007
S3_transport,E,7,4,0.03302084439419309,0.013572123116531696,0.807912,0.09800000000000009,3.0,1.0,0.05409834104854816,0.013572123116531713,127.57147318612324,38.509721194065364,108.19668209709631,27.144246233063427,40.0,10.0,0.0,0.0,0.0,0.0,4.0,1.0,30.0,7.5,40.0,10.0,3.0,1.0,11483.01724777718,3257.309547967603,138.19668209709627,34.644246233063384
S3_transport,E,7,5,0.04706173417739146,0.014040889783198368,1.1309199999999997,0.32300799999999974,4.0,1.0,0.06813923083174649,0.014040889783198326,173.41802139544086,45.84654820931762,136.27846166349303,28.08177956639672,50.0,10.0,0.0,0.0,0.0,0.0,5.0,1.0,37.5,7.5,50.0,10.0,4.0,1.0,14852.830795744783,3369.813547967604,173.778461663493,35.58177956639673
S3_transport,E,7,6,0.05147468275981284,0.004412948582421382,1.449224,0.31830400000000036,4.0,0.0,0.0725521794141678,0.004412948582421319,178.39847516556156,4.980453770120704,145.10435882833573,8.8258971648427,60.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,45.0,7.5,60.0,10.0,4.0,0.0,15911.938455525908,1059.1076597811243,190.1043588283357,16.3258971648427
S3_transport,E,7,7,0.05588763134223422,0.004412948582421382,1.767528,0.3183039999999999,4.0,0.0,0.07696512799658912,0.004412948582421319,183.3789289356823,4.980453770120732,153.93025599317843,8.8258971648427,70.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,52.5,7.5,70.0,10.0,4.0,0.0,16971.046115307043,1059.1076597811352,206.4302559931784,16.3258971648427
S3_transport,E,7,8,0.0603005799246556,0.004412948582421382,2.0858320000000004,0.31830400000000036,4.0,0.0,0.08137807657901044,0.004412948582421319,188.359382705803,4.980453770120704,162.75615315802114,8.8258971648427,80.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,60.0,7.5,80.0,10.0,4.0,0.0,18030.153775088183,1059.1076597811407,222.7561531580211,16.3258971648427
S3_transport,F,7,1,0.006467219182809857,0.006467219182809857,0.196,0.196,0.0,0.0,0.012934438365619715,0.012934438365619715,1.621978571048712,1.621978571048712,25.86887673123943,25.86887673123943,10.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,7.5,7.5,10.0,10.0,0.0,0.0,1552.1326038743657,1552.1326038743657,33.36887673123943,33.36887673123943
S3_transport,F,7,2,0.025651842299341556,0.0191846231165317,0.5880000000000001,0.39200000000000007,1.0,1.0,0.03211906148215141,0.0191846231165317,83.27374422036638,81.65176564931767,64.23812296430282,38.36924623306339,20.0,10.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,7.5,20.0,10.0,1.0,1.0,6156.442151841971,4604.309547967606,79.23812296430283,45.8692462330634
S3_transport,F,7,3,0.03687259874920659,0.011220756449865036,0.757344,0.16934399999999994,2.0,1.0,0.043339817932016446,0.011220756449865033,108.1233242320579,24.849580011691515,86.6796358640329,22.441512899730085,30.0,10.0,0.0,0.0,0.0,0.0,3.0,1.0,22.5,7.5,30.0,10.0,2.0,1.0,8849.423699809575,2692.9815479676035,109.17963586403292,29.941512899730085
S3_transport,F,7,4,0.049611388532404974,0.012738789783198382,0.8553440000000001,0.09800000000000009,3.0,1.0,0.05607860771521483,0.012738789783198382,138.9806197743724,30.857295542314503,112.15721543042967,25.47757956639677,40.0,10.0,0.0,0.0,0.0,0.0,4.0,1.0,30.0,7.5,40.0,10.0,3.0,1.0,11906.733247777178,3057.309547967603,142.15721543042957,32.977579566396656
S3_transport,F,7,5,0.057399833424004135,0.007788444891599161,1.1156320000000002,0.2602880000000001,4.0,1.0,0.07165549749841314,0.015576889783198315,196.56069758369003,57.58007780931763,143.31099499682642,31.15377956639675,50.0,10.0,0.0,0.0,0.0,0.0,5.0,1.0,37.5,7.5,50.0,10.0,4.0,1.0,15645.186795744781,3738.4535479676033,180.8109949968263,38.653779566396736
S3_transport,F,7,6,0.07097195654053577,0.013572123116531637,1.213632,0.09799999999999986,5.0,1.0,0.08522762061494478,0.013572123116531637,235.07041877775544,38.509721194065406,170.45524122988974,27.144246233063313,60.0,10.0,0.0,0.0,0.0,0.0,6.0,1.0,45.0,7.5,60.0,10.0,5.0,1.0,18902.4963437124,3257.3095479676176,215.45524122988962,34.64424623306331
S3_transport,F,7,7,0.0941709949061555,0.023199038365619734,1.4731360000000007,0.2595040000000006,6.0,1.0,0.10842665898056451,0.023199038365619734,291.25285347719375,56.18243469943832,216.8533179611292,46.398076731239456,70.0,10.0,0.0,0.0,0.0,0.0,7.0,1.0,52.5,7.5,70.0,10.0,6.0,1.0,21686.38094758678,2783.8846038743795,269.3533179611291,53.898076731239485
S3_transport,F,7,8,0.10443734954759597,0.010266354641440462,1.8043760000000006,0.33124,7.0,1.0,0.11869301362200498,0.010266354641440462,306.9811940774991,15.72834060030533,237.38602724401014,20.532709282880944,81.0,11.0,1.0,1.0,0.0,0.0,8.0,1.0,60.75,8.25,80.0,10.0,7.0,1.0,24150.306061532512,2463.9251139457338,298.1360272440101,28.782709282881
