scenario,strategy,seed,round,rank,selected,governor_state,design_mode,T_C,Q1_mL_min,Q2_mL_min,Q_total_mL_min,C_EGDA_M,C_cat_M,n_positions,z_positions_m,screen_score,eig_evaluated,eig_param,eig_model,resource_penalty,utility_total,beta_model_weight
S3_transport,F,7,5,1,0,MODEL_INADEQUATE,diagnostic,160.0,0.25,0.25,0.5,1.0,1.0,10,0.034576;0.038888;0.0432;0.047512;0.051824;0.1804;0.18628;0.191376;0.195688;0.2,3.2123586180152905,1,0.0,0.0,0.0,0.0,nan
S3_transport,F,7,5,2,0,MODEL_INADEQUATE,diagnostic,150.0,0.25,0.25,0.5,1.0,1.0,10,0.046336;0.050648;0.05496;0.059272;0.063584;0.1804;0.18628;0.191376;0.195688;0.2,2.6887734381908643,1,0.0,0.22406445318257212,0.0,0.22406445318257212,nan
S3_transport,F,7,5,3,1,MODEL_INADEQUATE,diagnostic,160.0,0.25,0.25,0.5,1.0,0.5,10,0.069856;0.074168;0.07848;0.082792;0.087104;0.0922;0.09808;0.191376;0.195688;0.2,2.6068241417698736,1,0.0,1.4482356343165965,0.0,1.4482356343165965,nan
S3_transport,F,7,5,4,0,MODEL_INADEQUATE,diagnostic,160.0,0.5,0.5,1.0,1.0,1.0,10,0.069856;0.074168;0.07848;0.082792;0.087104;0.0922;0.09808;0.191376;0.195688;0.2,2.600423262916639,1,0.0,0.3714890375595198,0.0,0.3714890375595198,nan
S3_transport,F,7,5,5,0,MODEL_INADEQUATE,diagnostic,160.0,0.5,0.5,1.0,1.0,0.5,10,0.14904;0.154136;0.158448;0.16276;0.167072;0.171384;0.17648;0.18236;0.18824;0.19412,2.512378833142609,1,0.0,1.4411731582491272,0.0,1.4411731582491272,nan
S3_transport,F,7,5,6,0,MODEL_INADEQUATE,diagnostic,160.0,1.0,1.0,2.0,1.0,1.0,10,0.151;0.156096;0.160408;0.16472;0.169032;0.173344;0.17844;0.18432;0.1902;0.19608,2.499946768878292,0,nan,nan,nan,nan,nan
S3_transport,F,7,6,1,0,MODEL_INADEQUATE,diagnostic,160.0,0.25,0.25,0.5,1.0,1.0,10,0.038888;0.0432;0.047512;0.16864;0.17452;0.1804;0.18628;0.191376;0.195688;0.2,2.2571605840950504,1,0.0,0.0,0.0,0.0,nan
S3_transport,F,7,6,2,1,MODEL_INADEQUATE,diagnostic,100.0,0.25,0.25,0.5,1.0,1.0,10,0.151;0.15688;0.16276;0.16864;0.17452;0.1804;0.18628;0.191376;0.195688;0.2,1.9626833146082312,1,0.0,0.32711388576803857,0.0,0.32711388576803857,nan
S3_transport,F,7,6,3,0,MODEL_INADEQUATE,diagnostic,150.0,0.25,0.25,0.5,1.0,1.0,10,0.053;0.057312;0.16276;0.16864;0.17452;0.1804;0.18628;0.191376;0.195688;0.2,1.9536712839170995,1,0.0,0.16280594032642504,0.0,0.16280594032642504,nan
S3_transport,F,7,6,4,0,MODEL_INADEQUATE,diagnostic,110.0,0.25,0.25,0.5,1.0,1.0,10,0.151;0.15688;0.16276;0.16864;0.17452;0.1804;0.18628;0.191376;0.195688;0.2,1.8887162252182783,1,0.0,0.3147860375363796,0.0,0.3147860375363796,nan
S3_transport,F,7,6,5,0,MODEL_INADEQUATE,diagnostic,90.0,0.25,0.25,0.5,1.0,1.0,10,0.151;0.15688;0.16276;0.16864;0.17452;0.1804;0.18628;0.191376;0.195688;0.2,1.671759153560469,1,0.0,0.1393132627967058,0.0,0.1393132627967058,nan
S3_transport,F,7,6,6,0,MODEL_INADEQUATE,diagnostic,140.0,0.25,0.25,0.5,1.0,1.0,10,0.064368;0.06868;0.072992;0.16864;0.17452;0.1804;0.18628;0.191376;0.195688;0.2,1.5468745659130825,0,nan,nan,nan,nan,nan
S3_transport,F,7,7,1,0,MODEL_INADEQUATE,diagnostic,160.0,0.25,0.25,0.5,1.0,1.0,10,0.038888;0.0432;0.047512;0.16864;0.17452;0.1804;0.18628;0.191376;0.195688;0.2,2.2184390616514875,1,0.0,0.0,0.0,0.0,nan
S3_transport,F,7,7,2,0,MODEL_INADEQUATE,diagnostic,150.0,0.25,0.25,0.5,1.0,1.0,10,0.053;0.057312;0.16276;0.16864;0.17452;0.1804;0.18628;0.191376;0.195688;0.2,1.9338113812548698,1,0.0,0.1611509484379059,0.0,0.1611509484379059,nan
S3_transport,F,7,7,3,0,MODEL_INADEQUATE,diagnostic,140.0,0.25,0.25,0.5,1.0,1.0,10,0.064368;0.06868;0.16276;0.16864;0.17452;0.1804;0.18628;0.191376;0.195688;0.2,1.499875416969715,1,0.0,0.12498961808080965,0.0,0.12498961808080965,nan
S3_transport,F,7,7,4,0,MODEL_INADEQUATE,diagnostic,160.0,0.25,0.25,0.5,1.0,0.5,10,0.065936;0.070248;0.07456;0.078872;0.083184;0.08828;0.18628;0.191376;0.195688;0.2,1.4873073444720433,1,0.0,0.0,0.0,0.0,nan
S3_transport,F,7,7,5,1,MODEL_INADEQUATE,diagnostic,160.0,0.5,0.5,1.0,1.0,1.0,10,0.070248;0.07456;0.078872;0.083184;0.08828;0.09416;0.18628;0.191376;0.195688;0.2,1.483503681581162,1,0.0,0.2119290973687374,0.0,0.2119290973687374,nan
S3_transport,F,7,7,6,0,MODEL_INADEQUATE,diagnostic,160.0,0.5,0.5,1.0,1.0,0.5,10,0.13924;0.14512;0.150216;0.154528;0.15884;0.163152;0.167464;0.17256;0.17844;0.18432,1.3767039954625488,0,nan,nan,nan,nan,nan
S3_transport,F,7,8,1,0,MODEL_INADEQUATE,diagnostic,160.0,0.25,0.25,0.5,1.0,1.0,10,0.04124;0.15688;0.16276;0.16864;0.17452;0.1804;0.18628;0.191376;0.195688;0.2,1.8634951208643216,1,0.0,0.0,0.0,0.0,nan
S3_transport,F,7,8,2,1,MODEL_INADEQUATE,diagnostic,150.0,0.25,0.25,0.5,1.0,1.0,10,0.053;0.15688;0.16276;0.16864;0.17452;0.1804;0.18628;0.191376;0.195688;0.2,1.6292940144867458,1,0.0,0.1357745012072289,0.0,0.1357745012072289,nan
S3_transport,F,7,8,3,0,MODEL_INADEQUATE,diagnostic,140.0,0.25,0.25,0.5,1.0,1.0,10,0.064368;0.06868;0.16276;0.16864;0.17452;0.1804;0.18628;0.191376;0.195688;0.2,1.2437367991932433,1,0.0,0.10364473326610366,0.0,0.10364473326610366,nan
S3_transport,F,7,8,4,0,MODEL_INADEQUATE,diagnostic,160.0,0.25,0.25,0.5,1.0,0.5,10,0.068288;0.0726;0.076912;0.081224;0.08632;0.0922;0.18628;0.191376;0.195688;0.2,1.1086269504085706,1,0.0,0.0,0.0,0.0,nan
S3_transport,F,7,8,5,0,MODEL_INADEQUATE,diagnostic,160.0,0.5,0.5,1.0,1.0,1.0,10,0.068288;0.0726;0.076912;0.081224;0.08632;0.0922;0.18628;0.191376;0.195688;0.2,1.106765420448525,1,0.0,0.0,0.0,0.0,nan
S3_transport,F,7,8,6,0,MODEL_INADEQUATE,diagnostic,100.0,0.25,0.25,0.5,1.0,1.0,10,0.151;0.15688;0.16276;0.16864;0.17452;0.1804;0.18628;0.191376;0.195688;0.2,1.0800070712772438,0,nan,nan,nan,nan,nan
