scenario,strategy,seed,round,candidate_rank,candidate_selected,governor_state,design_mode,spatial_mode,T_C,Q_total_mL_min,C_EGDA_M,C_cat_M,n_positions_selected,row_kind,z_m,z_over_L,marginal_gain_nats,is_selected_position,selection_order,realized_gain_nats
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.0824,0.412,47.6926756862084,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.08436,0.4218,47.83023106960951,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.08632000000000001,0.43160000000000004,47.96455100919711,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.08828,0.44139999999999996,48.095780929199094,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.09024,0.4512,48.224056671814566,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.0922,0.461,48.349505321368994,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.09416,0.47079999999999994,48.47224594264708,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.09612,0.48059999999999997,48.592390240341246,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.09808,0.4904,48.71004315457243,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.10004,0.5002,48.8253033957827,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.10200000000000001,0.51,48.93826392842338,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.10396,0.5197999999999999,49.04904086345884,1,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.10592,0.5296,49.157686360345096,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.10788,0.5394,49.264278784425926,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.10984,0.5491999999999999,49.36889226104495,1,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.1118,0.5589999999999999,49.47159697541298,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.11376,0.5688,49.57245944816066,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.11572,0.5786,49.671542784995026,1,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.11768,0.5884,49.76890690721123,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.11964,0.5982,49.86460876266014,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.1216,0.608,49.95870251865615,1,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.12356,0.6178,50.05123974095261,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.12552,0.6275999999999999,50.14226955735252,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.12747999999999998,0.6373999999999999,50.23183880889562,1,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.12944,0.6472,50.319992186947005,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.1314,0.6569999999999999,50.40677236980993,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.13336,0.6668,50.492220137310866,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.13532,0.6766,50.57637448150666,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.13728,0.6864,50.6592727100556,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.13924,0.6961999999999999,50.74095054217524,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.1412,0.706,50.821442197921485,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.14316,0.7158,50.90078048030739,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.14512,0.7255999999999999,50.97899685292782,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.14708,0.7353999999999999,51.0561215117408,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.14904,0.7452,51.13218345221537,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.151,0.7549999999999999,51.20721053221288,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.15295999999999998,0.7647999999999999,51.28122953078868,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.15492,0.7746,51.35426620309997,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.15688,0.7843999999999999,51.42634533218484,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.15884,0.7942,51.4974907767958,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.1608,0.8039999999999999,51.56772551713594,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.16276,0.8137999999999999,51.63707169757174,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.16472,0.8236,51.705550666359684,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.16668,0.8333999999999999,51.77318301360131,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.16864,0.8432000000000001,51.83998860670265,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.1706,0.853,51.90598662356106,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.17256,0.8627999999999999,51.971195584214385,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.17452,0.8726,52.03563337988396,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.17648,0.8824,52.09931730287957,1,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.17844,0.8921999999999999,52.16226407242593,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.1804,0.902,52.22448985903323,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.18236,0.9117999999999999,52.286010308364226,1,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.18431999999999998,0.9215999999999999,52.346840563885266,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.18628,0.9314,52.40699528823356,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.18824,0.9411999999999999,52.46648868307848,1,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.1902,0.951,52.52533450865961,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.19216,0.9608,52.583546101353264,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.19412,0.9705999999999999,52.64113639141631,1,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.19608,0.9803999999999999,52.69811791904753,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.19804,0.9902,52.75450284975109,0,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,candidate_z,0.2,1.0,52.81030298957461,1,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,selected_z,0.2,1.0,nan,1,1,52.81030298957461
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,selected_z,0.1216,0.608,nan,1,2,5.505918224149752
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,selected_z,0.19412,0.9705999999999999,nan,1,3,1.1645023779152837
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,selected_z,0.11572,0.5786,nan,1,4,0.7544651773744846
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,selected_z,0.18824,0.9411999999999999,nan,1,5,0.6229347292437097
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,selected_z,0.12747999999999998,0.6373999999999999,nan,1,6,0.43852292631814294
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,selected_z,0.18236,0.9117999999999999,nan,1,7,0.4002142455119895
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,selected_z,0.10984,0.5491999999999999,nan,1,8,0.315530879048012
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,selected_z,0.17648,0.8824,nan,1,9,0.2893982481293591
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,selected_z,0.10396,0.5197999999999999,nan,1,10,0.23751079906261907
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,final_z,0.107096,0.53548,nan,1,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,final_z,0.111408,0.55704,nan,1,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,final_z,0.11572,0.5786,nan,1,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,final_z,0.120032,0.6001599999999999,nan,1,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,final_z,0.124344,0.6217199999999999,nan,1,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,final_z,0.18039999999999998,0.9019999999999998,nan,1,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,final_z,0.18627999999999997,0.9313999999999998,nan,1,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,final_z,0.191376,0.95688,nan,1,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,final_z,0.19568799999999997,0.9784399999999999,nan,1,-1,nan
S3_transport,E,7,1,1,1,,fim,optimized,40.0,1.0,1.0,0.5,10,final_z,0.2,1.0,nan,1,-1,nan
