scenario,strategy,seed,round,acquisition_order,T_C,Q1_mL_min,Q2_mL_min,Q_total_mL_min,C_EGDA_M,C_cat_M,z_m,z_over_L,species,c_measured_M,sigma_M,sigma_source,ci95_lo_M,ci95_hi_M,censored,qc_flags,observation_mode,best_model,c_model_observed_M,c_model_reactor_M,residual_M,standardized_residual,c_true_reactor_M,error_vs_true_M,cov_M2_with_EGDA,cov_M2_with_EGMA,cov_M2_with_EG,cov_M2_with_AcOH
S3_transport,A,7,6,6,130.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,EGDA,0.2992458033502164,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.29119703881306347,0.29119703881306347,0.00804876453715292,nan,0.291742669705312,0.007503133644904403,,,,
S3_transport,A,7,6,6,130.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,EGMA,0.1566309013501992,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.15446985416716652,0.15446985416716652,0.0021610471830326716,nan,0.15446784972296457,0.0021630516272346245,,,,
S3_transport,A,7,6,6,130.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,EG,0.054727007153455305,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.05433310701977004,0.05433310701977004,0.00039390013368526683,nan,0.0537894805717234,0.0009375265817319067,,,,
S3_transport,A,7,6,6,130.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,AcOH,0.26197370531224967,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.2631360682067065,0.2631360682067065,-0.0011623628944568143,nan,0.26204681086641146,-7.310555416178977e-05,,,,
S3_transport,A,7,7,7,140.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,EGDA,0.25096145758160016,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.2487427920014509,0.2487427920014509,0.0022186655801492428,nan,0.24436588719615843,0.006595570385441729,,,,
S3_transport,A,7,7,7,140.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,EGMA,0.15391467097677639,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.1606251684123884,0.1606251684123884,-0.006710497435612028,nan,0.1676851414470885,-0.013770470470312102,,,,
S3_transport,A,7,7,7,140.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,EG,0.08688097644874232,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.09063203958616076,0.09063203958616076,-0.0037510631374184367,nan,0.08794897135675328,-0.0010679949080109608,,,,
S3_transport,A,7,7,7,140.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,AcOH,0.3361853489655374,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.3418892475847101,0.3418892475847101,-0.005703898619172698,nan,0.343583084160595,-0.007397735195057598,,,,
S3_transport,A,7,8,8,160.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,EGDA,0.15209344405808392,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.15518305111797356,0.15518305111797356,-0.003089607059889643,nan,0.14833516452170326,0.0037582795363806654,,,,
S3_transport,A,7,8,8,160.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,EGMA,0.14311684839219616,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.14940644991340624,0.14940644991340624,-0.006289601521210081,nan,0.16034660298468761,-0.01722975459249146,,,,
S3_transport,A,7,8,8,160.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,EG,0.18928359512043844,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.1954104989686202,0.1954104989686202,-0.006126903848181764,nan,0.19131823249360916,-0.0020346373731707224,,,,
