scenario,strategy,seed,round,param_i,param_j,is_diagonal,cov_scaled,corr,estimate_i_natural,sigma_i_scaled,bound_active_i
S3_transport,A,7,1,k1_ref,k1_ref,1,64082253207.55465,1.0000000000000002,0.00036133233922784624,253144.7277893708,0
S3_transport,A,7,1,k1_ref,Ea1_J,0,2779291987196.911,0.9999999999796303,0.00036133233922784624,253144.7277893708,0
S3_transport,A,7,1,k1_ref,k2_ref,0,140079.45767450242,2.181555810172028e-06,0.00036133233922784624,253144.7277893708,0
S3_transport,A,7,1,k1_ref,Ea2_J,0,52558.35112464195,1.8910697793231088e-08,0.00036133233922784624,253144.7277893708,0
S3_transport,A,7,1,k1_ref,K1_ref,0,-12976276.687201515,-4.667673943771946e-06,0.00036133233922784624,253144.7277893708,0
S3_transport,A,7,1,k1_ref,K2_ref,0,-99.5656977299595,-3.5814604157290906e-11,0.00036133233922784624,253144.7277893708,0
S3_transport,A,7,1,Ea1_J,Ea1_J,1,120539830667205.84,1.0,56932.0157598681,10979063.287330383,0
S3_transport,A,7,1,Ea1_J,k2_ref,0,5964083.549453502,2.141604118079518e-06,56932.0157598681,10979063.287330383,0
S3_transport,A,7,1,Ea1_J,Ea2_J,0,-138799.23247064376,-1.1514802283804685e-09,56932.0157598681,10979063.287330383,0
S3_transport,A,7,1,Ea1_J,K1_ref,0,299194.2197635956,2.4814596130654833e-09,56932.0157598681,10979063.287330383,0
S3_transport,A,7,1,Ea1_J,K2_ref,0,2.8654442663861697,2.376544649206649e-14,56932.0157598681,10979063.287330383,0
S3_transport,A,7,1,k2_ref,k2_ref,1,64339617383.71381,0.9999999999999999,3.862368334658547e-05,253652.5524880714,0
S3_transport,A,7,1,k2_ref,Ea2_J,0,2779261711818.9927,0.99798707493067,3.862368334658547e-05,253652.5524880714,0
S3_transport,A,7,1,k2_ref,K1_ref,0,6909853.275882845,2.4805551634282824e-06,3.862368334658547e-05,253652.5524880714,0
S3_transport,A,7,1,k2_ref,K2_ref,0,-11509023.47219128,-4.131602576802001e-06,3.862368334658547e-05,253652.5524880714,0
S3_transport,A,7,1,Ea2_J,Ea2_J,1,120539831926500.73,1.0,119898.80984847856,10979063.344680216,0
S3_transport,A,7,1,Ea2_J,K1_ref,0,-159319.32938192936,-1.321364027985581e-09,119898.80984847856,10979063.344680216,0
S3_transport,A,7,1,Ea2_J,K2_ref,0,265361.7628597369,2.2008596772656672e-09,119898.80984847856,10979063.344680216,0
S3_transport,A,7,1,K1_ref,K1_ref,1,120603912920409.3,1.0,0.7768512465388725,10981981.283921827,0
S3_transport,A,7,1,K1_ref,K2_ref,0,0.6138956225414433,5.090179975724111e-15,0.7768512465388725,10981981.283921827,0
S3_transport,A,7,1,K2_ref,K2_ref,1,120603912920409.89,0.9999999999999999,0.015525059271108985,10981981.283921855,0
S3_transport,A,7,2,k1_ref,k1_ref,1,2.2791085443070607,1.0000000000000002,0.0010172734091952592,1.5096716677168782,0
S3_transport,A,7,2,k1_ref,Ea1_J,0,97.73820504714182,0.804686490453732,0.0010172734091952592,1.5096716677168782,0
S3_transport,A,7,2,k1_ref,k2_ref,0,-0.585787055244475,-0.0033306646131437325,0.0010172734091952592,1.5096716677168782,0
S3_transport,A,7,2,k1_ref,Ea2_J,0,-9.510408324177007,-8.990833142782425e-06,0.0010172734091952592,1.5096716677168782,0
S3_transport,A,7,2,k1_ref,K1_ref,0,-1874843.5845492815,-0.9965378485422812,0.0010172734091952592,1.5096716677168782,0
S3_transport,A,7,2,k1_ref,K2_ref,0,-2.0351850959775453,-1.0817644853887057e-06,0.0010172734091952592,1.5096716677168782,0
S3_transport,A,7,2,Ea1_J,Ea1_J,1,6473.069773099466,1.0000000000000002,101824.59380886446,80.45538995679199,0
S3_transport,A,7,2,Ea1_J,k2_ref,0,-24.87119624339774,-0.0026534760204997374,101824.59380886446,80.45538995679199,0
S3_transport,A,7,2,Ea1_J,Ea2_J,0,2406953.1029839325,0.04269684288747382,101824.59380886446,80.45538995679199,0
S3_transport,A,7,2,Ea1_J,K1_ref,0,-80395198.11035892,-0.8018372485086276,101824.59380886446,80.45538995679199,0
S3_transport,A,7,2,Ea1_J,K2_ref,0,1286.928297165733,1.2835432778797488e-05,101824.59380886446,80.45538995679199,0
S3_transport,A,7,2,k2_ref,k2_ref,1,13572.277344989721,1.0,3.8549116512509404e-05,116.50011736041179,1
S3_transport,A,7,2,k2_ref,Ea2_J,0,584730.5789111545,0.007163293112295674,3.8549116512509404e-05,116.50011736041179,1
S3_transport,A,7,2,k2_ref,K1_ref,0,925208.1902576109,0.006372713104559452,3.8549116512509404e-05,116.50011736041179,1
S3_transport,A,7,2,k2_ref,K2_ref,0,-20844111.878406696,-0.1435715348009262,3.8549116512509404e-05,116.50011736041179,1
S3_transport,A,7,2,Ea2_J,Ea2_J,1,490945679117.31805,0.9999999999999999,119999.99998258775,700675.1594835642,1
S3_transport,A,7,2,Ea2_J,K1_ref,0,26959479.054819953,3.0874933893468806e-05,119999.99998258775,700675.1594835642,1
S3_transport,A,7,2,Ea2_J,K2_ref,0,-613601688.78419,-0.0007027180931046471,119999.99998258775,700675.1594835642,1
S3_transport,A,7,2,K1_ref,K1_ref,1,1553021531789.771,0.9999999999999999,6.135222627309968,1246202.8453625722,0
S3_transport,A,7,2,K1_ref,K2_ref,0,15587.931120883713,1.0037164687009574e-08,6.135222627309968,1246202.8453625722,0
S3_transport,A,7,2,K2_ref,K2_ref,1,1553021181857.8828,1.0000000000000002,0.015450292924807431,1246202.7049633148,1
S3_transport,A,7,3,k1_ref,k1_ref,1,0.15187275036975445,1.0,0.0007793598985748776,0.3897085454153584,0
S3_transport,A,7,3,k1_ref,Ea1_J,0,8.61787673673663,0.8040628269548704,0.0007793598985748776,0.3897085454153584,0
S3_transport,A,7,3,k1_ref,k2_ref,0,1.2521200164732573,0.02585542700650441,0.0007793598985748776,0.3897085454153584,0
S3_transport,A,7,3,k1_ref,Ea2_J,0,-24.530396117661116,-0.004897179343039817,0.0007793598985748776,0.3897085454153584,0
S3_transport,A,7,3,k1_ref,K1_ref,0,-140027.0806211472,-0.9587052273629714,0.0007793598985748776,0.3897085454153584,0
S3_transport,A,7,3,k1_ref,K2_ref,0,-59104.33526132383,-0.17816552312892148,0.0007793598985748776,0.3897085454153584,0
S3_transport,A,7,3,Ea1_J,Ea1_J,1,756.3812056060121,1.0000000000000002,47762.310987785204,27.50238545301138,0
S3_transport,A,7,3,Ea1_J,k2_ref,0,-34.75350532182529,-0.010168899048746549,47762.310987785204,27.50238545301138,0
S3_transport,A,7,3,Ea1_J,Ea2_J,0,7708.85605706616,0.02180725231639029,47762.310987785204,27.50238545301138,0
S3_transport,A,7,3,Ea1_J,K1_ref,0,-9425041.907091063,-0.9143783093782064,47762.310987785204,27.50238545301138,0
S3_transport,A,7,3,Ea1_J,K2_ref,0,-2091711.2441965688,-0.08934610524157523,47762.310987785204,27.50238545301138,0
S3_transport,A,7,3,k2_ref,k2_ref,1,15442.1806718008,1.0,3.855205751396631e-05,124.26657101489845,0
S3_transport,A,7,3,k2_ref,Ea2_J,0,-1342174.2729018135,-0.8403031118778878,3.855205751396631e-05,124.26657101489845,0
S3_transport,A,7,3,k2_ref,K1_ref,0,-448390.4008112211,-0.009627532244700764,3.855205751396631e-05,124.26657101489845,0
S3_transport,A,7,3,k2_ref,K2_ref,0,-7559470.002900004,-0.07146300800064756,3.855205751396631e-05,124.26657101489845,0
S3_transport,A,7,3,Ea2_J,Ea2_J,1,165210348.28272462,1.0,25275.419644093578,12853.41776659907,0
S3_transport,A,7,3,Ea2_J,K1_ref,0,-14326260.781604443,-0.0029739058754534326,25275.419644093578,12853.41776659907,0
S3_transport,A,7,3,Ea2_J,K2_ref,0,-654466937.0262014,-0.05981544624348221,25275.419644093578,12853.41776659907,0
S3_transport,A,7,3,K1_ref,K1_ref,1,140466907179.21872,1.0000000000000002,6.090641330307977,374789.1502954944,0
S3_transport,A,7,3,K1_ref,K2_ref,0,44775171021.469604,0.14034421069012476,6.090641330307977,374789.1502954944,0
S3_transport,A,7,3,K2_ref,K2_ref,1,724621944016.8317,0.9999999999999998,0.015450354806014744,851247.2872302335,1
S3_transport,A,7,4,k1_ref,k1_ref,1,0.010721373023479504,1.0000000000000002,0.0007847108448876649,0.10354406319765273,0
S3_transport,A,7,4,k1_ref,Ea1_J,0,-0.11362689501990604,-0.08245272719825779,0.0007847108448876649,0.10354406319765273,0
S3_transport,A,7,4,k1_ref,k2_ref,0,0.10928337590809521,0.03923809318179546,0.0007847108448876649,0.10354406319765273,0
S3_transport,A,7,4,k1_ref,Ea2_J,0,-3.82432906695339,-0.03760890143292022,0.0007847108448876649,0.10354406319765273,0
S3_transport,A,7,4,k1_ref,K1_ref,0,-9.626020340424908,-0.18611590170992148,0.0007847108448876649,0.10354406319765273,0
S3_transport,A,7,4,k1_ref,K2_ref,0,30.174071120166428,0.0006221222481226409,0.0007847108448876649,0.10354406319765273,0
S3_transport,A,7,4,Ea1_J,Ea1_J,1,177.13395610519422,1.0,44730.11570757723,13.309168122207872,0
S3_transport,A,7,4,Ea1_J,k2_ref,0,7.117853862923698,0.019882782011205097,44730.11570757723,13.309168122207872,0
S3_transport,A,7,4,Ea1_J,Ea2_J,0,-322.5101477303617,-0.024674767527202164,44730.11570757723,13.309168122207872,0
S3_transport,A,7,4,Ea1_J,K1_ref,0,-6345.33011842984,-0.9544764539044126,44730.11570757723,13.309168122207872,0
S3_transport,A,7,4,Ea1_J,K2_ref,0,-5238.300725975464,-0.0008402461716965918,44730.11570757723,13.309168122207872,0
S3_transport,A,7,4,k2_ref,k2_ref,1,723.5057884617603,1.0,5.9936515075620546e-05,26.89806291281512,0
S3_transport,A,7,4,k2_ref,Ea2_J,0,-25311.423692713724,-0.9581999970613099,5.9936515075620546e-05,26.89806291281512,0
S3_transport,A,7,4,k2_ref,K1_ref,0,-393.7348592911913,-0.029305205464395596,5.9936515075620546e-05,26.89806291281512,0
S3_transport,A,7,4,k2_ref,K2_ref,0,1715072.6144465057,0.1361220665108435,5.9936515075620546e-05,26.89806291281512,0
S3_transport,A,7,4,Ea2_J,Ea2_J,1,964447.9777397079,0.9999999999999999,119999.99883780871,982.0631230932704,1
S3_transport,A,7,4,Ea2_J,K1_ref,0,16631.880726450632,0.03390500926620142,119999.99883780871,982.0631230932704,1
S3_transport,A,7,4,Ea2_J,K2_ref,0,-189541731.09278178,-0.4120334414359172,119999.99883780871,982.0631230932704,1
S3_transport,A,7,4,K1_ref,K1_ref,1,249503.23564628963,1.0,0.061801161827296315,499.50298862598373,1
S3_transport,A,7,4,K1_ref,K2_ref,0,123170.85856467484,0.0005264254826224184,0.061801161827296315,499.50298862598373,1
S3_transport,A,7,4,K2_ref,K2_ref,1,219414814680.29425,1.0000000000000002,1.5450287532521323,468417.3509599044,1
S3_transport,A,7,5,k1_ref,k1_ref,1,0.010148879345858858,0.9999999999999998,0.0007829099042642393,0.10074164653140656,0
S3_transport,A,7,5,k1_ref,Ea1_J,0,-0.4245308204208093,-0.8225887841410945,0.0007829099042642393,0.10074164653140656,0
S3_transport,A,7,5,k1_ref,k2_ref,0,0.0487250068124544,0.03374522656975633,0.0007829099042642393,0.10074164653140656,0
S3_transport,A,7,5,k1_ref,Ea2_J,0,-1.792654923354508,-0.03322563040043247,0.0007829099042642393,0.10074164653140656,0
S3_transport,A,7,5,k1_ref,K1_ref,0,2.8523945752933484,0.5523050765491074,0.0007829099042642393,0.10074164653140656,0
