scenario,strategy,seed,final_round,param,estimate_natural,true_value,rel_error_pct,sigma_scaled,rel_ci_width_pct,bound_active,matrix_kind,eigval_min,eigval_max,effective_rank,n_params,condition_number,eigenvalues_ascending
S3_transport,A,7,8,k1_ref,0.0008773819259214003,0.001,12.26180740785997,0.06631919327280213,13.881200574037234,0,fisher_information,0.00808274783862442,5115.9976058969,6,6,632952.7665640472,0.00808275;0.242011;2.7056;11.5004;609.425;5116
S3_transport,A,7,8,Ea1_J,41574.59784493762,40000.0,3.936494612344049,1.3787321607070373,6.499918640379208,0,fisher_information,0.00808274783862442,5115.9976058969,6,6,632952.7665640472,0.00808275;0.242011;2.7056;11.5004;609.425;5116
S3_transport,A,7,8,k2_ref,0.0003390995241781193,0.00065,47.83084243413549,0.7000653371929988,294.37342786304134,0,fisher_information,0.00808274783862442,5115.9976058969,6,6,632952.7665640472,0.00808275;0.242011;2.7056;11.5004;609.425;5116
S3_transport,A,7,8,Ea2_J,58842.74128555978,48000.0,22.589044344916207,11.0800753219085,36.90675715726738,0,fisher_information,0.00808274783862442,5115.9976058969,6,6,632952.7665640472,0.00808275;0.242011;2.7056;11.5004;609.425;5116
S3_transport,A,7,8,K1_ref,0.061801161827279766,0.9,93.13320424141335,1.6093247920103761,inf,1,fisher_information,0.00808274783862442,5115.9976058969,6,6,632952.7665640472,0.00808275;0.242011;2.7056;11.5004;609.425;5116
S3_transport,A,7,8,K2_ref,0.022189087880445674,0.07,68.30130302793475,0.7465549982165764,331.99671432783447,0,fisher_information,0.00808274783862442,5115.9976058969,6,6,632952.7665640472,0.00808275;0.242011;2.7056;11.5004;609.425;5116
S3_transport,B,7,8,k1_ref,0.000687198221289662,0.001,31.2801778710338,0.027574888729433405,5.553398089542361,0,fisher_information,0.00027573631396830573,32727.29158817929,6,6,118690538.49737434,0.000275736;0.173118;7.80717;13.3724;3219.69;32727.3
S3_transport,B,7,8,Ea1_J,44091.77379630044,40000.0,10.229434490751101,0.43987632980561586,1.9553706557646977,0,fisher_information,0.00027573631396830573,32727.29158817929,6,6,118690538.49737434,0.000275736;0.173118;7.80717;13.3724;3219.69;32727.3
S3_transport,B,7,8,k2_ref,0.0008557320802022349,0.00065,31.651089261882305,0.16792847201000813,38.97721392943323,0,fisher_information,0.00027573631396830573,32727.29158817929,6,6,118690538.49737434,0.000275736;0.173118;7.80717;13.3724;3219.69;32727.3
S3_transport,B,7,8,Ea2_J,45719.84199523053,48000.0,4.75032917660307,2.388859781345646,10.240991585066956,0,fisher_information,0.00027573631396830573,32727.29158817929,6,6,118690538.49737434,0.000275736;0.173118;7.80717;13.3724;3219.69;32727.3
S3_transport,B,7,8,K1_ref,6.180116086345472,0.9,586.6795651494969,60.221117320800886,inf,1,fisher_information,0.00027573631396830573,32727.29158817929,6,6,118690538.49737434,0.000275736;0.173118;7.80717;13.3724;3219.69;32727.3
S3_transport,B,7,8,K2_ref,0.024847382496148412,0.07,64.50373929121656,0.34755053987764245,97.62459459617345,0,fisher_information,0.00027573631396830573,32727.29158817929,6,6,118690538.49737434,0.000275736;0.173118;7.80717;13.3724;3219.69;32727.3
S3_transport,C,7,8,k1_ref,0.0009679694731759337,0.001,3.2030526824066303,0.03308810957377194,6.700183785037295,0,fisher_information,0.43819647132620543,7344.863513113626,6,6,16761.576127905213,0.438196;0.636567;3.67226;213.723;1736.39;7344.86
S3_transport,C,7,8,Ea1_J,40766.3713983387,40000.0,1.915928495846747,0.538399344649807,2.588561795707492,0,fisher_information,0.43819647132620543,7344.863513113626,6,6,16761.576127905213,0.438196;0.636567;3.67226;213.723;1736.39;7344.86
S3_transport,C,7,8,k2_ref,0.0005942597707794301,0.00065,8.57541988008768,0.08571198313876434,18.29312720101268,0,fisher_information,0.43819647132620543,7344.863513113626,6,6,16761.576127905213,0.438196;0.636567;3.67226;213.723;1736.39;7344.86
S3_transport,C,7,8,Ea2_J,48353.21172714913,48000.0,0.7358577648940202,1.2503053454455784,5.0681193441745735,0,fisher_information,0.43819647132620543,7344.863513113626,6,6,16761.576127905213,0.438196;0.636567;3.67226;213.723;1736.39;7344.86
