scenario,strategy,seed,round,param,unit,estimate_natural,sigma_scaled,ci95_lo_natural,ci95_hi_natural,rel_ci95_width_pct,bound_active,bound_lo_natural,bound_hi_natural,true_value_natural,rel_error_pct_vs_truth,covered_by_ci95
S3_transport,A,7,1,k1_ref,L_per_mol_s,0.00036133233922784624,253144.7277893708,0.0,inf,inf,0,7.935761655790467e-05,0.07142185490211418,0.001,63.866766077215374,nan
S3_transport,A,7,1,Ea1_J,J_per_mol,56932.0157598681,10979063.287330383,-21518907111.15179,21519020975.183308,75595299.95892562,0,20000.0,120000.0,40000.0,42.33003939967026,1.0
S3_transport,A,7,1,k2_ref,L_per_mol_s,3.862368334658547e-05,253652.5524880714,0.0,inf,inf,0,3.854911651227973e-05,0.03469420486105175,0.00065,94.05789486975607,nan
S3_transport,A,7,1,Ea2_J,J_per_mol,119898.80984847856,10979063.344680216,-21518844256.763374,21519084054.38307,35895208.9395511,0,20000.0,120000.0,48000.0,149.78918718433033,1.0
S3_transport,A,7,1,K1_ref,dimensionless,0.7768512465388725,10981981.283921827,0.0,inf,inf,0,0.06180116182727974,6.180116182727977,0.9,13.683194829014166,nan
S3_transport,A,7,1,K2_ref,dimensionless,0.015525059271108985,10981981.283921855,0.0,inf,inf,0,0.015450290456819938,1.5450290456819942,0.07,77.82134389841573,nan
S3_transport,A,7,2,k1_ref,L_per_mol_s,0.0010172734091952592,1.5096716677168782,5.27690439591924e-05,0.01961083831376624,1922.5971202057635,0,7.935761655790467e-05,0.07142185490211418,0.001,1.7273409195259104,1.0
S3_transport,A,7,2,Ea1_J,J_per_mol,101824.59380886446,80.45538995679199,-55867.97050644785,259517.15812417679,309.7337458793461,0,20000.0,120000.0,40000.0,154.56148452216115,1.0
S3_transport,A,7,2,k2_ref,L_per_mol_s,3.8549116512509404e-05,116.50011736041179,2.6248986054245798e-104,5.661302043530392e+94,1.4685944985777478e+101,1,3.854911651227973e-05,0.03469420486105175,0.00065,94.06936669038318,1.0
S3_transport,A,7,2,Ea2_J,J_per_mol,119999.99998258775,700675.1594835642,-1373203312.5878031,1373443312.5877683,2288872.1879784297,1,20000.0,120000.0,48000.0,149.9999999637245,1.0
S3_transport,A,7,2,K1_ref,dimensionless,6.135222627309968,1246202.8453625722,0.0,inf,inf,0,0.06180116182727974,6.180116182727977,0.9,581.6914030344409,nan
S3_transport,A,7,2,K2_ref,dimensionless,0.015450292924807431,1246202.7049633148,0.0,inf,inf,1,0.015450290456819938,1.5450290456819942,0.07,77.92815296456081,nan
S3_transport,A,7,3,k1_ref,L_per_mol_s,0.0007793598985748776,0.3897085454153584,0.0003630876230341976,0.001672879528172281,168.0599563222516,0,7.935761655790467e-05,0.07142185490211418,0.001,22.064010142512245,1.0
S3_transport,A,7,3,Ea1_J,J_per_mol,47762.310987785204,27.50238545301138,-6142.364500117103,101666.9864756875,225.72054983557206,0,20000.0,120000.0,40000.0,19.405777469463015,1.0
S3_transport,A,7,3,k2_ref,L_per_mol_s,3.855205751396631e-05,124.26657101489845,6.4299389674724104e-111,2.311470056059352e+101,5.995711267088592e+107,0,3.854911651227973e-05,0.03469420486105175,0.00065,94.06891422862057,1.0
S3_transport,A,7,3,Ea2_J,J_per_mol,25275.419644093578,12853.41776659907,-25167423.402890082,25217974.242178272,199345.44452496374,0,20000.0,120000.0,48000.0,47.342875741471715,1.0
S3_transport,A,7,3,K1_ref,dimensionless,6.090641330307977,374789.1502954944,0.0,inf,inf,0,0.06180116182727974,6.180116182727977,0.9,576.7379255897752,nan
S3_transport,A,7,3,K2_ref,dimensionless,0.015450354806014744,851247.2872302335,0.0,inf,inf,1,0.015450290456819938,1.5450290456819942,0.07,77.92806456283608,nan
S3_transport,A,7,4,k1_ref,L_per_mol_s,0.0007847108448876649,0.10354406319765273,0.0006405767456303769,0.0009612760910924835,40.86847372525051,0,7.935761655790467e-05,0.07142185490211418,0.001,21.528915511233514,0.0
S3_transport,A,7,4,Ea1_J,J_per_mol,44730.11570757723,13.309168122207872,18644.1461880498,70816.08522710466,116.63716539462695,0,20000.0,120000.0,40000.0,11.825289268943063,1.0
S3_transport,A,7,4,k2_ref,L_per_mol_s,5.9936515075620546e-05,26.89806291281512,7.613741119082907e-28,4.718292601788383e+18,7.872150384178027e+24,0,3.854911651227973e-05,0.03469420486105175,0.00065,90.77899768067377,1.0
S3_transport,A,7,4,Ea2_J,J_per_mol,119999.99883780871,982.0631230932704,-1804843.7224250014,2044843.7201006187,3208.072899841303,1,20000.0,120000.0,48000.0,149.99999757876816,1.0
S3_transport,A,7,4,K1_ref,dimensionless,0.061801161827296315,499.50298862598373,0.0,inf,inf,1,0.06180116182727974,6.180116182727977,0.9,93.13320424141152,nan
S3_transport,A,7,4,K2_ref,dimensionless,1.5450287532521323,468417.3509599044,0.0,inf,inf,1,0.015450290456819938,1.5450290456819942,0.07,2107.1839332173317,nan
S3_transport,A,7,5,k1_ref,L_per_mol_s,0.0007829099042642393,0.10074164653140656,0.0006426267010283686,0.0009538164492918914,39.747836445621644,0,7.935761655790467e-05,0.07142185490211418,0.001,21.709009573576076,0.0
S3_transport,A,7,5,Ea1_J,J_per_mol,44832.735850895595,5.122917907587411,34791.81675202427,54873.65494976692,44.79280110080877,0,20000.0,120000.0,40000.0,12.081839627238988,1.0
S3_transport,A,7,5,k2_ref,L_per_mol_s,0.00017842285663358104,14.332782661107476,1.1249664874197032e-16,282983681.0721855,158602819398490.12,0,3.854911651227973e-05,0.03469420486105175,0.00065,72.55032974867983,1.0
S3_transport,A,7,5,Ea2_J,J_per_mol,72737.63545287015,535.5677578008929,-976975.16983688,1122450.4407426203,2886.298953091222,0,20000.0,120000.0,48000.0,51.53674052681281,1.0
S3_transport,A,7,5,K1_ref,dimensionless,0.06180116726167395,51.265066139174024,1.423283498197507e-45,2.6835021130662964e+42,4.342154415472461e+45,1,0.06180116182727974,6.180116182727977,0.9,93.13320363759179,1.0
S3_transport,A,7,5,K2_ref,dimensionless,0.015450290723067892,1198.0565047870691,0.0,inf,inf,1,0.015450290456819938,1.5450290456819942,0.07,77.92815610990301,nan
S3_transport,A,7,6,k1_ref,L_per_mol_s,0.0008147096644592248,0.08663083545002012,0.0006874818109309128,0.0009654827615940594,34.12270196250511,0,7.935761655790467e-05,0.07142185490211418,0.001,18.52903355407752,0.0
S3_transport,A,7,6,Ea1_J,J_per_mol,43490.937270857554,2.6778865149031743,38242.279701647334,48739.59484006777,24.13678756345059,0,20000.0,120000.0,40000.0,8.727343177143876,1.0
S3_transport,A,7,6,k2_ref,L_per_mol_s,0.00031148206042069506,3.0031323649596486,8.651973137369283e-07,0.11213751178314653,36000.99679396572,0,3.854911651227973e-05,0.03469420486105175,0.00065,52.07968301220076,1.0
S3_transport,A,7,6,Ea2_J,J_per_mol,60341.60939365813,70.76300401240408,-78353.87847065386,199037.09725797013,459.7009899404135,0,20000.0,120000.0,48000.0,25.711686236787767,1.0
S3_transport,A,7,6,K1_ref,dimensionless,0.061801161827279766,9.287561071619143,7.67829958671888e-10,4974257.07354268,8048808349.986364,1,0.06180116182727974,6.180116182727977,0.9,93.13320424141335,1.0
