scenario,strategy,seed,round,acquisition_order,T_C,Q1_mL_min,Q2_mL_min,Q_total_mL_min,C_EGDA_M,C_cat_M,z_m,z_over_L,spatial_mode,design_mode,eig_param,eig_model,qc_flags,qc_pass,censored_species,observation_mode,round_n_rejected,round_n_reacquired,cum_time_s,cum_egda_mol,cum_acid_mol,cum_liquid_mL,cum_waste_mL,cum_sample_mL,cum_nmr_acquisitions,cum_nmr_reacquisitions,cum_qc_rejected,cum_capillary_travel_m,cum_condition_changes,cum_temperature_changes,cum_energy_kJ,cum_reactor_conditions,cum_spatial_samples
S3_transport,B,7,5,47,110.0,0.5,0.5,1.0,1.0,0.5,0.14,0.7000000000000001,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,5,48,110.0,0.5,0.5,1.0,1.0,0.5,0.16,0.7999999999999999,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,5,49,110.0,0.5,0.5,1.0,1.0,0.5,0.18,0.8999999999999999,fixed_equal,fixed,nan,nan,FAIL residual rms 0.565 >> noise scale 0.0692 - lineshape model inadequate?,0,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,5,50,110.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,6,51,130.0,0.5,0.5,1.0,1.0,0.5,0.02,0.09999999999999999,fixed_equal,fixed,nan,nan,WARN nonnegativity active: EGMA,1,EGMA,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,6,52,130.0,0.5,0.5,1.0,1.0,0.5,0.04,0.19999999999999998,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,6,53,130.0,0.5,0.5,1.0,1.0,0.5,0.06000000000000001,0.30000000000000004,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,6,54,130.0,0.5,0.5,1.0,1.0,0.5,0.08,0.39999999999999997,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,6,55,130.0,0.5,0.5,1.0,1.0,0.5,0.1,0.5,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,6,56,130.0,0.5,0.5,1.0,1.0,0.5,0.12000000000000002,0.6000000000000001,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,6,57,130.0,0.5,0.5,1.0,1.0,0.5,0.14,0.7000000000000001,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,6,58,130.0,0.5,0.5,1.0,1.0,0.5,0.16,0.7999999999999999,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,6,59,130.0,0.5,0.5,1.0,1.0,0.5,0.18,0.8999999999999999,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,6,60,130.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,7,61,140.0,0.5,0.5,1.0,1.0,0.5,0.02,0.09999999999999999,fixed_equal,fixed,nan,nan,WARN nonnegativity active: EGMA,1,EGMA,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,7,62,140.0,0.5,0.5,1.0,1.0,0.5,0.04,0.19999999999999998,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,7,63,140.0,0.5,0.5,1.0,1.0,0.5,0.06000000000000001,0.30000000000000004,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,7,64,140.0,0.5,0.5,1.0,1.0,0.5,0.08,0.39999999999999997,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,7,65,140.0,0.5,0.5,1.0,1.0,0.5,0.1,0.5,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,7,66,140.0,0.5,0.5,1.0,1.0,0.5,0.12000000000000002,0.6000000000000001,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,7,67,140.0,0.5,0.5,1.0,1.0,0.5,0.14,0.7000000000000001,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,7,68,140.0,0.5,0.5,1.0,1.0,0.5,0.16,0.7999999999999999,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,7,69,140.0,0.5,0.5,1.0,1.0,0.5,0.18,0.8999999999999999,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,7,70,140.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,8,71,160.0,0.5,0.5,1.0,1.0,0.5,0.02,0.09999999999999999,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,8,72,160.0,0.5,0.5,1.0,1.0,0.5,0.04,0.19999999999999998,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,8,73,160.0,0.5,0.5,1.0,1.0,0.5,0.06000000000000001,0.30000000000000004,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,8,74,160.0,0.5,0.5,1.0,1.0,0.5,0.08,0.39999999999999997,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,8,75,160.0,0.5,0.5,1.0,1.0,0.5,0.1,0.5,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,8,76,160.0,0.5,0.5,1.0,1.0,0.5,0.12000000000000002,0.6000000000000001,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,8,77,160.0,0.5,0.5,1.0,1.0,0.5,0.14,0.7000000000000001,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,8,78,160.0,0.5,0.5,1.0,1.0,0.5,0.16,0.7999999999999999,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,8,79,160.0,0.5,0.5,1.0,1.0,0.5,0.18,0.8999999999999999,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,B,7,8,80,160.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,C,7,1,1,40.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,fixed_equal,fixed,nan,nan,WARN nonnegativity active: EGMA,1,EGMA,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,C,7,2,2,160.0,1.0,1.0,2.0,1.0,1.0,0.2,1.0,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,C,7,3,3,160.0,0.25,0.25,0.5,1.0,1.0,0.2,1.0,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,C,7,4,4,120.0,0.25,0.25,0.5,1.0,1.0,0.2,1.0,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,C,7,5,5,90.0,0.25,0.25,0.5,1.0,1.0,0.2,1.0,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,C,7,6,6,160.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,C,7,7,7,160.0,0.25,0.25,0.5,1.0,1.0,0.2,1.0,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,C,7,8,8,100.0,0.25,0.25,0.5,1.0,1.0,0.2,1.0,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,1,1,40.0,0.5,0.5,1.0,1.0,0.5,0.02,0.09999999999999999,fixed_equal,fixed,nan,nan,"WARN nonnegativity active: EGMA,AcOH",1,EGMA;AcOH,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,1,2,40.0,0.5,0.5,1.0,1.0,0.5,0.04,0.19999999999999998,fixed_equal,fixed,nan,nan,WARN nonnegativity active: AcOH,1,AcOH,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,1,3,40.0,0.5,0.5,1.0,1.0,0.5,0.06000000000000001,0.30000000000000004,fixed_equal,fixed,nan,nan,"WARN nonnegativity active: EGMA,AcOH",1,EGMA;AcOH,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,1,4,40.0,0.5,0.5,1.0,1.0,0.5,0.08,0.39999999999999997,fixed_equal,fixed,nan,nan,"WARN nonnegativity active: EGMA,AcOH",1,EGMA;AcOH,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,1,5,40.0,0.5,0.5,1.0,1.0,0.5,0.1,0.5,fixed_equal,fixed,nan,nan,WARN nonnegativity active: AcOH,1,AcOH,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,1,6,40.0,0.5,0.5,1.0,1.0,0.5,0.12000000000000002,0.6000000000000001,fixed_equal,fixed,nan,nan,"WARN nonnegativity active: EGMA,AcOH",1,EGMA;AcOH,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,1,7,40.0,0.5,0.5,1.0,1.0,0.5,0.14,0.7000000000000001,fixed_equal,fixed,nan,nan,WARN nonnegativity active: EGMA,1,EGMA,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,1,8,40.0,0.5,0.5,1.0,1.0,0.5,0.16,0.7999999999999999,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,1,9,40.0,0.5,0.5,1.0,1.0,0.5,0.18,0.8999999999999999,fixed_equal,fixed,nan,nan,WARN nonnegativity active: EGMA,1,EGMA,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,1,10,40.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,fixed_equal,fixed,nan,nan,WARN nonnegativity active: EGMA,1,EGMA,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,2,11,140.0,0.5,0.5,1.0,1.0,0.5,0.02,0.09999999999999999,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,2,12,140.0,0.5,0.5,1.0,1.0,0.5,0.04,0.19999999999999998,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,2,13,140.0,0.5,0.5,1.0,1.0,0.5,0.06000000000000001,0.30000000000000004,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,2,14,140.0,0.5,0.5,1.0,1.0,0.5,0.08,0.39999999999999997,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,2,15,140.0,0.5,0.5,1.0,1.0,0.5,0.1,0.5,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,2,16,140.0,0.5,0.5,1.0,1.0,0.5,0.12000000000000002,0.6000000000000001,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,2,17,140.0,0.5,0.5,1.0,1.0,0.5,0.14,0.7000000000000001,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,2,18,140.0,0.5,0.5,1.0,1.0,0.5,0.16,0.7999999999999999,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,2,19,140.0,0.5,0.5,1.0,1.0,0.5,0.18,0.8999999999999999,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,2,20,140.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,3,21,160.0,0.25,0.25,0.5,1.0,1.0,0.02,0.09999999999999999,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,3,22,160.0,0.25,0.25,0.5,1.0,1.0,0.04,0.19999999999999998,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,3,23,160.0,0.25,0.25,0.5,1.0,1.0,0.06000000000000001,0.30000000000000004,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,3,24,160.0,0.25,0.25,0.5,1.0,1.0,0.08,0.39999999999999997,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,3,25,160.0,0.25,0.25,0.5,1.0,1.0,0.1,0.5,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,3,26,160.0,0.25,0.25,0.5,1.0,1.0,0.12000000000000002,0.6000000000000001,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,3,27,160.0,0.25,0.25,0.5,1.0,1.0,0.14,0.7000000000000001,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,3,28,160.0,0.25,0.25,0.5,1.0,1.0,0.16,0.7999999999999999,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,3,29,160.0,0.25,0.25,0.5,1.0,1.0,0.18,0.8999999999999999,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,3,30,160.0,0.25,0.25,0.5,1.0,1.0,0.2,1.0,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
S3_transport,D,7,4,31,100.0,0.25,0.25,0.5,1.0,1.0,0.02,0.09999999999999999,fixed_equal,fixed,nan,nan,,1,,nmr,0,0,,,,,,,,,,,,,,,
