scenario,strategy,seed,round,measure_fit_s,design_select_s,round_total_s
S3_transport,E,7,1,0.30816670798230916,4.794247625017306,5.102438290981809
S3_transport,E,7,2,0.3574454580084421,2.5825412919803057,2.94001591601409
S3_transport,E,7,3,0.4618961669912096,2.6590872920060065,3.1210207499971148
S3_transport,E,7,4,0.44620424997992814,2.583749333018204,3.029995582997799
S3_transport,E,7,5,0.4684070000075735,2.604206209012773,3.072660708014155
S3_transport,E,7,6,0.5335037919867318,2.6344241249898914,3.1679816670075525
S3_transport,E,7,7,0.6198750830080826,2.6323667500109877,3.2523199999995995
S3_transport,E,7,8,0.6811708750028629,0.0,0.6812414170126431
S3_transport,F,7,1,0.43208487500669435,50.71101416600868,51.14609604101861
S3_transport,F,7,2,0.4168370419938583,50.62548683301429,51.04877179200412
S3_transport,F,7,3,0.4948051669925917,53.453807957994286,53.95990137499757
S3_transport,F,7,4,0.49673770798835903,53.175877583998954,53.68523983299383
S3_transport,F,7,5,0.5893154160003178,53.36029804201098,53.96577512501972
S3_transport,F,7,6,0.7879883330024313,56.07398554199608,56.88051683301455
S3_transport,F,7,7,0.7721561660000589,56.424782499991124,57.21925879101036
S3_transport,F,7,8,0.9445497909910046,0.0,0.9719199579849374
