scenario,strategy,seed,round,rounds_completed,rounds_planned,observation_mode,spatial_mode,T_C,Q1_mL_min,Q2_mL_min,Q_total_mL_min,C_EGDA_M,C_cat_M,n_positions,z_positions_m,z_over_L,design_mode,eig_param_nats,eig_model_nats,best_model,n_data,n_params_estimated,theta_Ea1_J_J_per_mol,theta_Ea2_J_J_per_mol,theta_K1_ref_dimensionless,theta_K2_ref_dimensionless,theta_k1_ref_L_per_mol_s,theta_k2_ref_L_per_mol_s,sigma_scaled_k1_ref,sigma_scaled_Ea1_J,sigma_scaled_k2_ref,sigma_scaled_Ea2_J,sigma_scaled_K1_ref,sigma_scaled_K2_ref,rel_ci95_pct_Ea1_J,rel_ci95_pct_Ea2_J,rel_ci95_pct_K1_ref,rel_ci95_pct_K2_ref,rel_ci95_pct_k1_ref,rel_ci95_pct_k2_ref,bound_lo_Ea1_J,bound_hi_Ea1_J,bound_lo_Ea2_J,bound_hi_Ea2_J,bound_lo_K1_ref,bound_hi_K1_ref,bound_lo_K2_ref,bound_hi_K2_ref,bound_lo_k1_ref,bound_hi_k1_ref,bound_lo_k2_ref,bound_hi_k2_ref,max_rel_ci_pct,corr_max_offdiag,n_bound_active,bound_active_params,n_models,model_entropy_nats,probs_reliable,evidence_warning,governor_state,governor_chi2_over_dof,governor_p_value,governor_p_bootstrap,governor_alpha_round,governor_dispersion_phi,governor_affected_species,governor_affected_region,governor_trigger_reasons,qc_rejected_this_round,qc_reacquired_this_round,cum_acid_mol_mol,cum_capillary_travel_m_m,cum_condition_changes_count,cum_egda_mol_mol,cum_energy_kJ_kJ,cum_liquid_mL_mL,cum_nmr_acquisitions_count,cum_nmr_reacquisitions_count,cum_qc_rejected_count,cum_reactor_conditions_count,cum_sample_mL_mL,cum_spatial_samples_count,cum_temperature_changes_count,cum_time_s_s,cum_waste_mL_mL,param_err_pct_vs_truth,blind_rmse_M_vs_truth,n_params_covered_by_ci95,selected_utility,selected_resource_penalty,selected_screen_score,design_objective_term_1,design_objective_term_2,design_objective_term_names,n_candidates_screened,stop_reason,is_final_round,p_model_wls,p_model_rev-pitzer
S3_transport,A,7,1,8,8,nmr,fixed_equal,40.0,0.5,0.5,1.0,1.0,0.5,1,0.2,1,fixed,nan,nan,wls,4,6,56932.0157598681,119898.80984847856,0.7768512465388725,0.015525059271108985,0.00036133233922784624,3.862368334658547e-05,253144.7277893708,10979063.287330383,253652.5524880714,10979063.344680216,10981981.283921827,10981981.283921855,37797649.97946281,17947604.46977555,inf,inf,inf,inf,20000.0,120000.0,20000.0,120000.0,0.06180116182727974,6.180116182727977,0.015450290456819938,1.5450290456819942,7.935761655790467e-05,0.07142185490211418,3.854911651227973e-05,0.03469420486105175,10000.0,0.9999999999796303,0,,0,nan,-1.0,,,nan,nan,nan,nan,nan,,,,0,0,0.002684052125297301,0.0,0.0,0.005368104250594602,0.6731602730245629,10.736208501189203,1.0,0.0,0.0,1.0,0.75,1.0,0.0,644.1725100713522,11.486208501189203,208.67307093458552,0.042749135701607176,2,nan,nan,nan,nan,nan,,0,budget exhausted,0,,
S3_transport,A,7,2,8,8,nmr,fixed_equal,60.0,0.5,0.5,1.0,1.0,0.5,1,0.2,1,fixed,nan,nan,wls,8,6,101824.59380886446,119999.99998258775,6.135222627309968,0.015450292924807431,0.0010172734091952592,3.8549116512509404e-05,1.5096716677168782,80.45538995679199,116.50011736041179,700675.1594835642,1246202.8453625722,1246202.7049633148,154.86687293967302,1144436.0939892149,inf,inf,1827.7844222115182,1.4685944985777478e+101,20000.0,120000.0,20000.0,120000.0,0.06180116182727974,6.180116182727977,0.015450290456819938,1.5450290456819942,7.935761655790467e-05,0.07142185490211418,3.854911651227973e-05,0.03469420486105175,10000.0,0.9965378485422812,3,k2_ref;Ea2_J;K2_ref,0,nan,-1.0,,,nan,nan,nan,nan,nan,,,,0,0,0.007034770917261269,0.0,1.0,0.014069541834522538,13.219200910081875,28.139083669045075,2.0,0.0,0.0,2.0,1.5,2.0,1.0,1688.3450201427045,29.639083669045075,287.23066662214853,0.17862934512624926,4,nan,nan,nan,nan,nan,,0,budget exhausted,0,,
S3_transport,A,7,3,8,8,nmr,fixed_equal,70.0,0.5,0.5,1.0,1.0,0.5,1,0.2,1,fixed,nan,nan,wls,12,6,47762.310987785204,25275.419644093578,6.090641330307977,0.015450354806014744,0.0007793598985748776,3.855205751396631e-05,0.3897085454153584,27.50238545301138,124.26657101489845,12853.41776659907,374789.1502954944,851247.2872302335,112.86027491778603,99672.72226248187,inf,inf,114.64788363261648,5.995711267088592e+107,20000.0,120000.0,20000.0,120000.0,0.06180116182727974,6.180116182727977,0.015450290456819938,1.5450290456819942,7.935761655790467e-05,0.07142185490211418,3.854911651227973e-05,0.03469420486105175,10000.0,0.9587052273629714,1,K2_ref,0,nan,-1.0,,,nan,nan,nan,nan,nan,,,,0,0,0.010552156375891903,0.0,2.0,0.021104312751783805,20.865681729155565,42.20862550356761,3.0,0.0,0.0,3.0,2.25,3.0,2.0,2532.517530214057,44.45862550356761,238.49012788562683,0.08979119196442358,4,nan,nan,nan,nan,nan,,0,budget exhausted,0,,
S3_transport,A,7,4,8,8,nmr,fixed_equal,90.0,0.5,0.5,1.0,1.0,0.5,1,0.2,1,fixed,nan,nan,wls,16,6,44730.11570757723,119999.99883780871,0.061801161827296315,1.5450287532521323,0.0007847108448876649,5.9936515075620546e-05,0.10354406319765273,13.309168122207872,26.89806291281512,982.0631230932704,499.50298862598373,468417.3509599044,58.318582697313474,1604.0364499206514,inf,inf,22.50067618602809,7.872150384178027e+24,20000.0,120000.0,20000.0,120000.0,0.06180116182727974,6.180116182727977,0.015450290456819938,1.5450290456819942,7.935761655790467e-05,0.07142185490211418,3.854911651227973e-05,0.03469420486105175,10000.0,0.9581999970613099,3,Ea2_J;K1_ref;K2_ref,0,nan,-1.0,,,nan,nan,nan,nan,nan,,,,0,0,0.01490287516785587,0.0,3.0,0.02980575033571174,35.594042912262005,59.61150067142348,4.0,0.0,0.0,4.0,3.0,4.0,3.0,3576.690040285409,62.61150067142348,381.2227021830886,0.06911909061478916,3,nan,nan,nan,nan,nan,,0,budget exhausted,0,,
S3_transport,A,7,5,8,8,nmr,fixed_equal,110.0,0.5,0.5,1.0,1.0,0.5,1,0.2,1,fixed,nan,nan,wls,20,6,44832.735850895595,72737.63545287015,0.06180116726167395,0.015450290723067892,0.0007829099042642393,0.00017842285663358104,0.10074164653140656,5.122917907587411,14.332782661107476,535.5677578008929,51.265066139174024,1198.0565047870691,22.396400550404383,1443.1494765456107,4.342154415472461e+45,inf,21.829656783850005,158602819398390.12,20000.0,120000.0,20000.0,120000.0,0.06180116182727974,6.180116182727977,0.015450290456819938,1.5450290456819942,7.935761655790467e-05,0.07142185490211418,3.854911651227973e-05,0.03469420486105175,10000.0,0.9949003363903529,2,K1_ref;K2_ref,0,nan,-1.0,,,nan,nan,nan,nan,nan,,,,0,0,0.019253593959819838,0.0,4.0,0.038507187919639675,51.777284459401194,77.01437583927935,5.0,0.0,0.0,5.0,3.75,5.0,4.0,4620.862550356761,80.76437583927935,183.7060397599243,0.016477406885610116,4,nan,nan,nan,nan,nan,,0,budget exhausted,0,,
S3_transport,A,7,6,8,8,nmr,fixed_equal,130.0,0.5,0.5,1.0,1.0,0.5,1,0.2,1,fixed,nan,nan,wls,24,6,43490.937270857554,60341.60939365813,0.061801161827279766,0.015450290456821008,0.0008147096644592248,0.00031148206042069506,0.08663083545002012,2.6778865149031743,3.0031323649596486,70.76300401240408,9.287561071619143,32.64589343109565,12.068393781725296,229.85049497020674,8048808249.986365,6.148164697485265e+29,18.506359223676625,35901.27456190927,20000.0,120000.0,20000.0,120000.0,0.06180116182727974,6.180116182727977,0.015450290456819938,1.5450290456819942,7.935761655790467e-05,0.07142185490211418,3.854911651227973e-05,0.03469420486105175,10000.0,0.9952291922846411,2,K1_ref;K2_ref,0,nan,-1.0,,,nan,nan,nan,nan,nan,,,,0,0,0.023604312751783808,0.0,5.0,0.047208625503567615,69.41540637057314,94.41725100713523,6.0,0.0,0.0,6.0,4.5,6.0,5.0,5665.035060428113,98.91725100713523,147.7040969884902,0.014301086130660452,5,nan,nan,nan,nan,nan,,0,budget exhausted,0,,
S3_transport,A,7,7,8,8,nmr,fixed_equal,140.0,0.5,0.5,1.0,1.0,0.5,1,0.2,1,fixed,nan,nan,wls,28,6,42073.88100429726,60121.27963642237,0.06180116182738337,0.015450290456825798,0.0008573903612962656,0.0003178649315589937,0.07727962273948447,2.079222925287836,1.1931408210780283,22.362610575103997,5.189540852867209,4.270023868925917,9.68600194773552,72.903832041277,2614627.0138110523,431138.6676558197,16.35411383747376,936.6256971612921,20000.0,120000.0,20000.0,120000.0,0.06180116182727974,6.180116182727977,0.015450290456819938,1.5450290456819942,7.935761655790467e-05,0.07142185490211418,3.854911651227973e-05,0.03469420486105175,10000.0,0.9925516822168513,2,K1_ref;K2_ref,0,nan,-1.0,,,nan,nan,nan,nan,nan,,,,0,0,0.027121698210414442,0.0,6.0,0.054243396420828885,81.17863513042813,108.48679284165777,7.0,0.0,0.0,7.0,5.25,7.0,6.0,6509.207570499465,113.73679284165777,143.2800487926829,0.01520698855507601,5,nan,nan,nan,nan,nan,,0,budget exhausted,0,,
S3_transport,A,7,8,8,8,nmr,fixed_equal,160.0,0.5,0.5,1.0,1.0,0.5,1,0.2,1,fixed,nan,nan,wls,32,6,41574.59784493762,58842.74128555978,0.061801161827279766,0.022189087880445674,0.0008773819259214003,0.0003390995241781193,0.06631919327280213,1.3787321607070373,0.7000653371929988,11.0800753219085,1.6093247920103761,0.7465549982165764,6.499918640379208,36.90675715726738,2243.607711998297,331.99671432783447,13.881200574037234,294.37342786304134,20000.0,120000.0,20000.0,120000.0,0.06180116182727974,6.180116182727977,0.015450290456819938,1.5450290456819942,7.935761655790467e-05,0.07142185490211418,3.854911651227973e-05,0.03469420486105175,10000.0,0.9959253586159106,1,K1_ref,0,nan,-1.0,,,nan,nan,nan,nan,nan,,,,0,0,0.03147241700237841,0.0,7.0,0.06294483400475682,100.9990775876492,125.88966800951366,8.0,0.0,0.0,8.0,6.0,8.0,7.0,7553.380080570817,131.88966800951366,124.45895993111291,0.010559737555797408,5,nan,nan,nan,nan,nan,,0,budget exhausted,1,,
S3_transport,B,7,1,8,8,nmr,fixed_equal,40.0,0.5,0.5,1.0,1.0,0.5,10,0.02;0.04;0.06;0.08;0.1;0.12;0.14;0.16;0.18;0.2,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9;1,fixed,nan,nan,wls,40,6,70660.38476344553,119832.07112790534,6.092294760820657,0.015570899868493334,0.0008431059133081223,3.855982507009699e-05,76175.89123557089,3303801.4813354737,76407.34709093899,3303801.489150025,3304679.560003015,3304679.5600299393,9164188.569161952,5403771.175599841,inf,inf,inf,inf,20000.0,120000.0,20000.0,120000.0,0.06180116182727974,6.180116182727977,0.015450290456819938,1.5450290456819942,7.935761655790467e-05,0.07142185490211418,3.854911651227973e-05,0.03469420486105175,10000.0,0.9999999999899132,0,,0,nan,-1.0,,,nan,nan,nan,nan,nan,,,,0,0,0.006433885849476525,0.18000000000000002,0.0,0.01286777169895305,1.6136185710487128,25.735543397906103,10.0,0.0,0.0,1.0,7.5,10.0,0.0,1544.1326038743657,33.235543397906106,272.773004911975,0.11493738176688963,2,nan,nan,nan,nan,nan,,0,budget exhausted,0,,
S3_transport,B,7,2,8,8,nmr,fixed_equal,60.0,0.5,0.5,1.0,1.0,0.5,10,0.02;0.04;0.06;0.08;0.1;0.12;0.14;0.16;0.18;0.2,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9;1,fixed,nan,nan,wls,80,6,54932.434002133625,117751.53172652175,3.614379806298935,0.49486266315713745,0.000586627186304646,3.854936545200177e-05,0.25583418121963736,17.63113638201072,121.28187221134702,246052.71530533247,504478.15650787746,980250.4377137831,62.9082397976372,409560.1262483018,inf,inf,65.10888761389654,1.726687711840235e+105,20000.0,120000.0,20000.0,120000.0,0.06180116182727974,6.180116182727977,0.015450290456819938,1.5450290456819942,7.935761655790467e-05,0.07142185490211418,3.854911651227973e-05,0.03469420486105175,10000.0,0.9098223535353941,1,k2_ref,0,nan,-1.0,,,nan,nan,nan,nan,nan,,,,0,0,0.014909438365619717,0.5400000000000001,1.0,0.029818876731239435,16.573511903495707,59.63775346247885,20.0,0.0,0.0,2.0,15.0,20.0,1.0,3578.2652077487314,74.63775346247886,274.2837800907633,0.10116870966022315,3,nan,nan,nan,nan,nan,,0,budget exhausted,0,,
