bound_active,condition_number,effective_rank,eigenvalues_ascending,eigval_max,eigval_min,estimate_natural,final_round,matrix_kind,n_params,param,rel_ci_width_pct,rel_error_pct,scenario,seed,sigma_scaled,strategy,true_value
0,8494756.796515131,6,0.00075831;0.0874915;3.1062;76.5471;1104.58;6441.66,6441.657959650071,0.0007583098744266205,0.0010049144134445997,8,fisher_information,6,k1_ref,7.146443095179045,0.4914413444599697,S1_ideal,1,0.03521752031388699,A,0.001
0,8494756.796515131,6,0.00075831;0.0874915;3.1062;76.5471;1104.58;6441.66,6441.657959650071,0.0007583098744266205,40099.77046003155,8,fisher_information,6,Ea1_J,4.599973934993367,0.24942615007887073,S1_ideal,1,0.9411117291600106,A,40000.0
0,8494756.796515131,6,0.00075831;0.0874915;3.1062;76.5471;1104.58;6441.66,6441.657959650071,0.0007583098744266205,0.0005441557364957824,8,fisher_information,6,k2_ref,45.276527426189595,16.283732846802707,S1_ideal,1,0.1905453193628159,A,0.00065
0,8494756.796515131,6,0.00075831;0.0874915;3.1062;76.5471;1104.58;6441.66,6441.657959650071,0.0007583098744266205,51902.646424152554,8,fisher_information,6,Ea2_J,12.77918454361574,8.130513383651152,S1_ideal,1,3.384048453858587,A,48000.0
1,8494756.796515131,6,0.00075831;0.0874915;3.1062;76.5471;1104.58;6441.66,6441.657959650071,0.0007583098744266205,6.180116182727576,8,fisher_information,6,K1_ref,inf,586.6795758586195,S1_ideal,1,36.30547993650218,A,0.9
0,8494756.796515131,6,0.00075831;0.0874915;3.1062;76.5471;1104.58;6441.66,6441.657959650071,0.0007583098744266205,0.06291942579925262,8,fisher_information,6,K2_ref,36.29223040570621,10.115106001067689,S1_ideal,1,0.15797507523628251,A,0.07
0,7079082.309676495,6,0.000890871;0.094069;2.93852;21.0251;1418.52;6306.55,6306.546549656467,0.0008908706346069688,0.0009512077376903348,8,fisher_information,6,k1_ref,7.405783976693603,4.879226230966517,S1_ideal,2,0.03645094345314664,A,0.001
0,7079082.309676495,6,0.000890871;0.094069;2.93852;21.0251;1418.52;6306.55,6306.546549656467,0.0008908706346069688,40896.06674479475,8,fisher_information,6,Ea1_J,4.552323654107842,2.2401668619868724,S1_ideal,2,0.9498578163382768,A,40000.0
0,7079082.309676495,6,0.000890871;0.094069;2.93852;21.0251;1418.52;6306.55,6306.546549656467,0.0008908706346069688,0.000781218049118818,8,fisher_information,6,k2_ref,42.76563144083705,20.187392172125858,S1_ideal,2,0.181650081002866,A,0.00065
0,7079082.309676495,6,0.000890871;0.094069;2.93852;21.0251;1418.52;6306.55,6306.546549656467,0.0008908706346069688,44601.520974098225,8,fisher_information,6,Ea2_J,14.30969796855672,7.080164637295365,S1_ideal,2,3.256297418763231,A,48000.0
1,7079082.309676495,6,0.000890871;0.094069;2.93852;21.0251;1418.52;6306.55,6306.546549656467,0.0008908706346069688,6.180116182727975,8,fisher_information,6,K1_ref,inf,586.6795758586638,S1_ideal,2,33.49394543611018,A,0.9
