scenario_index,Y EGMA max
0.00000000e+00,4.78299291e-01
1.00000000e+00,4.84871353e-01
2.00000000e+00,4.84632065e-01
3.00000000e+00,4.93371691e-01
4.00000000e+00,4.94019962e-01
5.00000000e+00,5.01178576e-01
