scenario,strategy,n_seeds,n_faulted,median_rounds,param_err_pct_median,param_err_pct_iqr_lo,param_err_pct_iqr_hi,param_err_pct_mean,param_err_pct_bootci_lo,param_err_pct_bootci_hi,blind_rmse_M_median,blind_rmse_M_iqr_lo,blind_rmse_M_iqr_hi,blind_rmse_M_mean,blind_rmse_M_bootci_lo,blind_rmse_M_bootci_hi
S1_ideal,A,1,0,3.0,163.25842745338878,163.25842745338878,163.25842745338878,163.25842745338878,nan,nan,0.027597956067009995,0.027597956067009995,0.027597956067009995,0.027597956067009995,nan,nan
S1_ideal,B,1,0,3.0,8.938268480707489,8.938268480707489,8.938268480707489,8.938268480707489,nan,nan,0.0015007567631318787,0.0015007567631318787,0.0015007567631318787,0.0015007567631318787,nan,nan
S1_ideal,C,1,0,3.0,168.0135160352756,168.0135160352756,168.0135160352756,168.0135160352756,nan,nan,0.023409652030077013,0.023409652030077013,0.023409652030077013,0.023409652030077013,nan,nan
S1_ideal,D,1,0,3.0,5.518073647248811,5.518073647248811,5.518073647248811,5.518073647248811,nan,nan,0.0013409641870870297,0.0013409641870870297,0.0013409641870870297,0.0013409641870870297,nan,nan
S1_ideal,E,1,0,3.0,14.534094311341207,14.534094311341207,14.534094311341207,14.534094311341207,nan,nan,0.0019898951219498814,0.0019898951219498814,0.0019898951219498814,0.0019898951219498814,nan,nan
S1_ideal,F,1,0,3.0,6.085283552787435,6.085283552787435,6.085283552787435,6.085283552787435,nan,nan,0.00143078599123957,0.00143078599123957,0.00143078599123957,0.00143078599123957,nan,nan
S3_transport,D,1,0,3.0,72.38055306920891,72.38055306920891,72.38055306920891,72.38055306920891,nan,nan,0.02952807284686343,0.02952807284686343,0.02952807284686343,0.02952807284686343,nan,nan
S3_transport,F,1,0,3.0,14.211592957848996,14.211592957848996,14.211592957848996,14.211592957848996,nan,nan,0.0025423401033516733,0.0025423401033516733,0.0025423401033516733,0.0025423401033516733,nan,nan
S3_transport,F-uncorr,1,0,3.0,91.48785892980207,91.48785892980207,91.48785892980207,91.48785892980207,nan,nan,0.02821276534102886,0.02821276534102886,0.02821276534102886,0.02821276534102886,nan,nan
S5_inadequacy,D,1,0,3.0,42.3190102544484,42.3190102544484,42.3190102544484,42.3190102544484,nan,nan,0.13428448417338595,0.13428448417338595,0.13428448417338595,0.13428448417338595,nan,nan
S5_inadequacy,F,1,0,3.0,4.584374003813663,4.584374003813663,4.584374003813663,4.584374003813663,nan,nan,0.12462579714386729,0.12462579714386729,0.12462579714386729,0.12462579714386729,nan,nan
S5_inadequacy,F-noGovernor,1,0,3.0,4.584374003813663,4.584374003813663,4.584374003813663,4.584374003813663,nan,nan,0.12462579714386729,0.12462579714386729,0.12462579714386729,0.12462579714386729,nan,nan
