param,round,median_rel_width_pct,median_rel_error_pct,n_bound_active
Ea1_J,1,135.97223886485878,41.3453015929653,0
Ea1_J,2,9.20012206589082,9.879090866967877,0
Ea1_J,3,1.9449551219184285,0.17371704855430048,0
Ea2_J,1,141.31649538996635,13.446333342137095,0
Ea2_J,2,86.34281395979741,38.16639366734636,0
Ea2_J,3,3.8230752540120183,2.1678552008529084,0
K1_ref,1,849.6960991628283,31.335949979258004,0
K1_ref,2,575.4109402859528,100.03378560597831,0
K1_ref,3,557.2357807407657,92.48538880754467,0
K2_ref,1,849.6960940196436,120.73494271976686,0
K2_ref,2,15.991488037944922,8.853144059191331,0
K2_ref,3,16.09202706576276,8.583365140374855,0
k1_ref,1,206.70984990713458,1.6708049968988892,0
k1_ref,2,28.245612157302723,25.686403115664756,0
k1_ref,3,2.7935824112248486,1.1022384833023424,0
k2_ref,1,355.37117754437327,669.1615411268276,0
k2_ref,2,203.97586107466486,245.501722584781,0
k2_ref,3,5.898959783598235,2.5682639010203845,0
