T_C,Q_total_mL_min,C_cat_M,tau_s,X_outlet,max_phi1,max_phi2,dC_dlnK1,dC_dlnK2
40.0,0.5,0.5,923.6282401553993,0.15155028491083267,0.000481341969348641,0.0004447697868293044,1.1396743527097852e-05,6.239068620073063e-07
40.0,0.5,1.0,923.6282401553993,0.27602978944435375,0.0018856580762153547,0.0017354290433937679,7.619885627196954e-05,8.453348042392062e-06
40.0,2.0,0.5,230.90706003884983,0.04028242000480253,3.0071224444354223e-05,2.7870705433771828e-05,1.987563839900286e-07,2.658375117259304e-09
40.0,2.0,1.0,230.90706003884983,0.077704092106757,0.00011766641640344038,0.00010895026027564413,1.4768721810776153e-06,3.9188898515174486e-08
40.0,8.0,0.5,57.72676500971246,0.010228025339597546,1.8794015849525472e-06,1.743173144171624e-06,3.192417111913537e-09,1.0614538761832826e-11
40.0,8.0,1.0,57.72676500971246,0.020025765246608707,7.35340291666784e-06,6.818753933199104e-06,2.4360487481389637e-08,1.5961841223766093e-10
100.0,0.5,0.5,923.6282401553993,0.9819045559933591,0.284533393853812,0.31553585994082917,0.005237735708190083,0.020159713312779548
100.0,0.5,1.0,923.6282401553993,0.996858593852119,0.8469608376736942,0.8649698646304989,0.005283948111549641,0.03803487138816064
100.0,2.0,0.5,230.90706003884983,0.6693157379523302,0.016433754187253593,0.017601790533081436,0.0011533942295643973,0.0006409978095955893
100.0,2.0,1.0,230.90706003884983,0.8829872727221169,0.06635638341687401,0.07251543062712416,0.003614101290323468,0.004774176824298149
100.0,8.0,0.5,57.72676500971246,0.2434493248830053,0.0010200078317276699,0.0010758141238478723,3.7188885244343606e-05,4.4990133217515105e-06
100.0,8.0,1.0,57.72676500971246,0.4233431339000918,0.004035872546522926,0.004277415431490455,0.00022908336502730497,5.7347530089679744e-05
160.0,0.5,0.5,923.6282401553993,0.9984557127965541,1.0000000004338043,1.000000000321457,0.00382370000645893,0.03487907878196195
160.0,0.5,1.0,923.6282401553993,0.9984251762978271,1.0000000003213652,1.0000000002373424,0.0038589219721940626,0.03518023621785882
160.0,2.0,0.5,230.90706003884983,0.9984069824191371,0.9807337209091691,0.9863437116583393,0.004026226613267347,0.034501233053797487
160.0,2.0,1.0,230.90706003884983,0.998425152158814,0.999990534158805,0.9999930569825948,0.004058718785956428,0.035179833743360645
160.0,8.0,0.5,57.72676500971246,0.9522122606466449,0.10766124429513876,0.1458472553786872,0.0038614668106562444,0.010102283594422001
160.0,8.0,1.0,57.72676500971246,0.9949658024717055,0.4739831604974131,0.594829705618194,0.004093704477803328,0.02685658873024188
