round,naive_ci_pct,true_err_pct,gov_chi2_dof,state
1,10000.0,130.32545219204238,0.776733139293542,NORMAL_LEARNING
2,226.49598675169983,133.9298274628711,1.3404332598224924,NORMAL_LEARNING
3,15.739972092190646,42.3190102544484,1.335493181806156,NORMAL_LEARNING
