x_m,tau_s,C_EGDA_mol_L,C_EGDA_eq_mol_L,C_EGMA_mol_L,C_EGMA_eq_mol_L,C_EG_mol_L,C_EG_eq_mol_L,C_AcOH_mol_L,C_AcOH_eq_mol_L
0.00000000e+00,0.00000000e+00,2.50000000e-01,1.84788700e-04,0.00000000e+00,1.32241234e-02,0.00000000e+00,2.36591088e-01,0.00000000e+00,4.86406299e-01
1.00000000e-03,7.53982237e-01,2.49797725e-01,1.84788700e-04,2.02234158e-04,1.32241234e-02,4.06115290e-08,2.36591088e-01,2.02315381e-04,4.86406299e-01
2.00000000e-03,1.50796447e+00,2.49595615e-01,1.84788700e-04,4.04222738e-04,1.32241234e-02,1.62381140e-07,2.36591088e-01,4.04547500e-04,4.86406299e-01
3.00000000e-03,2.26194671e+00,2.49393669e-01,1.84788700e-04,6.05965972e-04,1.32241234e-02,3.65209250e-07,2.36591088e-01,6.06696391e-04,4.86406299e-01
4.00000000e-03,3.01592895e+00,2.49191887e-01,1.84788700e-04,8.07464092e-04,1.32241234e-02,6.48996780e-07,2.36591088e-01,8.08762085e-04,4.86406299e-01
5.00000000e-03,3.76991118e+00,2.48990269e-01,1.84788700e-04,1.00871733e-03,1.32241234e-02,1.01364474e-06,2.36591088e-01,1.01074462e-03,4.86406299e-01
6.00000000e-03,4.52389342e+00,2.48788815e-01,1.84788700e-04,1.20972591e-03,1.32241234e-02,1.45905422e-06,2.36591088e-01,1.21264402e-03,4.86406299e-01
7.00000000e-03,5.27787566e+00,2.48587525e-01,1.84788700e-04,1.41049008e-03,1.32241234e-02,1.98512643e-06,2.36591088e-01,1.41446033e-03,4.86406299e-01
8.00000000e-03,6.03185789e+00,2.48386398e-01,1.84788700e-04,1.61101006e-03,1.32241234e-02,2.59176264e-06,2.36591088e-01,1.61619358e-03,4.86406299e-01
9.00000000e-03,6.78584013e+00,2.48185435e-01,1.84788700e-04,1.81128607e-03,1.32241234e-02,3.27886423e-06,2.36591088e-01,1.81784380e-03,4.86406299e-01
1.00000000e-02,7.53982237e+00,2.47984635e-01,1.84788700e-04,2.01131836e-03,1.32241234e-02,4.04633266e-06,2.36591088e-01,2.01941103e-03,4.86406299e-01
1.10000000e-02,8.29380461e+00,2.47783999e-01,1.84788700e-04,2.21110715e-03,1.32241234e-02,4.89406951e-06,2.36591088e-01,2.22089529e-03,4.86406299e-01
1.20000000e-02,9.04778684e+00,2.47583525e-01,1.84788700e-04,2.41065267e-03,1.32241234e-02,5.82197641e-06,2.36591088e-01,2.42229663e-03,4.86406299e-01
1.30000000e-02,9.80176908e+00,2.47383215e-01,1.84788700e-04,2.60995516e-03,1.32241234e-02,6.82995511e-06,2.36591088e-01,2.62361507e-03,4.86406299e-01
1.40000000e-02,1.05557513e+01,2.47183067e-01,1.84788700e-04,2.80901484e-03,1.32241234e-02,7.91790745e-06,2.36591088e-01,2.82485065e-03,4.86406299e-01
1.50000000e-02,1.13097336e+01,2.46983082e-01,1.84788700e-04,3.00783193e-03,1.32241234e-02,9.08573535e-06,2.36591088e-01,3.02600340e-03,4.86406299e-01
1.60000000e-02,1.20637158e+01,2.46783260e-01,1.84788700e-04,3.20640668e-03,1.32241234e-02,1.03333408e-05,2.36591088e-01,3.22707336e-03,4.86406299e-01
1.70000000e-02,1.28176980e+01,2.46583600e-01,1.84788700e-04,3.40473931e-03,1.32241234e-02,1.16606260e-05,2.36591088e-01,3.42806056e-03,4.86406299e-01
1.80000000e-02,1.35716803e+01,2.46384102e-01,1.84788700e-04,3.60283004e-03,1.32241234e-02,1.30674931e-05,2.36591088e-01,3.62896503e-03,4.86406299e-01
1.90000000e-02,1.43256625e+01,2.46184767e-01,1.84788700e-04,3.80067912e-03,1.32241234e-02,1.45538443e-05,2.36591088e-01,3.82978681e-03,4.86406299e-01
2.00000000e-02,1.50796447e+01,2.45985594e-01,1.84788700e-04,3.99828676e-03,1.32241234e-02,1.61195821e-05,2.36591088e-01,4.03052592e-03,4.86406299e-01
2.10000000e-02,1.58336270e+01,2.45786582e-01,1.84788700e-04,4.19565319e-03,1.32241234e-02,1.77646089e-05,2.36591088e-01,4.23118241e-03,4.86406299e-01
2.20000000e-02,1.65876092e+01,2.45587733e-01,1.84788700e-04,4.39277865e-03,1.32241234e-02,1.94888273e-05,2.36591088e-01,4.43175630e-03,4.86406299e-01
2.30000000e-02,1.73415914e+01,2.45389045e-01,1.84788700e-04,4.58966335e-03,1.32241234e-02,2.12921400e-05,2.36591088e-01,4.63224763e-03,4.86406299e-01
2.40000000e-02,1.80955737e+01,2.45190518e-01,1.84788700e-04,4.78630754e-03,1.32241234e-02,2.31744497e-05,2.36591088e-01,4.83265644e-03,4.86406299e-01
2.50000000e-02,1.88495559e+01,2.44992153e-01,1.84788700e-04,4.98271143e-03,1.32241234e-02,2.51356592e-05,2.36591088e-01,5.03298274e-03,4.86406299e-01
2.60000000e-02,1.96035382e+01,2.44793949e-01,1.84788700e-04,5.17887525e-03,1.32241234e-02,2.71756715e-05,2.36591088e-01,5.23322659e-03,4.86406299e-01
2.70000000e-02,2.03575204e+01,2.44595906e-01,1.84788700e-04,5.37479923e-03,1.32241234e-02,2.92943895e-05,2.36591088e-01,5.43338801e-03,4.86406299e-01
2.80000000e-02,2.11115026e+01,2.44398025e-01,1.84788700e-04,5.57048360e-03,1.32241234e-02,3.14917165e-05,2.36591088e-01,5.63346703e-03,4.86406299e-01
2.90000000e-02,2.18654849e+01,2.44200304e-01,1.84788700e-04,5.76592858e-03,1.32241234e-02,3.37675555e-05,2.36591088e-01,5.83346369e-03,4.86406299e-01
3.00000000e-02,2.26194671e+01,2.44002744e-01,1.84788700e-04,5.96113441e-03,1.32241234e-02,3.61218099e-05,2.36591088e-01,6.03337803e-03,4.86406299e-01
3.10000000e-02,2.33734493e+01,2.43805344e-01,1.84788700e-04,6.15610130e-03,1.32241234e-02,3.85543830e-05,2.36591088e-01,6.23321006e-03,4.86406299e-01
3.20000000e-02,2.41274316e+01,2.43608105e-01,1.84788700e-04,6.35082948e-03,1.32241234e-02,4.10651784e-05,2.36591088e-01,6.43295984e-03,4.86406299e-01
3.30000000e-02,2.48814138e+01,2.43411027e-01,1.84788700e-04,6.54531919e-03,1.32241234e-02,4.36540995e-05,2.36591088e-01,6.63262738e-03,4.86406299e-01
3.40000000e-02,2.56353961e+01,2.43214108e-01,1.84788700e-04,6.73957063e-03,1.32241234e-02,4.63210500e-05,2.36591088e-01,6.83221273e-03,4.86406299e-01
3.50000000e-02,2.63893783e+01,2.43017350e-01,1.84788700e-04,6.93358405e-03,1.32241234e-02,4.90659337e-05,2.36591088e-01,7.03171592e-03,4.86406299e-01
3.60000000e-02,2.71433605e+01,2.42820752e-01,1.84788700e-04,7.12735967e-03,1.32241234e-02,5.18886544e-05,2.36591088e-01,7.23113697e-03,4.86406299e-01
3.70000000e-02,2.78973428e+01,2.42624313e-01,1.84788700e-04,7.32089770e-03,1.32241234e-02,5.47891160e-05,2.36591088e-01,7.43047593e-03,4.86406299e-01
3.80000000e-02,2.86513250e+01,2.42428034e-01,1.84788700e-04,7.51419838e-03,1.32241234e-02,5.77672225e-05,2.36591088e-01,7.62973283e-03,4.86406299e-01
3.90000000e-02,2.94053072e+01,2.42231915e-01,1.84788700e-04,7.70726194e-03,1.32241234e-02,6.08228780e-05,2.36591088e-01,7.82890769e-03,4.86406299e-01
4.00000000e-02,3.01592895e+01,2.42035955e-01,1.84788700e-04,7.90008858e-03,1.32241234e-02,6.39559867e-05,2.36591088e-01,8.02800056e-03,4.86406299e-01
4.10000000e-02,3.09132717e+01,2.41840155e-01,1.84788700e-04,8.09267855e-03,1.32241234e-02,6.71664529e-05,2.36591088e-01,8.22701146e-03,4.86406299e-01
4.20000000e-02,3.16672539e+01,2.41644514e-01,1.84788700e-04,8.28503207e-03,1.32241234e-02,7.04541810e-05,2.36591088e-01,8.42594043e-03,4.86406299e-01
4.30000000e-02,3.24212362e+01,2.41449032e-01,1.84788700e-04,8.47714935e-03,1.32241234e-02,7.38190754e-05,2.36591088e-01,8.62478750e-03,4.86406299e-01
4.40000000e-02,3.31752184e+01,2.41253708e-01,1.84788700e-04,8.66903062e-03,1.32241234e-02,7.72610406e-05,2.36591088e-01,8.82355270e-03,4.86406299e-01
4.50000000e-02,3.39292007e+01,2.41058544e-01,1.84788700e-04,8.86067611e-03,1.32241234e-02,8.07799813e-05,2.36591088e-01,9.02223607e-03,4.86406299e-01
4.60000000e-02,3.46831829e+01,2.40863538e-01,1.84788700e-04,9.05208604e-03,1.32241234e-02,8.43758023e-05,2.36591088e-01,9.22083765e-03,4.86406299e-01
4.70000000e-02,3.54371651e+01,2.40668691e-01,1.84788700e-04,9.24326064e-03,1.32241234e-02,8.80484083e-05,2.36591088e-01,9.41935745e-03,4.86406299e-01
4.80000000e-02,3.61911474e+01,2.40474002e-01,1.84788700e-04,9.43420011e-03,1.32241234e-02,9.17977043e-05,2.36591088e-01,9.61779552e-03,4.86406299e-01
4.90000000e-02,3.69451296e+01,2.40279472e-01,1.84788700e-04,9.62490470e-03,1.32241234e-02,9.56235952e-05,2.36591088e-01,9.81615189e-03,4.86406299e-01
5.00000000e-02,3.76991118e+01,2.40085099e-01,1.84788700e-04,9.81537462e-03,1.32241234e-02,9.95259862e-05,2.36591088e-01,1.00144266e-02,4.86406299e-01
5.10000000e-02,3.84530941e+01,2.39890885e-01,1.84788700e-04,1.00056101e-02,1.32241234e-02,1.03504782e-04,2.36591088e-01,1.02126197e-02,4.86406299e-01
