x_m,tau_s,X_EGDA,Y_EGMA,Y_EG
7.00000000e-02,5.27787566e+01,5.50773100e-02,5.43033363e-02,7.73973670e-04
7.10000000e-02,5.35327388e+01,5.58416305e-02,5.50457083e-02,7.95922156e-04
7.20000000e-02,5.42867211e+01,5.66053295e-02,5.57871611e-02,8.18168378e-04
7.30000000e-02,5.50407033e+01,5.73684075e-02,5.65276955e-02,8.40711965e-04
7.40000000e-02,5.57946855e+01,5.81308649e-02,5.72673124e-02,8.63552545e-04
7.50000000e-02,5.65486678e+01,5.88927024e-02,5.80060126e-02,8.86689748e-04
7.60000000e-02,5.73026500e+01,5.96539203e-02,5.87437971e-02,9.10123203e-04
7.70000000e-02,5.80566322e+01,6.04145192e-02,5.94806666e-02,9.33852540e-04
7.80000000e-02,5.88106145e+01,6.11744996e-02,6.02166222e-02,9.57877389e-04
7.90000000e-02,5.95645967e+01,6.19338619e-02,6.09516645e-02,9.82197380e-04
8.00000000e-02,6.03185789e+01,6.26926068e-02,6.16857946e-02,1.00681215e-03
8.10000000e-02,6.10725612e+01,6.34507346e-02,6.24190133e-02,1.03172132e-03
8.20000000e-02,6.18265434e+01,6.42082459e-02,6.31513214e-02,1.05692452e-03
8.30000000e-02,6.25805257e+01,6.49651412e-02,6.38827198e-02,1.08242140e-03
8.40000000e-02,6.33345079e+01,6.57214209e-02,6.46132093e-02,1.10821157e-03
8.50000000e-02,6.40884901e+01,6.64770856e-02,6.53427909e-02,1.13429468e-03
8.60000000e-02,6.48424724e+01,6.72321358e-02,6.60714655e-02,1.16067035e-03
8.70000000e-02,6.55964546e+01,6.79865720e-02,6.67992337e-02,1.18733822e-03
8.80000000e-02,6.63504368e+01,6.87403946e-02,6.75260966e-02,1.21429793e-03
8.90000000e-02,6.71044191e+01,6.94936041e-02,6.82520550e-02,1.24154910e-03
9.00000000e-02,6.78584013e+01,7.02462012e-02,6.89771098e-02,1.26909137e-03
9.10000000e-02,6.86123836e+01,7.09981861e-02,6.97012617e-02,1.29692438e-03
9.20000000e-02,6.93663658e+01,7.17495595e-02,7.04245118e-02,1.32504776e-03
9.30000000e-02,7.01203480e+01,7.25003219e-02,7.11468607e-02,1.35346114e-03
9.40000000e-02,7.08743303e+01,7.32504736e-02,7.18683095e-02,1.38216417e-03
9.50000000e-02,7.16283125e+01,7.40000153e-02,7.25888589e-02,1.41115647e-03
9.60000000e-02,7.23822947e+01,7.47489474e-02,7.33085098e-02,1.44043769e-03
9.70000000e-02,7.31362770e+01,7.54972705e-02,7.40272630e-02,1.47000746e-03
9.80000000e-02,7.38902592e+01,7.62449849e-02,7.47451195e-02,1.49986541e-03
9.90000000e-02,7.46442414e+01,7.69920912e-02,7.54620800e-02,1.53001119e-03
1.00000000e-01,7.53982237e+01,7.77385899e-02,7.61781454e-02,1.56044444e-03
1.01000000e-01,7.61522059e+01,7.84844815e-02,7.68933167e-02,1.59116478e-03
1.02000000e-01,7.69061882e+01,7.92297664e-02,7.76075945e-02,1.62217187e-03
1.03000000e-01,7.76601704e+01,7.99744452e-02,7.83209798e-02,1.65346533e-03
1.04000000e-01,7.84141526e+01,8.07185183e-02,7.90334735e-02,1.68504481e-03
1.05000000e-01,7.91681349e+01,8.14619863e-02,7.97450763e-02,1.71690994e-03
1.06000000e-01,7.99221171e+01,8.22048496e-02,8.04557892e-02,1.74906037e-03
1.07000000e-01,8.06760993e+01,8.29471087e-02,8.11656129e-02,1.78149574e-03
1.08000000e-01,8.14300816e+01,8.36887641e-02,8.18745484e-02,1.81421569e-03
1.09000000e-01,8.21840638e+01,8.44298163e-02,8.25825964e-02,1.84721985e-03
1.10000000e-01,8.29380461e+01,8.51702658e-02,8.32897579e-02,1.88050787e-03
1.11000000e-01,8.36920283e+01,8.59101130e-02,8.39960336e-02,1.91407939e-03
1.12000000e-01,8.44460105e+01,8.66493585e-02,8.47014244e-02,1.94793405e-03
1.13000000e-01,8.51999928e+01,8.73880027e-02,8.54059312e-02,1.98207150e-03
1.14000000e-01,8.59539750e+01,8.81260462e-02,8.61095548e-02,2.01649137e-03
1.15000000e-01,8.67079572e+01,8.88634893e-02,8.68122960e-02,2.05119332e-03
1.16000000e-01,8.74619395e+01,8.96003327e-02,8.75141557e-02,2.08617697e-03
1.17000000e-01,8.82159217e+01,9.03365767e-02,8.82151347e-02,2.12144198e-03
1.18000000e-01,8.89699039e+01,9.10722219e-02,8.89152339e-02,2.15698799e-03
1.19000000e-01,8.97238862e+01,9.18072687e-02,8.96144541e-02,2.19281465e-03
1.20000000e-01,9.04778684e+01,9.25417177e-02,9.03127961e-02,2.22892159e-03
1.21000000e-01,9.12318507e+01,9.32755693e-02,9.10102608e-02,2.26530847e-03
1.22000000e-01,9.19858329e+01,9.40088239e-02,9.17068490e-02,2.30197492e-03
1.23000000e-01,9.27398151e+01,9.47414822e-02,9.24025616e-02,2.33892060e-03
1.24000000e-01,9.34937974e+01,9.54735445e-02,9.30973994e-02,2.37614515e-03
1.25000000e-01,9.42477796e+01,9.62050114e-02,9.37913632e-02,2.41364821e-03
1.26000000e-01,9.50017618e+01,9.69358833e-02,9.44844538e-02,2.45142944e-03
1.27000000e-01,9.57557441e+01,9.76661607e-02,9.51766722e-02,2.48948847e-03
1.28000000e-01,9.65097263e+01,9.83958440e-02,9.58680191e-02,2.52782497e-03
1.29000000e-01,9.72637086e+01,9.91249339e-02,9.65584953e-02,2.56643856e-03
1.30000000e-01,9.80176908e+01,9.98534307e-02,9.72481018e-02,2.60532891e-03
1.31000000e-01,9.87716730e+01,1.00581335e-01,9.79368392e-02,2.64449565e-03
1.32000000e-01,9.95256553e+01,1.01308647e-01,9.86247086e-02,2.68393845e-03
1.33000000e-01,1.00279638e+02,1.02035368e-01,9.93117106e-02,2.72365694e-03
1.34000000e-01,1.01033620e+02,1.02761497e-01,9.99978461e-02,2.76365078e-03
1.35000000e-01,1.01787602e+02,1.03487036e-01,1.00683116e-01,2.80391961e-03
1.36000000e-01,1.02541584e+02,1.04211984e-01,1.01367521e-01,2.84446309e-03
1.37000000e-01,1.03295566e+02,1.04936343e-01,1.02051062e-01,2.88528086e-03
1.38000000e-01,1.04049549e+02,1.05660113e-01,1.02733740e-01,2.92637258e-03
1.39000000e-01,1.04803531e+02,1.06383293e-01,1.03415555e-01,2.96773790e-03
1.40000000e-01,1.05557513e+02,1.07105886e-01,1.04096509e-01,3.00937647e-03
1.41000000e-01,1.06311495e+02,1.07827891e-01,1.04776603e-01,3.05128793e-03
1.42000000e-01,1.07065478e+02,1.08549308e-01,1.05455836e-01,3.09347195e-03
1.43000000e-01,1.07819460e+02,1.09270139e-01,1.06134211e-01,3.13592816e-03
1.44000000e-01,1.08573442e+02,1.09990383e-01,1.06811727e-01,3.17865624e-03
1.45000000e-01,1.09327424e+02,1.10710041e-01,1.07488385e-01,3.22165582e-03
1.46000000e-01,1.10081407e+02,1.11429114e-01,1.08164188e-01,3.26492657e-03
1.47000000e-01,1.10835389e+02,1.12147602e-01,1.08839134e-01,3.30846813e-03
1.48000000e-01,1.11589371e+02,1.12865506e-01,1.09513225e-01,3.35228016e-03
1.49000000e-01,1.12343353e+02,1.13582825e-01,1.10186463e-01,3.39636231e-03
1.50000000e-01,1.13097336e+02,1.14299561e-01,1.10858847e-01,3.44071424e-03
1.51000000e-01,1.13851318e+02,1.15015714e-01,1.11530378e-01,3.48533560e-03
1.52000000e-01,1.14605300e+02,1.15731284e-01,1.12201058e-01,3.53022604e-03
1.53000000e-01,1.15359282e+02,1.16446272e-01,1.12870887e-01,3.57538524e-03
1.54000000e-01,1.16113264e+02,1.17160679e-01,1.13539866e-01,3.62081282e-03
1.55000000e-01,1.16867247e+02,1.17874504e-01,1.14207995e-01,3.66650847e-03
1.56000000e-01,1.17621229e+02,1.18587748e-01,1.14875277e-01,3.71247182e-03
1.57000000e-01,1.18375211e+02,1.19300413e-01,1.15541710e-01,3.75870254e-03
1.58000000e-01,1.19129193e+02,1.20012497e-01,1.16207297e-01,3.80520029e-03
1.59000000e-01,1.19883176e+02,1.20724003e-01,1.16872038e-01,3.85196471e-03
1.60000000e-01,1.20637158e+02,1.21434929e-01,1.17535934e-01,3.89899548e-03
1.61000000e-01,1.21391140e+02,1.22145277e-01,1.18198985e-01,3.94629224e-03
1.62000000e-01,1.22145122e+02,1.22855047e-01,1.18861193e-01,3.99385466e-03
1.63000000e-01,1.22899105e+02,1.23564240e-01,1.19522558e-01,4.04168240e-03
1.64000000e-01,1.23653087e+02,1.24272856e-01,1.20183081e-01,4.08977510e-03
1.65000000e-01,1.24407069e+02,1.24980895e-01,1.20842763e-01,4.13813244e-03
1.66000000e-01,1.25161051e+02,1.25688358e-01,1.21501604e-01,4.18675408e-03
1.67000000e-01,1.25915034e+02,1.26395246e-01,1.22159606e-01,4.23563966e-03
1.68000000e-01,1.26669016e+02,1.27101559e-01,1.22816770e-01,4.28478886e-03
1.69000000e-01,1.27422998e+02,1.27807296e-01,1.23473095e-01,4.33420132e-03
1.70000000e-01,1.28176980e+02,1.28512460e-01,1.24128584e-01,4.38387673e-03
1.71000000e-01,1.28930963e+02,1.29217050e-01,1.24783236e-01,4.43381473e-03
1.72000000e-01,1.29684945e+02,1.29921067e-01,1.25437052e-01,4.48401498e-03
1.73000000e-01,1.30438927e+02,1.30624511e-01,1.26090034e-01,4.53447715e-03
1.74000000e-01,1.31192909e+02,1.31327383e-01,1.26742182e-01,4.58520091e-03
1.75000000e-01,1.31946891e+02,1.32029683e-01,1.27393497e-01,4.63618590e-03
1.76000000e-01,1.32700874e+02,1.32731411e-01,1.28043980e-01,4.68743180e-03
1.77000000e-01,1.33454856e+02,1.33432569e-01,1.28693631e-01,4.73893828e-03
1.78000000e-01,1.34208838e+02,1.34133156e-01,1.29342451e-01,4.79070498e-03
1.79000000e-01,1.34962820e+02,1.34833173e-01,1.29990442e-01,4.84273158e-03
1.80000000e-01,1.35716803e+02,1.35532621e-01,1.30637603e-01,4.89501774e-03
1.81000000e-01,1.36470785e+02,1.36231499e-01,1.31283936e-01,4.94756313e-03
1.82000000e-01,1.37224767e+02,1.36929809e-01,1.31929442e-01,5.00036740e-03
1.83000000e-01,1.37978749e+02,1.37627551e-01,1.32574121e-01,5.05343023e-03
1.84000000e-01,1.38732732e+02,1.38324725e-01,1.33217973e-01,5.10675128e-03
1.85000000e-01,1.39486714e+02,1.39021332e-01,1.33861001e-01,5.16033022e-03
1.86000000e-01,1.40240696e+02,1.39717371e-01,1.34503205e-01,5.21416670e-03
1.87000000e-01,1.40994678e+02,1.40412845e-01,1.35144585e-01,5.26826041e-03
