x_m,tau_s,C_EGDA_mol_L,C_EGMA_mol_L,C_EG_mol_L,C_AcOH_mol_L,C_H2O_mol_L,C_OH_mol_L,X_EGDA,Y_EGMA,Y_EG
0.00000000e+00,0.00000000e+00,2.50000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.39242298e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-03,7.53982237e-01,2.49797725e-01,2.02234158e-04,4.06115290e-08,2.02315381e-04,5.39240275e+01,0.00000000e+00,8.09099080e-04,8.08936634e-04,1.62446116e-07
2.00000000e-03,1.50796447e+00,2.49595615e-01,4.04222738e-04,1.62381140e-07,4.04547500e-04,5.39238253e+01,0.00000000e+00,1.61754048e-03,1.61689095e-03,6.49524562e-07
3.00000000e-03,2.26194671e+00,2.49393669e-01,6.05965972e-04,3.65209250e-07,6.06696391e-04,5.39236231e+01,0.00000000e+00,2.42532473e-03,2.42386389e-03,1.46083700e-06
4.00000000e-03,3.01592895e+00,2.49191887e-01,8.07464092e-04,6.48996780e-07,8.08762085e-04,5.39234210e+01,0.00000000e+00,3.23245235e-03,3.22985637e-03,2.59598712e-06
5.00000000e-03,3.76991118e+00,2.48990269e-01,1.00871733e-03,1.01364474e-06,1.01074462e-03,5.39232191e+01,0.00000000e+00,4.03892389e-03,4.03486932e-03,4.05457895e-06
6.00000000e-03,4.52389342e+00,2.48788815e-01,1.20972591e-03,1.45905422e-06,1.21264402e-03,5.39230172e+01,0.00000000e+00,4.84473987e-03,4.83890366e-03,5.83621689e-06
7.00000000e-03,5.27787566e+00,2.48587525e-01,1.41049008e-03,1.98512643e-06,1.41446033e-03,5.39228153e+01,0.00000000e+00,5.64990082e-03,5.64196032e-03,7.94050571e-06
8.00000000e-03,6.03185789e+00,2.48386398e-01,1.61101006e-03,2.59176264e-06,1.61619358e-03,5.39226136e+01,0.00000000e+00,6.45440727e-03,6.44404022e-03,1.03670505e-05
9.00000000e-03,6.78584013e+00,2.48185435e-01,1.81128607e-03,3.27886423e-06,1.81784380e-03,5.39224120e+01,0.00000000e+00,7.25825975e-03,7.24514429e-03,1.31154569e-05
