c_fitted_M,c_true_M,censored,example,example_seed,fit_condition_number,qc_flags,residual_M,residual_rms,sigma_M,species
0.9072590749591232,0.9,0,low_conversion,20260809,2.634085691080884,,0.007259074959123146,0.4546932928419826,0.020394385111602735,EGDA
0.009798539987678084,0.07,0,low_conversion,20260809,2.634085691080884,,-0.06020146001232192,0.4546932928419826,0.015442697526931254,EGMA
0.011389126796737276,0.01,0,low_conversion,20260809,2.634085691080884,,0.001389126796737276,0.4546932928419826,0.002420295486657093,EG
0.07247440198231633,0.09,0,low_conversion,20260809,2.634085691080884,,-0.017525598017683663,0.4546932928419826,0.004784577151780748,AcOH
nan,nan,0,low_conversion,20260809,2.634085691080884,nmr_example_low_conversion.csv,nan,0.4546932928419826,nan,_spectrum_csv
0.33204594263759596,0.34,0,intermediate_overlap,20260809,2.572288397677574,FAIL residual rms 0.693 >> noise scale 0.0662 - lineshape model inadequate?,-0.007954057362404066,0.6928548276775652,0.00812877013286105,EGDA
0.3762433801143131,0.33,0,intermediate_overlap,20260809,2.572288397677574,FAIL residual rms 0.693 >> noise scale 0.0662 - lineshape model inadequate?,0.04624338011431306,0.6928548276775652,0.03696798072946512,EGMA
0.30289586062000257,0.3,0,intermediate_overlap,20260809,2.572288397677574,FAIL residual rms 0.693 >> noise scale 0.0662 - lineshape model inadequate?,0.002895860620002577,0.6928548276775652,0.005572390061897227,EG
0.9292936954443107,0.93,0,intermediate_overlap,20260809,2.572288397677574,FAIL residual rms 0.693 >> noise scale 0.0662 - lineshape model inadequate?,-0.0007063045556893188,0.6928548276775652,0.011374473908329047,AcOH
nan,nan,0,intermediate_overlap,20260809,2.572288397677574,nmr_example_intermediate_overlap.csv,nan,0.6928548276775652,nan,_spectrum_csv
0.04112957288531575,0.04,0,high_conversion,20260809,2.6006726638104913,,0.0011295728853157466,0.4911940128705156,0.0032888884207217307,EGDA
0.08595465558604562,0.11,0,high_conversion,20260809,2.6006726638104913,,-0.02404534441395438,0.4911940128705156,0.017169244741195158,EGMA
0.8281682345672048,0.83,0,high_conversion,20260809,2.6006726638104913,,-0.0018317654327951738,0.4911940128705156,0.012616159306254326,EG
1.7284023657381633,1.72,0,high_conversion,20260809,2.6006726638104913,,0.008402365738163331,0.4911940128705156,0.019068777083376637,AcOH
nan,nan,0,high_conversion,20260809,2.6006726638104913,nmr_example_high_conversion.csv,nan,0.4911940128705156,nan,_spectrum_csv
