x_m,tau_s,C_EGDA_mol_L,C_EGMA_mol_L,C_EG_mol_L,C_AcOH_mol_L,C_H2O_mol_L,C_OH_mol_L,X_EGDA,Y_EGMA,Y_EG
0.00000000e+00,0.00000000e+00,2.50000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.39242298e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-04,2.26194671e-01,2.49714195e-01,2.85719271e-04,8.57929411e-08,2.85890857e-04,5.39239439e+01,0.00000000e+00,1.14322026e-03,1.14287709e-03,3.43171764e-07
6.00000000e-04,4.52389342e-01,2.49428718e-01,5.70938902e-04,3.42971729e-07,5.71624845e-04,5.39236582e+01,0.00000000e+00,2.28512749e-03,2.28375561e-03,1.37188692e-06
9.00000000e-04,6.78584013e-01,2.49143569e-01,8.55659568e-04,7.71234365e-07,8.57202037e-04,5.39233726e+01,0.00000000e+00,3.42572321e-03,3.42263827e-03,3.08493746e-06
1.20000000e-03,9.04778684e-01,2.48858748e-01,1.13988195e-03,1.37027966e-06,1.14262251e-03,5.39230872e+01,0.00000000e+00,4.56500890e-03,4.55952778e-03,5.48111864e-06
1.50000000e-03,1.13097336e+00,2.48574253e-01,1.42360671e-03,2.13980683e-06,1.42788632e-03,5.39228019e+01,0.00000000e+00,5.70298607e-03,5.69442684e-03,8.55922732e-06
1.80000000e-03,1.35716803e+00,2.48290086e-01,1.70683454e-03,3.07951550e-06,1.71299357e-03,5.39225168e+01,0.00000000e+00,6.83965621e-03,6.82733815e-03,1.23180620e-05
2.10000000e-03,1.58336270e+00,2.48006245e-01,1.98956610e-03,4.18910567e-06,1.99794431e-03,5.39222319e+01,0.00000000e+00,7.97502081e-03,7.95826438e-03,1.67564227e-05
2.40000000e-03,1.80955737e+00,2.47722730e-01,2.27180206e-03,5.46827779e-06,2.28273862e-03,5.39219471e+01,0.00000000e+00,9.10908136e-03,9.08720825e-03,2.18731112e-05
2.70000000e-03,2.03575204e+00,2.47439540e-01,2.55354311e-03,6.91673266e-06,2.56737657e-03,5.39216624e+01,0.00000000e+00,1.02418394e-02,1.02141724e-02,2.76669307e-05
3.00000000e-03,2.26194671e+00,2.47156676e-01,2.83478990e-03,8.53417152e-06,2.85185824e-03,5.39213780e+01,0.00000000e+00,1.13732963e-02,1.13391596e-02,3.41366861e-05
3.30000000e-03,2.48814138e+00,2.46874137e-01,3.11554311e-03,1.03202960e-05,3.13618370e-03,5.39210936e+01,0.00000000e+00,1.25034536e-02,1.24621724e-02,4.12811840e-05
3.60000000e-03,2.71433605e+00,2.46591922e-01,3.39580341e-03,1.22748081e-05,3.42035303e-03,5.39208095e+01,0.00000000e+00,1.36323129e-02,1.35832136e-02,4.90992323e-05
3.90000000e-03,2.94053072e+00,2.46310031e-01,3.67557147e-03,1.43974102e-05,3.70436629e-03,5.39205254e+01,0.00000000e+00,1.47598755e-02,1.47022859e-02,5.75896409e-05
4.20000000e-03,3.16672539e+00,2.46028464e-01,3.95484795e-03,1.66878053e-05,3.98822356e-03,5.39202416e+01,0.00000000e+00,1.58861430e-02,1.58193918e-02,6.67512210e-05
