x_m,tau_s,C_EGDA_mol_L,C_EGMA_mol_L,C_EG_mol_L,C_AcOH_mol_L,C_H2O_mol_L,C_OH_mol_L,X_EGDA,Y_EGMA,Y_EG
9.30000000e-03,7.01203480e+00,2.26527991e-01,2.28653284e-02,6.06680420e-04,2.40786893e-02,5.11779752e+01,0.00000000e+00,9.38880354e-02,9.14613137e-02,2.42672168e-03
9.60000000e-03,7.23822947e+00,2.25808891e-01,2.35457038e-02,6.45405525e-04,2.48365149e-02,5.11772173e+01,0.00000000e+00,9.67644374e-02,9.41828153e-02,2.58162210e-03
9.90000000e-03,7.46442414e+00,2.25092087e-01,2.42226511e-02,6.85262391e-04,2.55931759e-02,5.11764607e+01,0.00000000e+00,9.96316539e-02,9.68906044e-02,2.74104956e-03
1.02000000e-02,7.69061882e+00,2.24377571e-01,2.48961833e-02,7.26245258e-04,2.63486738e-02,5.11757052e+01,0.00000000e+00,1.02489714e-01,9.95847332e-02,2.90498103e-03
1.05000000e-02,7.91681349e+00,2.23665338e-01,2.55663135e-02,7.68348391e-04,2.71030103e-02,5.11749508e+01,0.00000000e+00,1.05338647e-01,1.02265254e-01,3.07339357e-03
1.08000000e-02,8.14300816e+00,2.22955379e-01,2.62330546e-02,8.11566076e-04,2.78561867e-02,5.11741977e+01,0.00000000e+00,1.08178483e-01,1.04932218e-01,3.24626430e-03
1.11000000e-02,8.36920283e+00,2.22247688e-01,2.68964195e-02,8.55892619e-04,2.86082048e-02,5.11734456e+01,0.00000000e+00,1.11009249e-01,1.07585678e-01,3.42357047e-03
1.14000000e-02,8.59539750e+00,2.21542256e-01,2.75564212e-02,9.01322348e-04,2.93590659e-02,5.11726948e+01,0.00000000e+00,1.13830974e-01,1.10225685e-01,3.60528939e-03
1.17000000e-02,8.82159217e+00,2.20839078e-01,2.82130724e-02,9.47849613e-04,3.01087716e-02,5.11719451e+01,0.00000000e+00,1.16643688e-01,1.12852290e-01,3.79139845e-03
1.20000000e-02,9.04778684e+00,2.20138145e-01,2.88663860e-02,9.95468785e-04,3.08573236e-02,5.11711965e+01,0.00000000e+00,1.19447419e-01,1.15465544e-01,3.98187514e-03
