x_m,tau_s,X_EGDA,Y_EGMA,Y_EG
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-04,2.26194671e-01,3.17614163e-03,3.17349015e-03,2.65147832e-06
6.00000000e-04,4.52389342e-01,6.34214595e-03,6.33155732e-03,1.05886240e-05
9.00000000e-04,6.78584013e-01,9.49804511e-03,9.47425955e-03,2.37855665e-05
1.20000000e-03,9.04778684e-01,1.26438712e-02,1.26016547e-02,4.22165331e-05
1.50000000e-03,1.13097336e+00,1.57796562e-02,1.57138003e-02,6.58558469e-05
1.80000000e-03,1.35716803e+00,1.89054319e-02,1.88107540e-02,9.46779264e-05
2.10000000e-03,1.58336270e+00,2.20212302e-02,2.18925730e-02,1.28657285e-04
2.40000000e-03,1.80955737e+00,2.51270827e-02,2.49593142e-02,1.67768532e-04
2.70000000e-03,2.03575204e+00,2.82230210e-02,2.80110346e-02,2.11986370e-04
3.00000000e-03,2.26194671e+00,3.13090765e-02,3.10477909e-02,2.61285595e-04
3.30000000e-03,2.48814138e+00,3.43852807e-02,3.40696396e-02,3.15641100e-04
3.60000000e-03,2.71433605e+00,3.74516648e-02,3.70766369e-02,3.75027871e-04
3.90000000e-03,2.94053072e+00,4.05082599e-02,4.00688389e-02,4.39420987e-04
4.20000000e-03,3.16672539e+00,4.35550972e-02,4.30463016e-02,5.08795619e-04
4.50000000e-03,3.39292007e+00,4.65922077e-02,4.60090807e-02,5.83127031e-04
4.80000000e-03,3.61911474e+00,4.96196222e-02,4.89572316e-02,6.62390579e-04
5.10000000e-03,3.84530941e+00,5.26373716e-02,5.18908099e-02,7.46561713e-04
5.40000000e-03,4.07150408e+00,5.56454864e-02,5.48098705e-02,8.35615970e-04
5.70000000e-03,4.29769875e+00,5.86439974e-02,5.77144685e-02,9.29528982e-04
6.00000000e-03,4.52389342e+00,6.16329351e-02,6.06046586e-02,1.02827647e-03
6.30000000e-03,4.75008809e+00,6.46123297e-02,6.34804955e-02,1.13183426e-03
6.60000000e-03,4.97628276e+00,6.75822117e-02,6.63420335e-02,1.24017824e-03
6.90000000e-03,5.20247743e+00,7.05426113e-02,6.91893269e-02,1.35328441e-03
7.20000000e-03,5.42867211e+00,7.34935586e-02,7.20224297e-02,1.47112887e-03
7.50000000e-03,5.65486678e+00,7.64350836e-02,7.48413958e-02,1.59368777e-03
7.80000000e-03,5.88106145e+00,7.93672162e-02,7.76462788e-02,1.72093739e-03
8.10000000e-03,6.10725612e+00,8.22899864e-02,8.04371323e-02,1.85285408e-03
8.40000000e-03,6.33345079e+00,8.52034237e-02,8.32140095e-02,1.98941428e-03
8.70000000e-03,6.55964546e+00,8.81075580e-02,8.59769635e-02,2.13059452e-03
9.00000000e-03,6.78584013e+00,9.10024187e-02,8.87260473e-02,2.27637142e-03
9.30000000e-03,7.01203480e+00,9.38880354e-02,9.14613137e-02,2.42672168e-03
9.60000000e-03,7.23822947e+00,9.67644374e-02,9.41828153e-02,2.58162210e-03
9.90000000e-03,7.46442414e+00,9.96316539e-02,9.68906044e-02,2.74104956e-03
1.02000000e-02,7.69061882e+00,1.02489714e-01,9.95847332e-02,2.90498103e-03
1.05000000e-02,7.91681349e+00,1.05338647e-01,1.02265254e-01,3.07339357e-03
1.08000000e-02,8.14300816e+00,1.08178483e-01,1.04932218e-01,3.24626430e-03
1.11000000e-02,8.36920283e+00,1.11009249e-01,1.07585678e-01,3.42357047e-03
1.14000000e-02,8.59539750e+00,1.13830974e-01,1.10225685e-01,3.60528939e-03
1.17000000e-02,8.82159217e+00,1.16643688e-01,1.12852290e-01,3.79139845e-03
1.20000000e-02,9.04778684e+00,1.19447419e-01,1.15465544e-01,3.98187514e-03
1.23000000e-02,9.27398151e+00,1.22242196e-01,1.18065499e-01,4.17669703e-03
1.26000000e-02,9.50017618e+00,1.25028046e-01,1.20652205e-01,4.37584177e-03
1.29000000e-02,9.72637086e+00,1.27804999e-01,1.23225712e-01,4.57928710e-03
1.32000000e-02,9.95256553e+00,1.30573083e-01,1.25786072e-01,4.78701085e-03
1.35000000e-02,1.01787602e+01,1.33332326e-01,1.28333335e-01,4.99899092e-03
1.38000000e-02,1.04049549e+01,1.36082756e-01,1.30867550e-01,5.21520530e-03
1.41000000e-02,1.06311495e+01,1.38824401e-01,1.33388768e-01,5.43563206e-03
1.44000000e-02,1.08573442e+01,1.41557288e-01,1.35897039e-01,5.66024937e-03
1.47000000e-02,1.10835389e+01,1.44281447e-01,1.38392412e-01,5.88903545e-03
1.50000000e-02,1.13097336e+01,1.46996904e-01,1.40874936e-01,6.12196864e-03
1.53000000e-02,1.15359282e+01,1.49703688e-01,1.43344661e-01,6.35902734e-03
1.56000000e-02,1.17621229e+01,1.52401826e-01,1.45801636e-01,6.60019003e-03
1.59000000e-02,1.19883176e+01,1.55091345e-01,1.48245909e-01,6.84543528e-03
1.62000000e-02,1.22145122e+01,1.57772272e-01,1.50677531e-01,7.09474174e-03
1.65000000e-02,1.24407069e+01,1.60444636e-01,1.53096548e-01,7.34808814e-03
1.68000000e-02,1.26669016e+01,1.63108463e-01,1.55503010e-01,7.60545329e-03
1.71000000e-02,1.28930963e+01,1.65763781e-01,1.57896965e-01,7.86681608e-03
1.74000000e-02,1.31192909e+01,1.68410617e-01,1.60278461e-01,8.13215549e-03
1.77000000e-02,1.33454856e+01,1.71048997e-01,1.62647546e-01,8.40145057e-03
1.80000000e-02,1.35716803e+01,1.73678948e-01,1.65004268e-01,8.67468045e-03
1.83000000e-02,1.37978749e+01,1.76300498e-01,1.67348674e-01,8.95182434e-03
1.86000000e-02,1.40240696e+01,1.78913673e-01,1.69680811e-01,9.23286153e-03
1.89000000e-02,1.42502643e+01,1.81518499e-01,1.72000728e-01,9.51777139e-03
1.92000000e-02,1.44764589e+01,1.84115004e-01,1.74308471e-01,9.80653337e-03
1.95000000e-02,1.47026536e+01,1.86703214e-01,1.76604087e-01,1.00991270e-02
1.98000000e-02,1.49288483e+01,1.89283155e-01,1.78887623e-01,1.03955319e-02
2.01000000e-02,1.51550430e+01,1.91854853e-01,1.81159125e-01,1.06957277e-02
2.04000000e-02,1.53812376e+01,1.94418335e-01,1.83418641e-01,1.09996942e-02
2.07000000e-02,1.56074323e+01,1.96973627e-01,1.85666216e-01,1.13074113e-02
2.10000000e-02,1.58336270e+01,1.99520755e-01,1.87901896e-01,1.16188588e-02
2.13000000e-02,1.60598216e+01,2.02059745e-01,1.90125728e-01,1.19340167e-02
2.16000000e-02,1.62860163e+01,2.04590622e-01,1.92337757e-01,1.22528651e-02
2.19000000e-02,1.65122110e+01,2.07113414e-01,1.94538029e-01,1.25753842e-02
2.22000000e-02,1.67384057e+01,2.09628144e-01,1.96726590e-01,1.29015542e-02
2.25000000e-02,1.69646003e+01,2.12134840e-01,1.98903485e-01,1.32313554e-02
2.28000000e-02,1.71907950e+01,2.14633526e-01,2.01068758e-01,1.35647681e-02
