x_m,tau_s,C_EGDA_mol_L,C_EGMA_mol_L,C_EG_mol_L,C_AcOH_mol_L,C_H2O_mol_L,C_OH_mol_L,X_EGDA,Y_EGMA,Y_EG
0.00000000e+00,0.00000000e+00,2.50000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.39242298e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-04,2.26194671e-01,2.49939300e-01,6.06960471e-05,3.65595792e-09,6.07033590e-05,5.39241691e+01,0.00000000e+00,2.42798812e-04,2.42784188e-04,1.46238317e-08
6.00000000e-04,4.52389342e-01,2.49878615e-01,1.21369978e-04,1.46223453e-08,1.21399222e-04,5.39241084e+01,0.00000000e+00,4.85538400e-04,4.85479910e-04,5.84893811e-08
9.00000000e-04,6.78584013e-01,2.49817945e-01,1.82021798e-04,3.28965715e-08,1.82087591e-04,5.39240477e+01,0.00000000e+00,7.28218776e-04,7.28087190e-04,1.31586286e-07
1.20000000e-03,9.04778684e-01,2.49757290e-01,2.42651513e-04,5.84760213e-08,2.42768465e-04,5.39239870e+01,0.00000000e+00,9.70839957e-04,9.70606052e-04,2.33904085e-07
1.50000000e-03,1.13097336e+00,2.49696650e-01,3.03259131e-04,9.13578327e-08,3.03441847e-04,5.39239264e+01,0.00000000e+00,1.21340196e-03,1.21303652e-03,3.65431331e-07
1.80000000e-03,1.35716803e+00,2.49636024e-01,3.63844657e-04,1.31539371e-07,3.64107736e-04,5.39238657e+01,0.00000000e+00,1.45590479e-03,1.45537863e-03,5.26157484e-07
2.10000000e-03,1.58336270e+00,2.49575413e-01,4.24408098e-04,1.79017958e-07,4.24766134e-04,5.39238050e+01,0.00000000e+00,1.69834846e-03,1.69763239e-03,7.16071834e-07
2.40000000e-03,1.80955737e+00,2.49514817e-01,4.84949460e-04,2.33790919e-07,4.85417042e-04,5.39237444e+01,0.00000000e+00,1.94073300e-03,1.93979784e-03,9.35163674e-07
2.70000000e-03,2.03575204e+00,2.49454235e-01,5.45468749e-04,2.95855575e-07,5.46060461e-04,5.39236837e+01,0.00000000e+00,2.18305842e-03,2.18187500e-03,1.18342230e-06
3.00000000e-03,2.26194671e+00,2.49393669e-01,6.05965972e-04,3.65209254e-07,6.06696391e-04,5.39236231e+01,0.00000000e+00,2.42532473e-03,2.42386389e-03,1.46083702e-06
3.30000000e-03,2.48814138e+00,2.49333117e-01,6.66441134e-04,4.41849280e-07,6.67324833e-04,5.39235625e+01,0.00000000e+00,2.66753193e-03,2.66576454e-03,1.76739712e-06
3.60000000e-03,2.71433605e+00,2.49272580e-01,7.26894243e-04,5.25772979e-07,7.27945789e-04,5.39235019e+01,0.00000000e+00,2.90968006e-03,2.90757697e-03,2.10309192e-06
3.90000000e-03,2.94053072e+00,2.49212058e-01,7.87325303e-04,6.16977679e-07,7.88559259e-04,5.39234412e+01,0.00000000e+00,3.15176912e-03,3.14930121e-03,2.46791071e-06
4.20000000e-03,3.16672539e+00,2.49151550e-01,8.47734322e-04,7.15460707e-07,8.49165244e-04,5.39233806e+01,0.00000000e+00,3.39379913e-03,3.39093729e-03,2.86184283e-06
4.50000000e-03,3.39292007e+00,2.49091057e-01,9.08121306e-04,8.21219392e-07,9.09763745e-04,5.39233200e+01,0.00000000e+00,3.63577010e-03,3.63248522e-03,3.28487757e-06
4.80000000e-03,3.61911474e+00,2.49030579e-01,9.68486261e-04,9.34251064e-07,9.70354763e-04,5.39232595e+01,0.00000000e+00,3.87768205e-03,3.87394504e-03,3.73700426e-06
5.10000000e-03,3.84530941e+00,2.48970116e-01,1.02882919e-03,1.05455305e-06,1.03093830e-03,5.39231989e+01,0.00000000e+00,4.11953498e-03,4.11531677e-03,4.21821221e-06
5.40000000e-03,4.07150408e+00,2.48909668e-01,1.08915011e-03,1.18212269e-06,1.09151435e-03,5.39231383e+01,0.00000000e+00,4.36132892e-03,4.35660043e-03,4.72849075e-06
5.70000000e-03,4.29769875e+00,2.48849234e-01,1.14944901e-03,1.31695730e-06,1.15208293e-03,5.39230777e+01,0.00000000e+00,4.60306388e-03,4.59779605e-03,5.26782921e-06
6.00000000e-03,4.52389342e+00,2.48788815e-01,1.20972591e-03,1.45905423e-06,1.21264402e-03,5.39230172e+01,0.00000000e+00,4.84473987e-03,4.83890366e-03,5.83621691e-06
6.30000000e-03,4.75008809e+00,2.48728411e-01,1.26998082e-03,1.60841080e-06,1.27319764e-03,5.39229566e+01,0.00000000e+00,5.08635691e-03,5.07992327e-03,6.43364318e-06
6.60000000e-03,4.97628276e+00,2.48668021e-01,1.33021373e-03,1.76502434e-06,1.33374378e-03,5.39228961e+01,0.00000000e+00,5.32791501e-03,5.32085492e-03,7.06009737e-06
6.90000000e-03,5.20247743e+00,2.48607646e-01,1.39042466e-03,1.92889220e-06,1.39428244e-03,5.39228355e+01,0.00000000e+00,5.56941419e-03,5.56169862e-03,7.71556881e-06
7.20000000e-03,5.42867211e+00,2.48547286e-01,1.45061360e-03,2.10001171e-06,1.45481363e-03,5.39227750e+01,0.00000000e+00,5.81085446e-03,5.80245441e-03,8.40004684e-06
7.50000000e-03,5.65486678e+00,2.48486941e-01,1.51078058e-03,2.27838020e-06,1.51533734e-03,5.39227145e+01,0.00000000e+00,6.05223583e-03,6.04312231e-03,9.11352081e-06
7.80000000e-03,5.88106145e+00,2.48426610e-01,1.57092558e-03,2.46399501e-06,1.57585357e-03,5.39226540e+01,0.00000000e+00,6.29355832e-03,6.28370234e-03,9.85598006e-06
8.10000000e-03,6.10725612e+00,2.48366295e-01,1.63104863e-03,2.65685348e-06,1.63636234e-03,5.39225934e+01,0.00000000e+00,6.53482194e-03,6.52419453e-03,1.06274139e-05
8.40000000e-03,6.33345079e+00,2.48305993e-01,1.69114972e-03,2.85695295e-06,1.69686363e-03,5.39225329e+01,0.00000000e+00,6.77602671e-03,6.76459890e-03,1.14278118e-05
8.70000000e-03,6.55964546e+00,2.48245707e-01,1.75122887e-03,3.06429075e-06,1.75735745e-03,5.39224725e+01,0.00000000e+00,7.01717264e-03,7.00491548e-03,1.22571630e-05
9.00000000e-03,6.78584013e+00,2.48185435e-01,1.81128607e-03,3.27886423e-06,1.81784380e-03,5.39224120e+01,0.00000000e+00,7.25825975e-03,7.24514429e-03,1.31154569e-05
9.30000000e-03,7.01203480e+00,2.48125178e-01,1.87132134e-03,3.50067072e-06,1.87832268e-03,5.39223515e+01,0.00000000e+00,7.49928804e-03,7.48528536e-03,1.40026829e-05
9.60000000e-03,7.23822947e+00,2.48064936e-01,1.93133468e-03,3.72970757e-06,1.93879409e-03,5.39222910e+01,0.00000000e+00,7.74025754e-03,7.72533871e-03,1.49188303e-05
9.90000000e-03,7.46442414e+00,2.48004708e-01,1.99132609e-03,3.96597212e-06,1.99925804e-03,5.39222306e+01,0.00000000e+00,7.98116826e-03,7.96530437e-03,1.58638885e-05
1.02000000e-02,7.69061882e+00,2.47944495e-01,2.05129559e-03,4.20946171e-06,2.05971451e-03,5.39221701e+01,0.00000000e+00,8.22202021e-03,8.20518237e-03,1.68378468e-05
1.05000000e-02,7.91681349e+00,2.47884297e-01,2.11124318e-03,4.46017369e-06,2.12016353e-03,5.39221096e+01,0.00000000e+00,8.46281341e-03,8.44497272e-03,1.78406947e-05
