species,true_M,estimated_M,sigma_M
EGDA,0.3125477333023335,0.31174655867306017,0.00763762948579831
EGDA,0.3446799017626284,0.33535846711106854,0.008041857628564731
EGDA,0.42886762770002657,0.4232142741763467,0.010038868184550461
EGDA,0.3086842037710456,0.3094384953465252,0.007099673701050367
EGDA,0.2916021645274502,0.2957072665998868,0.006864152219004546
EGDA,0.24148936937811555,0.23429996258367658,0.006940102942926744
EGDA,0.0886319026638972,0.08308548138796953,0.0048192177052868695
EGDA,0.07899155936392849,0.07902103839615957,0.004493806108259162
EGDA,0.3457234260614447,0.34977188948907484,0.008271340334433141
EGDA,0.06280497007565977,0.071596225771586,0.004988173103220363
EGDA,0.4178768749976751,0.41449260528435555,0.009817562569512505
EGDA,0.29364482634622924,0.29420382966496095,0.006964593845871806
EGDA,0.4783191539196613,0.47808131131436066,0.00944231873605558
EGDA,0.34034305289187317,0.34451538117550357,0.007599188625830237
EGDA,0.2798614740780515,0.28264741860267006,0.007841611609962619
EGDA,0.03556320434888377,0.03546453538217353,0.0026738512589374584
EGDA,0.23730237771583979,0.23490259984601253,0.00709652300438663
EGDA,0.045732270037028344,0.04086375643646581,0.003401050093068689
EGDA,0.0013035242447935746,0.0010064849386916261,0.0021249597105252125
EGDA,0.38135371297601184,0.38379726029870903,0.00955768436251828
EGDA,0.2457405960880067,0.2469610475788341,0.006060086727531657
EGDA,0.4097830150955693,0.4067062823879598,0.00856988981487035
EGDA,0.043314655875227426,0.04148975088603956,0.003132495558883701
EGDA,0.40504307670354955,0.40393285421790154,0.008876390287645457
EGDA,0.06412632738934876,0.06394606098707607,0.004963140189120806
EGDA,0.1590115469638952,0.15296922683334108,0.005686115525616549
EGDA,0.1720794165168404,0.17408299237560376,0.005085589859938419
EGDA,0.12059321158827757,0.12124555522396908,0.004141796810681567
EGDA,0.43174756977691764,0.41490783885887417,0.010512408832333847
EGDA,0.18455224154570943,0.185289138843949,0.006198924315877232
EGDA,0.26766030761122134,0.2718579785041547,0.006446951010333725
