design_select_s,measure_fit_s,round,round_total_s,scenario,seed,strategy
3.6501624579977943,0.08173687499947846,1,3.731945875002566,S1_ideal,1,E
2.5368354999991425,0.2434522500007006,2,2.780360417000338,S1_ideal,1,E
2.467365249998693,0.24574570799813955,3,2.7131422919992474,S1_ideal,1,E
2.4387682499982475,0.3000428749983257,4,2.7388798329993733,S1_ideal,1,E
2.450196000001597,0.36941983299766434,5,2.819661792000261,S1_ideal,1,E
2.54531679199863,0.44335666700135334,6,2.988727874999313,S1_ideal,1,E
2.54595233299915,0.43805966599757085,7,2.9840800409983785,S1_ideal,1,E
0.0,0.5474172909998742,8,0.5474826659992686,S1_ideal,1,E
3.3969211669973447,0.11272833400289528,1,3.5096702090013423,S1_ideal,2,E
2.503570042001229,0.21205800000097952,2,2.715656708001916,S1_ideal,2,E
2.449810374997469,0.33904258300026413,3,2.788885375000973,S1_ideal,2,E
2.4253705839983013,0.3379942499996105,4,2.763404624998657,S1_ideal,2,E
2.5251299170013226,0.42497020800146856,5,2.9502338329984923,S1_ideal,2,E
2.5533810420020018,0.4907939170007012,6,3.0442317919987545,S1_ideal,2,E
2.539808500001527,0.5934275839972543,7,3.133296124997287,S1_ideal,2,E
0.0,0.5995335830011754,8,0.5997317910005222,S1_ideal,2,E
3.465451332998782,0.07413591599834035,1,3.5396097080010804,S1_ideal,3,E
2.484515749998536,0.22889862499869196,2,2.713443290998839,S1_ideal,3,E
2.3753696249987115,0.4060094999986177,3,2.781469334000576,S1_ideal,3,E
2.4177120410022326,0.2738519170015934,4,2.6916770839998208,S1_ideal,3,E
2.4285232920010458,0.4190996670004097,5,2.847752292000223,S1_ideal,3,E
2.4797012500021083,0.5287162919994444,6,3.008577624997997,S1_ideal,3,E
2.49054866699953,0.6775644580011431,7,3.168177832998481,S1_ideal,3,E
0.0,0.7444132499986154,8,0.7444847080005275,S1_ideal,3,E
3.696382416997949,0.07945095800096169,1,3.7758535829998436,S1_ideal,4,E
2.4968127079991973,0.2676992499982589,2,2.7645394999999553,S1_ideal,4,E
2.4794198339986906,0.27091154200024903,3,2.7503634589993453,S1_ideal,4,E
2.504785125001945,0.26375808299781056,4,2.7686539579990495,S1_ideal,4,E
2.4717917909983953,0.35960541700114845,5,2.831534917000681,S1_ideal,4,E
2.5476715000004333,0.48816433300089557,6,3.0358868330004043,S1_ideal,4,E
2.540619332998176,0.4227459159992577,7,2.9634312909984146,S1_ideal,4,E
0.0,0.5877615419994981,8,0.5878267500011134,S1_ideal,4,E
3.9777935419988353,0.06738716700056102,1,4.045201332999568,S1_ideal,5,E
2.2480757090015686,0.3853211250025197,2,2.6334667500013893,S1_ideal,5,E
2.444248041996616,0.4581732920014474,3,2.902453541999421,S1_ideal,5,E
2.409678874999372,0.2727115839988983,4,2.6824292089986557,S1_ideal,5,E
2.4648447500003385,0.32319570800245856,5,2.7880890000014915,S1_ideal,5,E
2.4830371249991003,0.4936381250008708,6,2.976731082999322,S1_ideal,5,E
2.4928645840009267,0.5140007500012871,7,3.0069294170025387,S1_ideal,5,E
0.0,0.5964676660005352,8,0.5965409159980481,S1_ideal,5,E
4.297267541998735,0.10564674999841372,1,4.402966290999757,S1_ideal,6,E
2.3957251249994442,0.3722735420014942,2,2.7680274580015976,S1_ideal,6,E
2.4300066670002707,0.3405987920014013,3,2.770635125001718,S1_ideal,6,E
2.467775832999905,0.3662056670000311,4,2.834022125000047,S1_ideal,6,E
2.4874788750021253,0.4067388330004178,5,2.894259750002675,S1_ideal,6,E
2.478062374997535,0.45181170900104917,6,2.92992195899933,S1_ideal,6,E
2.4409148749982705,0.5783286250007222,7,3.0192989999995916,S1_ideal,6,E
0.0,0.6658789579996665,8,0.6659435000001395,S1_ideal,6,E
3.6544467089988757,0.08214470799794071,1,3.7366122909988917,S1_ideal,7,E
2.2849445410029148,0.3383818330003123,2,2.623356957999931,S1_ideal,7,E
2.4775535839980876,0.4361077920002572,3,2.9136938329975237,S1_ideal,7,E
2.4474234160006745,0.2939883330000157,4,2.7414481670020905,S1_ideal,7,E
2.4198685419978574,0.31394504200216033,5,2.733859042000404,S1_ideal,7,E
2.505970250000246,0.4210897090015351,6,2.9271095000003697,S1_ideal,7,E
2.446825582999736,0.6513098339964927,7,3.0981901249979273,S1_ideal,7,E
0.0,0.4684917909980868,8,0.46855362499991315,S1_ideal,7,E
3.7408398750012566,0.08776479200241738,1,3.828627000002598,S1_ideal,8,E
2.436589875000209,0.26147087500066846,2,2.6981287090020487,S1_ideal,8,E
2.3738610000000335,0.30521187499834923,3,2.6791031249995285,S1_ideal,8,E
2.422037000000273,0.37840583300203434,4,2.8005475829995703,S1_ideal,8,E
2.4836777089985844,0.3206600420016912,5,2.8043850419999217,S1_ideal,8,E
2.4619553339980484,0.4552466249988356,6,2.917255166998075,S1_ideal,8,E
2.548190624998824,0.4364028749987483,7,2.984652458999335,S1_ideal,8,E
0.0,0.5549759169989557,8,0.5550422089982021,S1_ideal,8,E
3.4896648329995514,0.12145479199898546,1,3.61114670799725,S1_ideal,9,E
2.307773749998887,0.30167333300050814,2,2.6095202500000596,S1_ideal,9,E
2.456979541999317,0.4162474580007256,3,2.8732570000029227,S1_ideal,9,E
2.4660262079996755,0.26315045799856307,4,2.729211165999004,S1_ideal,9,E
2.458955750000314,0.48153445899879443,5,2.940621875000943,S1_ideal,9,E
2.45264133299861,0.4472219169983873,6,2.8999162079999223,S1_ideal,9,E
2.5244297080025717,0.5022532500006491,7,3.0267373749993567,S1_ideal,9,E
0.0,0.7834040420020756,8,0.783607834000577,S1_ideal,9,E
3.26666829199894,0.06771412499801954,1,3.3344306250000955,S1_ideal,10,E
2.325292416000593,0.2312396670022281,2,2.5565598330031207,S1_ideal,10,E
2.3876485000000685,0.32605941600195365,3,2.7137381250031467,S1_ideal,10,E
2.4400521669995214,0.23326841699963552,4,2.673358542000642,S1_ideal,10,E
2.466133958001592,0.3575734999976703,5,2.8237550419980835,S1_ideal,10,E
2.5029706669993175,0.37182654199932585,6,2.874850083997444,S1_ideal,10,E
2.5024028750012803,0.46050362499954645,7,2.9630683329996828,S1_ideal,10,E
0.0,0.7669187499996042,8,0.7671249999984866,S1_ideal,10,E
10.59348966700054,0.08327437499974621,1,10.676783917002467,S1_ideal,11,E
2.6181378750006843,0.3127724580008362,2,2.930979083001148,S1_ideal,11,E
2.4874149999996007,0.28563608300100896,3,2.773082957999577,S1_ideal,11,E
2.4142137079979875,0.3714040000013483,4,2.785656415999256,S1_ideal,11,E
2.413928666999709,0.39021012499870267,5,2.8042598749998433,S1_ideal,11,E
2.4867266660003224,0.5151376249996247,6,3.0019134169997415,S1_ideal,11,E
2.507834500000172,0.6036017500009621,7,3.1114886659997865,S1_ideal,11,E
0.0,0.6117073749992414,8,0.6117715839973243,S1_ideal,11,E
20.144403041998885,0.08596687499812106,1,20.230386750001344,S1_ideal,12,E
2.31298975000027,0.376752458003466,2,2.6897645000026387,S1_ideal,12,E
2.458755249997921,0.3707347919989843,3,2.829519834001985,S1_ideal,12,E
2.515449417001946,0.4360884160014393,4,2.9515769999998156,S1_ideal,12,E
2.4983724169978814,0.5291767080016143,5,3.02759000000151,S1_ideal,12,E
2.504613666998921,0.6907349169996451,6,3.1954961250012275,S1_ideal,12,E
2.532416584002931,0.8271804159994645,7,3.3596519579987216,S1_ideal,12,E
0.0,0.8082374580008036,8,0.8084209579974413,S1_ideal,12,E
3.355294832999789,0.09025991700036684,1,3.4455703339990578,S1_ideal,13,E
2.6733917909987213,0.31212054199932027,2,2.9855677079976886,S1_ideal,13,E
2.4644531670019205,0.3567767919994367,3,2.821259124997596,S1_ideal,13,E
2.47186208399944,0.26858125000217115,4,2.740484917001595,S1_ideal,13,E
2.48450695900101,0.4176758339999651,5,2.9022243340004934,S1_ideal,13,E
2.486670583002706,0.4335660420001659,6,2.920286833999853,S1_ideal,13,E
2.4844970000012836,0.42067349999706494,7,2.9052222079990315,S1_ideal,13,E
0.0,0.5812001250014873,8,0.5813795419999224,S1_ideal,13,E
3.5807027080008993,0.05971108299854677,1,3.6404294579988346,S1_ideal,14,E
2.7463157909987785,0.27637812499961,2,3.0227178749992163,S1_ideal,14,E
2.4304792500006442,0.39708941699791467,3,2.82760445799795,S1_ideal,14,E
2.3879174169996986,0.26180899999963003,4,2.6497628329998406,S1_ideal,14,E
2.4630247080021945,0.30361720799919567,5,2.7667580000015732,S1_ideal,14,E
2.506430833000195,0.43536670799949206,6,2.9418465409980854,S1_ideal,14,E
2.4686122919993068,0.48592604199802736,7,2.9545945829995617,S1_ideal,14,E
0.0,0.6288076249984442,8,0.6288734169975214,S1_ideal,14,E
11.915688417000638,0.08275945800050977,1,11.998486083000898,S1_ideal,15,E
2.5295768329997372,0.3017663749997155,2,2.831369542000175,S1_ideal,15,E
2.4425268750019313,0.35562908299834817,3,2.7982482079969486,S1_ideal,15,E
2.4553947079984937,0.2432650829978229,4,2.6987012499994307,S1_ideal,15,E
2.429822125002829,0.37553329200090957,5,2.805404083999747,S1_ideal,15,E
2.4100890000008803,0.5510416670003906,6,2.9612229589984054,S1_ideal,15,E
2.527095792000182,0.5612176670001645,7,3.088369832999888,S1_ideal,15,E
0.0,0.5757260419995873,8,0.5757983330004208,S1_ideal,15,E
3.8541790839990426,0.09742074999667238,1,3.951636874997348,S1_ideal,16,E
2.321732708998752,0.259778625000763,2,2.5815345000009984,S1_ideal,16,E
2.4382671249986743,0.3793168339980184,3,2.8176157499983674,S1_ideal,16,E
2.4291724169997906,0.3265085839993844,4,2.755720041997847,S1_ideal,16,E
2.4062474999991537,0.32571304100201814,5,2.7320024159998866,S1_ideal,16,E
2.5069135409976298,0.6121937499992782,6,3.1193213750011637,S1_ideal,16,E
2.5004837499982386,0.58098316700125,7,3.081638458999805,S1_ideal,16,E
0.0,0.4959886249998817,8,0.49605366600007983,S1_ideal,16,E
3.901097624999238,0.056819249999534804,1,3.957932207998965,S1_ideal,17,E
2.3970504169992637,0.25931800000034855,2,2.6563927500028512,S1_ideal,17,E
2.4334174590003386,0.31560466699738754,3,2.7490514169985545,S1_ideal,17,E
2.4514465420033957,0.2719855840005039,4,2.723469375003333,S1_ideal,17,E
2.450739292002254,0.31523366699912003,5,2.7660132500022883,S1_ideal,17,E
2.491152875001717,0.4741282079994562,6,2.965423292000196,S1_ideal,17,E
2.437128665998898,0.5390107499988517,7,2.97629679199963,S1_ideal,17,E
0.0,0.6210485830015386,8,0.6211072500009323,S1_ideal,17,E
3.491251250001369,0.07091004199901363,1,3.5621780840010615,S1_ideal,18,E
2.610732166998787,0.2675926249976328,2,2.878349665999849,S1_ideal,18,E
2.417068917002325,0.4132882080011768,3,2.830464333001146,S1_ideal,18,E
2.434357791997172,0.28472366699861595,4,2.719121958998585,S1_ideal,18,E
2.4776675829998567,0.49754504099837504,5,2.975258540998766,S1_ideal,18,E
2.4874506250016566,0.491017832999205,6,2.978517332998308,S1_ideal,18,E
2.4833611249996466,0.5786208749996149,7,3.0621511659992393,S1_ideal,18,E
0.0,0.6259146249976766,8,0.6259805829977267,S1_ideal,18,E
3.732710207998025,0.10453516699999454,1,3.8372874590022548,S1_ideal,19,E
2.296953958000813,0.24260058300205856,2,2.5395845000020927,S1_ideal,19,E
2.42223520799962,0.40270637499997974,3,2.8249725830028183,S1_ideal,19,E
