T_trend_r,affected_region,affected_species,alpha_round_threshold,chi2_over_dof,p_bootstrap,p_combined_best_model,p_component_T_trend,p_component_chi2,p_component_species_bias,p_component_worst_cell,p_component_z_autocorr,p_model_irreversible,p_model_rev-dilute,p_model_rev-pitzer,rejected_at_threshold,round,round_first_detected,scenario,seed,species_bias_z_AcOH,species_bias_z_EG,species_bias_z_EGDA,species_bias_z_EGMA,state,strategy,trigger_reasons,z_autocorr_r
0.0,,,0.00625,1.0050900551649498,nan,0.9538399758683017,1.0,0.4594284248980454,0.8755206952403369,0.8755206952403369,0.7976365027212162,,,0.9538399758683017,0,1,-1,S1_ideal,1,0.36577534430173514,-0.31933386659588603,0.8309238902513438,-0.19480274439775466,NORMAL_LEARNING,F,,-0.1388681291551963
0.0,,,0.00625,0.75503129725134,nan,0.9968080909804787,1.0,0.9425736306240662,0.773277444883262,0.959108766599339,0.6831818156173404,,,0.9968080909804787,0,2,-1,S1_ideal,1,0.7267315081795196,-0.7924191802695351,1.0153040195399448,0.29300916179786296,NORMAL_LEARNING,F,,-0.05616960506010723
0.0,,,0.00625,0.7269575837066552,nan,0.9928352717751121,1.0,0.9874818028872714,0.8892727844089598,0.9628937237155439,0.6275740414340812,,,0.9928352717751121,0,3,-1,S1_ideal,1,0.5587158759603456,-0.48031930112628823,0.8009698971990621,-0.0028599255585819426,NORMAL_LEARNING,F,,-0.03131499144693185
0.4289564248957481,,,0.00625,0.8089389673072067,nan,0.8152754399225857,0.6465091677991766,0.9606635691437504,0.7940413149751843,0.9712535901721966,0.28664628353721344,,,0.8152754399225857,0,4,-1,S1_ideal,1,-0.06290244257942888,0.060369975123699064,0.9815260762881448,0.6682038894423178,NORMAL_LEARNING,F,,0.046934084316819634
0.08337282164534868,,,0.00625,0.8747996290991296,nan,0.7971020795172271,0.9059239972748858,0.8951591183177751,0.8897160867477262,0.979462768800085,0.27313205103604854,,,0.7971020795172271,0,5,-1,S1_ideal,1,-0.5992184190498078,0.39999543027592416,0.799971507551383,0.6543213736458744,NORMAL_LEARNING,F,,0.04497237338882542
0.4623374536312938,,,0.00625,0.8650519682977359,nan,0.6982487187480912,0.38621019336534756,0.9331761600776257,0.6391927046959367,0.9597612642569615,0.21308137475940253,,,0.6982487187480912,0,6,-1,S1_ideal,1,-0.5472061897395206,0.7903420244200255,1.213419591339622,0.969416826422367,NORMAL_LEARNING,F,,0.0541456394025284
0.41915513172632834,,,0.00625,0.8944968134250808,nan,0.9020715579474794,0.37167871940719566,0.8947978930915587,0.5528605158482542,0.9739924807544315,0.4352178427597299,,,0.9020715579474794,0,7,-1,S1_ideal,1,-0.29697480549494826,1.1963057605126246,1.3338029383549286,1.1788559000364847,NORMAL_LEARNING,F,,0.010274655434435691
0.2903994983656394,,,0.00625,0.8702687984577807,nan,0.9432302915042856,0.5037571071726415,0.9530099907545111,0.43659158036839907,0.9370754661976121,0.46144923398058124,,,0.9432302915042856,0,8,-1,S1_ideal,1,-0.33891227502018967,1.2393545219357314,1.4999584843372142,1.3567695700814075,NORMAL_LEARNING,F,,0.005703012008099026
0.0,,,0.00625,1.0231368759385375,nan,0.9400174896887866,1.0,0.430354163542502,0.8096144125757492,0.8096144125757492,0.7410609481220182,,,0.9400174896887866,0,1,-1,S1_ideal,2,0.9552610279132563,-0.9113139774848089,-0.26489890179076625,-0.43664010934416825,NORMAL_LEARNING,F,,-0.1077699502977607
0.0,,,0.00625,1.0426406795814158,nan,0.9069902220085334,1.0,0.3781212434054665,0.46257033512444745,0.8766631934998697,0.7426307921114623,,,0.9069902220085334,0,2,-1,S1_ideal,2,1.4618227892098425,-1.4027027409114015,-0.3905345382017111,-0.9027825685799913,NORMAL_LEARNING,F,,-0.07677733794035346
0.0,,,0.00625,0.9843283321578088,nan,0.8196199932225146,1.0,0.5297792209928233,0.2900337895070383,0.9543217340547506,0.7796246091122836,,,0.8196199932225146,0,3,-1,S1_ideal,2,1.7387979799609425,-1.3140970790926,-0.24264382228807937,-0.9506928032875327,NORMAL_LEARNING,F,,-0.07418239109399347
-0.8120309928845454,misfit correlated with temperature,,0.00625,0.92360935604813,nan,0.7739145116277593,0.257229687129522,0.7421382165291546,0.4716849526018172,0.7026647552349924,0.6335391190231514,,,0.7739145116277593,0,4,-1,S1_ideal,2,1.4486213614768704,-0.8640358813898917,-0.11756335354225565,-0.5369089724877725,NORMAL_LEARNING,F,,-0.02843679407314475
-0.49311825530841574,,,0.00625,0.9420137357838282,nan,0.9473019087198536,0.4449156576240523,0.708327956152633,0.6008717478439607,0.7988458654380234,0.8963680236453442,,,0.9473019087198536,0,5,-1,S1_ideal,2,1.2669786528195726,-0.5213320121339716,-0.02188642525314918,-0.34417401672834286,NORMAL_LEARNING,F,,-0.09399867905077883
-0.6783077128999003,misfit correlated with temperature,,0.00625,1.0064225562112687,nan,0.5628772850403421,0.15253713873881952,0.46012097863294193,0.46549637463792626,0.9096358484321498,0.8728750524546535,,,0.5628772850403421,0,6,-1,S1_ideal,2,1.4575755425949852,-0.9183352580836923,-0.2813084223532848,-0.5989182868655882,NORMAL_LEARNING,F,,-0.07757312129392664
-0.6076915488440866,misfit correlated with temperature,,0.00625,0.9936905595499717,nan,0.5777654604582024,0.15839026321018168,0.5181485745045137,0.2869817238084862,0.9418586365900102,0.9066376299311638,,,0.5777654604582024,0,7,-1,S1_ideal,2,1.7444229212488718,-0.9447483907410568,0.18699784654747315,-0.5321908756668143,NORMAL_LEARNING,F,,-0.08317299540028739
-0.5195048721310597,misfit correlated with temperature,,0.00625,1.050452184312911,nan,0.6682413929293411,0.1980183344856815,0.25838514410930796,0.3059534938930716,0.9542104315008286,0.9144475882547995,,,0.6682413929293411,0,8,-1,S1_ideal,2,1.7100324380929912,-0.7594538896598382,0.28005485403412567,-0.4598716495303387,NORMAL_LEARNING,F,,-0.08064920633725489
0.0,,,0.00625,1.5367744294671177,nan,0.112183751816742,1.0,0.023517155352258155,0.3040291745349508,0.3040291745349508,0.8742704731040595,,,0.112183751816742,0,1,-1,S1_ideal,3,1.7134604482275595,0.20771676410381942,0.3710276660025076,-0.6328964923549381,NORMAL_LEARNING,F,,-0.1911354441252306
0.0,,,0.00625,1.2441350836936098,nan,0.32635775844554604,1.0,0.07597044467987525,0.0887962198837362,0.5282775616616867,0.6181376643417231,,,0.32635775844554604,0,2,-1,S1_ideal,3,2.273782853000374,0.4309283702121488,0.8550779357198777,-0.2683239156300895,NORMAL_LEARNING,F,,-0.03542525547160346
0.0,,,0.00625,1.1585085580539238,nan,0.4678446262889162,1.0,0.11852968678254333,0.6322121218532736,0.801234141629136,0.6564177216309595,,,0.4678446262889162,0,3,-1,S1_ideal,3,1.080876394609277,0.09845454289140979,0.45157966351355144,-1.2232171725462841,NORMAL_LEARNING,F,,-0.0387503980438882
