strategy,time_s,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
A,1475.442360233099,394.41286201324885,10000.0,nan,0.126000953796397
A,4150.884720466198,119.57457363212498,10000.0,nan,0.02827828641418539
A,6826.327080699297,163.25842745338878,10000.0,nan,0.027597956067009995
B,2375.442360233099,218.31454519713574,10000.0,nan,0.09611838212031289
B,6040.884720466198,220.8975129293628,10000.0,nan,0.03696018385421586
B,9706.327080699297,8.938268480707489,10000.0,nan,0.0015007567631318787
C,1475.442360233099,394.41286201324885,10000.0,nan,0.126000953796397
C,3738.6226552622365,189.076930146827,10000.0,nan,0.023781338781522183
C,6999.507375728434,168.0135160352756,10000.0,nan,0.023409652030077013
D,2375.442360233099,218.31454519713574,10000.0,nan,0.09611838212031289
D,6548.163540349648,137.91042977713718,10000.0,nan,0.021920536959573324
D,11199.048260815845,5.518073647248811,1792.700694998279,nan,0.0013409641870870297
E,2361.3923602330988,295.4616590725707,10000.0,nan,0.12125823759374893
E,6115.813540349647,213.84646174792982,10000.0,nan,0.021050059060395983
E,10367.998260815848,14.534094311341207,393.9746124222891,nan,0.0019898951219498814
F,2361.3923602330988,87.52750493868848,761.3063671754314,nan,0.1185145099876191
F,6540.313540349647,41.142981290589354,726.3795683469169,nan,0.013895384581228165
F,11158.19826081585,6.085283552787435,315.0376370131765,nan,0.00143078599123957
