T_C,X_EGDA,Y_EGMA,Y_EG
4.00000000e+01,6.85442781e-02,6.74145724e-02,1.12970568e-03
4.50000000e+01,9.42174496e-02,9.20269937e-02,2.19045597e-03
5.00000000e+01,1.27587411e-01,1.23448021e-01,4.13939026e-03
5.50000000e+01,1.70077639e-01,1.62457188e-01,7.62045091e-03
6.00000000e+01,2.22933406e-01,2.09277701e-01,1.36557050e-02
6.50000000e+01,2.86942384e-01,2.63151882e-01,2.37905016e-02
7.00000000e+01,3.62072489e-01,3.21845068e-01,4.02274212e-02
7.50000000e+01,4.47074924e-01,3.81196711e-01,6.58782139e-02
8.00000000e+01,5.39159102e-01,4.34942306e-01,1.04216797e-01
8.50000000e+01,6.33907396e-01,4.75121137e-01,1.58786259e-01
9.00000000e+01,7.25620423e-01,4.93371691e-01,2.32248731e-01
9.50000000e+01,8.08207007e-01,4.83174059e-01,3.25032948e-01
1.00000000e+02,8.76514085e-01,4.42559520e-01,4.33954565e-01
1.05000000e+02,9.27679138e-01,3.76133295e-01,5.51545843e-01
1.10000000e+02,9.61877169e-01,2.94952917e-01,6.66924252e-01
1.15000000e+02,9.81987540e-01,2.13495409e-01,7.68492131e-01
1.20000000e+02,9.92281439e-01,1.44673836e-01,8.47607603e-01
1.25000000e+02,9.96855272e-01,9.55010557e-02,9.01354217e-01
1.30000000e+02,9.98638450e-01,6.58918050e-02,9.32746645e-01
1.35000000e+02,9.99264643e-01,5.09234271e-02,9.48341216e-01
1.40000000e+02,9.99470067e-01,4.45059733e-02,9.54964093e-01
1.45000000e+02,9.99537150e-01,4.20051592e-02,9.57531990e-01
1.50000000e+02,9.99563369e-01,4.09019672e-02,9.58661402e-01
