species,true_M,estimated_M,sigma_M
EGDA,0.20752620640278258,0.2179354611355744,0.009540721345538392
EGDA,0.3922290531004205,0.39688907031458315,0.015301722904323068
EGDA,0.027216475173044374,0.027958664451026374,0.0029123546457672585
EGDA,0.19795466781400883,0.19891998204319414,0.008465308874918559
EGDA,0.3068773465144617,0.3020972350530573,0.011958879403639088
EGDA,0.4700910381651341,0.47968692037069777,0.01833594767610166
EGDA,0.0762852551838969,0.07401085093473211,0.004915325074344425
EGDA,0.1383755977654768,0.14178614012737936,0.007619473545263583
EGDA,0.10365006640719826,0.10401417365451257,0.0053715586915900814
EGDA,0.3122841626213785,0.31879182516918625,0.012372314152209463
EGDA,0.13601679958359875,0.13676403160398262,0.006836861248680206
EGDA,0.44232223319954767,0.4391340006166805,0.017267922226916997
EGDA,0.09311819679220029,0.08781693451427493,0.005589904708687784
EGDA,0.36527835568135725,0.3650871951286067,0.014124705018483797
EGDA,0.4155810391161343,0.42125083532583085,0.015874235822426423
EGDA,0.02628110056644023,0.030775559830349596,0.004678461744808259
EGDA,0.32962798048511277,0.33845827670948175,0.01380204103229227
EGDA,0.18902762055901162,0.192932457703119,0.008241500332852068
EGDA,0.2580403879428409,0.26300802675599605,0.010531102825521612
EGDA,0.02233097841563586,0.027718748456212867,0.0034421224032442394
EGDA,0.42620434197323454,0.43263750091283504,0.016641853661888775
EGDA,0.18158359641643634,0.18505682804943838,0.008733208834239697
EGDA,0.10105381465630753,0.1075765607530157,0.005880075080360247
EGDA,0.4595214553549264,0.4716890026200314,0.01765763697317079
EGDA,0.4069023775280244,0.40906362809229146,0.015426550881476835
EGDA,0.447879721889771,0.4538584035299794,0.016681304487078965
EGDA,0.2581857963671009,0.26380462408919864,0.01064185535635926
EGDA,0.20864854707342706,0.20337803685603212,0.009239327094980038
EGDA,0.4324339363346666,0.43081986584078324,0.016684581500168088
EGDA,0.027166056784540427,0.03003118056280006,0.004973529768690392
EGDA,0.4112608071928631,0.4109121409337508,0.016245454054056082
EGDA,0.16611778643811842,0.16605036394396697,0.007326069522387222
EGDA,0.1406891772975038,0.14288278235753574,0.007203560209227358
EGDA,0.25867819677740916,0.26172064334835393,0.010525969212057062
EGDA,0.2067918627461336,0.21054617099415676,0.009047648608242568
EGDA,0.44875819802540495,0.44930515829892126,0.016483614449357947
EGDA,0.06912947087256271,0.0704846255617066,0.004611244961274346
EGDA,0.4854056375625909,0.4818151835087208,0.01802764164320512
EGDA,0.07756148633680593,0.07500252501872563,0.004370988121772156
EGDA,0.40132373635748875,0.3964582609266324,0.015502788418028643
EGDA,0.4738164274279391,0.48302037388959634,0.017845581001205753
EGDA,0.4932686994338888,0.48899933421888314,0.018581109909035193
EGDA,0.15336114271504164,0.14970068819852134,0.007210854213271509
EGDA,0.1582309594361624,0.16529375721150572,0.007409528063258562
EGDA,0.2608668476178932,0.26916732516096487,0.010595843561566039
EGDA,0.3631262859628253,0.3621467103223825,0.013759803470786692
EGDA,0.4842018956688188,0.4870787171560465,0.01842584005589601
EGDA,0.09781442960834857,0.09947649955031904,0.005384037504919173
EGDA,0.2307933985450455,0.23192307394681402,0.010094270553804073
EGDA,0.001731376947173402,0.0003214860438081174,0.004469305717717526
EGDA,0.07795912206964684,0.0808987273915176,0.005337535682971628
EGDA,0.3303430951696875,0.3327110599096253,0.013630574121606343
EGDA,0.4658068457381306,0.4745920276873982,0.017574402500274634
EGDA,0.31688935261562085,0.32441840022706686,0.013086856674709917
EGDA,0.4366385872031661,0.4332582527901787,0.016323064433461352
