z_over_L,info_gain_nats,C_EGDA_M,C_EGMA_M,C_EG_M,C_AcOH_M
0.02,7.623533275755491,0.4805527431601711,0.01895433785443637,0.0004929189853926256,0.01994017582522151
0.0445,10.626704670621875,0.4742086125540102,0.024927969085050863,0.0008634183609390267,0.02665480580692881
0.06899999999999999,12.002837571648904,0.46058755977906596,0.03739066176435782,0.0020217784565763927,0.04143421867751049
0.0935,12.741048266083578,0.4473517046764834,0.04903627228127832,0.003612023042238418,0.05626031836575504
0.118,13.153787445337166,0.43451082222480486,0.05986262059067536,0.005626557184519959,0.07111573495971514
0.14250000000000002,13.365318171407516,0.42203561585963006,0.06994778902016173,0.008016595120208352,0.08598097926057831
0.167,13.440614477050335,0.4099262600618106,0.0793083815764763,0.010765358361713296,0.10083909829990276
0.1915,13.416504919031546,0.3981687466367358,0.0879887073637838,0.013842545999480572,0.11567379936274483
0.216,13.313678490436107,0.3867486529845615,0.09603220026194292,0.017219146753495757,0.1304704937689343
0.2405,13.149310552816992,0.37566755687445147,0.10345177010968287,0.020880673015865787,0.14521311614141433
0.265,12.932143009224898,0.3649004290650198,0.11030797804223359,0.02479159289274683,0.15989116382772714
0.28950000000000004,12.671469858044363,0.35445384466829166,0.1166038102880567,0.02894234504365179,0.1744885003753602
0.314,12.37310137301008,0.34430412500287866,0.12239435404129399,0.033301520955827515,0.18899739595294895
0.33849999999999997,12.041800084793365,0.3344537661847085,0.12768897992603528,0.0378572538892564,0.20340348770454797
0.36300000000000004,11.682379432678735,0.3248876703522598,0.13252576115819398,0.042586568489546464,0.21769889813728677
0.3875,11.297993465707311,0.3155976133975741,0.13693032511254677,0.047472061489879286,0.23187444809230529
0.412,10.892220513315406,0.3065814020514735,0.14091855677786957,0.052500041170657104,0.24591863911918374
0.4365,10.468749954441304,0.29782094253790803,0.1445293619461227,0.05764969551596944,0.25982875297806146
0.46099999999999997,10.029577986537555,0.2893214515423579,0.14776673338592933,0.06291181507171306,0.27359036352935534
0.4855,9.580374048359907,0.28106230659664566,0.15067083799463218,0.06826685540872235,0.2872045488120768
0.51,9.121527114730208,0.2730475684722757,0.15324675656906978,0.07370567495865477,0.30065810648637914
0.5345000000000001,8.66173496020653,0.2652624339114255,0.15552447819693793,0.0792130878916368,0.3139506539802114
0.559,8.201192875431111,0.2577029299058644,0.1575188541299119,0.08477821596422395,0.3270752860583596
0.5835,7.7490261595669505,0.2503644700422211,0.15924521959657917,0.09039031036119993,0.3400258403189788
0.608,7.308812958556819,0.24323395778925258,0.1607282340704265,0.09603780814032119,0.3528038503510686
0.6325,6.888690470399335,0.23631626852342147,0.16197128103283018,0.10171245044374862,0.3653961819203272
0.6569999999999999,6.4948179074435375,0.2295930885333826,0.16300317610231008,0.10740373536430761,0.377810646830925
0.6815,6.132631816659032,0.22306881844679888,0.16382736926066602,0.11310381229253531,0.3900349938457364
0.7060000000000001,5.807865982818086,0.21673019371034427,0.16446537473145822,0.11880443155819773,0.4020742378478534
0.7305,5.521007180060563,0.2105759301937839,0.1649259350732555,0.1244981347329608,0.41392220453917694
0.755,5.274509727809844,0.20460003958944348,0.1652220332101578,0.130177927200399,0.42557788761095544
0.7795,5.064295195621191,0.19879408015110997,0.1653681620293686,0.13583775781952168,0.43704367766841173
0.804,4.88916708878504,0.1931598880665764,0.16536950554612037,0.14147060638730344,0.448310718320727
0.8285,4.743910688128878,0.18768363361368945,0.1652438486806055,0.1470725177057053,0.45938888409201584
0.853,4.625398073212564,0.18236995952416746,0.16499371710734462,0.15263632336848815,0.4702663638443207
0.8775,4.5293919324322385,0.17720605091091926,0.1646346255709882,0.15815932351809273,0.4809532726071734
0.9019999999999999,4.452493990086917,0.17219278204631688,0.1641715472011736,0.16363567075250976,0.49144288870619285
0.9265,4.391605123697492,0.16732347693978797,0.16361442783594415,0.16906209522426813,0.5017386182844802
0.9510000000000001,4.34376419614658,0.16259306088163133,0.16297161415809006,0.1744353249602788,0.5118422640786474
0.9755,4.30678642501643,0.15800130917321534,0.16224824234260074,0.17975044848418412,0.5217491393109689
1.0,4.278346370455744,0.15353755448182616,0.16145500697399523,0.18500743854417884,0.5314698840623527
