strategy,round,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
D,1,188.81275686316152,10000.0,nan,0.22721755666707014
D,2,145.66113178970437,6749.517345492779,nan,0.12509089516292712
D,3,78.77054876231469,4258.064397919789,nan,0.11080710736804356
D,4,41.55725999929962,510.33572318389054,nan,0.0656344904431723
D,5,60.043167173229584,7752.970169197099,nan,0.024851395148322193
D,6,57.11329782000723,9500.43469600038,nan,0.02458205479636906
D,7,69.1946651429085,10000.0,nan,0.024017245953298426
D,8,70.48101506531309,10000.0,nan,0.02433400546031216
F,1,71.80155549418926,1120.5199826946605,nan,0.19170625300350838
F,2,46.946787761611816,553.139838095942,nan,0.12801452232732463
F,3,36.28211686563175,5.334021499028173,nan,0.12481778389863352
F,4,21.59200930999388,4.212830493492692,nan,0.07994188629336632
F,5,27.58668469156055,3.3608647148902917,nan,0.06876115047585933
F,6,37.332796574197246,3.0907190369053517,nan,0.06040803429085491
F,7,41.16255482611176,2.6205653530575175,nan,0.055339186137405814
F,8,39.136938882156855,2.3338931861116756,nan,0.04664641848316602
F-noGovernor,1,71.80155549418926,1120.5199826946605,nan,0.19170625300350838
F-noGovernor,2,46.946787761611816,553.139838095942,nan,0.12801452232732463
F-noGovernor,3,36.28211686563175,5.334021499028173,nan,0.12481778389863352
F-noGovernor,4,21.697741040645962,4.21279454024643,nan,0.0796098808074851
F-noGovernor,5,30.17682024494284,3.1273812097451965,nan,0.0715218949886544
F-noGovernor,6,31.406444280770508,2.6857634850178806,nan,0.061261272182442726
F-noGovernor,7,35.92683932800255,2.545528139749806,nan,0.055025532049802636
F-noGovernor,8,37.35950130600271,2.268556520700539,nan,0.05049507323868474
