strategy,nmr_acquisitions,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
F-zadaptive,10.725,73.70215866823631,1509.426881595892,nan,0.09562820774138517
F-zadaptive,20.875,37.84131317206753,829.8305885219612,nan,0.013696397439271129
F-zadaptive,30.9,12.635584652394645,557.4956882791045,nan,0.002455676025793274
F-zadaptive,41.18421052631579,14.17339881916749,457.05363272077693,nan,0.001297049001640384
F-zadaptive,51.31578947368421,15.630350579681647,434.4560091639883,nan,0.0011984342840493803
F-zadaptive,61.39473684210526,16.78453124916184,417.57008627885847,nan,0.0011533451616182698
F-zadaptive,71.42105263157895,17.99196491612929,410.4781085591962,nan,0.001101612696918571
F-zadaptive,81.5,19.03799496022137,397.8800304165704,nan,0.0010723661193771008
F-zbatch,10.725,73.70215866823631,1509.426881595892,nan,0.09562820774138517
F-zbatch,20.9,39.59303567238517,854.2834690275733,nan,0.014267283229169586
F-zbatch,31.0,14.722535965037054,552.0017322619573,nan,0.002171985682907202
F-zbatch,41.175,14.292382863647276,466.149614640624,nan,0.001308104700820327
F-zbatch,51.45,14.838442846163257,425.6089497191292,nan,0.0011662908832551873
F-zbatch,61.525,16.100903297843654,414.44831447660056,nan,0.0011562367265692708
F-zbatch,71.575,16.98921812622885,401.89477016282206,nan,0.0011161540862453935
F-zbatch,81.75,17.893193929032737,390.66606816584044,nan,0.0010566700884517587
F-zfixed,10.75,74.86098283326808,1921.5347571852944,nan,0.0941593322064539
F-zfixed,20.9,35.56570180858945,909.6621428119277,nan,0.014332635806422217
F-zfixed,31.0,14.617572699142036,564.2520354804726,nan,0.002587932326769377
F-zfixed,41.5,13.638769896940564,460.02448015418923,nan,0.0013790247040207687
F-zfixed,51.775,15.51512410360985,434.98438147406307,nan,0.0012765138280899165
F-zfixed,61.925,17.654164994950623,429.6094855186819,nan,0.0012096195284805648
F-zfixed,72.125,19.413482846605593,426.7001914203085,nan,0.0011840579541321516
F-zfixed,82.3,20.506054875316128,423.48884009320153,nan,0.0011563986738485042
