param,round,median_rel_width_pct,median_rel_error_pct,n_bound_active
Ea1_J,1,136.10794340728995,41.205836094843484,0
Ea1_J,2,8.651336638943434,8.004504389797585,0
Ea1_J,3,2.914841140828762,1.0735594862933961,0
Ea1_J,4,1.9626564918467553,0.45291367916382996,0
Ea1_J,5,1.442311853203914,0.38420012633575973,0
Ea1_J,6,1.1972421684078416,0.27030793442476275,0
Ea1_J,7,1.0941677344861183,0.27958065216647787,0
Ea1_J,8,0.9581093988640375,0.300951301348934,0
Ea2_J,1,140.04454548080759,14.634368463500891,0
Ea2_J,2,99.11109121373914,17.81960060011418,0
Ea2_J,3,5.953507272334236,1.4157065995381413,0
Ea2_J,4,3.0761704361517705,0.671145949754115,0
Ea2_J,5,2.2913888974325536,0.579776569146484,0
Ea2_J,6,1.9730728672384745,0.3732629726657166,0
Ea2_J,7,1.6885435226300933,0.33405128164131215,0
Ea2_J,8,1.465517992898096,0.3808335377935568,0
K1_ref,1,849.6960992885065,31.331752075352203,0
K1_ref,2,849.4621034436841,31.15093459715572,0
K1_ref,3,684.9790839481235,82.23729565610631,0
K1_ref,4,634.2470725123851,101.70848145139222,0
K1_ref,5,565.6146338605221,109.91247515058649,0
K1_ref,6,539.5603437421238,134.19047042251813,0
K1_ref,7,541.3396516065658,168.34009322733084,0
K1_ref,8,502.583184950512,176.6855502596867,0
K2_ref,1,849.6960907627354,120.69584849715218,0
K2_ref,2,847.3363424565581,116.70764008569678,0
K2_ref,3,41.28848027021412,3.9131227001653834,0
K2_ref,4,13.829654911431211,2.8060126416203923,0
K2_ref,5,9.515458197314553,2.907007129880501,0
K2_ref,6,8.058282847699466,2.8914176110390044,0
K2_ref,7,7.568370168306271,2.6144078207923025,0
K2_ref,8,6.7823542837868676,2.632769747582464,0
k1_ref,1,207.30725148917895,6.153365180802734,0
k1_ref,2,30.94949259359418,26.626904563614914,0
k1_ref,3,6.267498658600873,2.614187340673185,0
k1_ref,4,4.538783631215315,1.740300933632849,0
k1_ref,5,3.526446969497737,1.2124075573440696,0
k1_ref,6,2.9862829128816437,1.099283581371746,0
k1_ref,7,2.7584707579979884,1.143051237643522,0
k1_ref,8,2.3502891049815178,1.219909591475904,0
k2_ref,1,557.8917510120068,453.93611539110304,0
k2_ref,2,464.7653702767258,114.12063109708251,0
k2_ref,3,14.102870130572082,4.382694605834558,0
k2_ref,4,8.609355368548833,1.799968312045097,0
k2_ref,5,6.274364986758657,1.3758081220116902,0
k2_ref,6,5.562386578166289,1.4655181617771684,0
k2_ref,7,4.721967367994817,1.3556762854563864,0
k2_ref,8,4.136982787951199,1.3440930329885359,0
