strategy,nmr_acquisitions,param_err_pct,blind_rmse_M,spatial_samples,time_s
F-zadaptive,10.725,73.70215866823631,0.09562820774138517,10.0,2427.7448602330987
F-zadaptive,20.875,37.84131317206753,0.013696397439271129,20.0,6962.782290349647
F-zadaptive,30.9,12.635584652394645,0.002455676025793274,30.0,12228.880760815846
F-zadaptive,41.18421052631579,14.17339881916749,0.001297049001640384,40.0,17326.18824443994
F-zadaptive,51.31578947368421,15.630350579681647,0.0011984342840493803,50.0,22324.718505934237
F-zadaptive,61.39473684210526,16.78453124916184,0.0011533451616182698,60.0,27307.742992667158
F-zadaptive,71.42105263157895,17.99196491612929,0.001101612696918571,70.0,31759.814939357126
F-zadaptive,81.5,19.03799496022137,0.0010723661193771008,80.0,36208.770493433905
F-zbatch,10.725,73.70215866823631,0.09562820774138517,10.0,2427.7448602330987
F-zbatch,20.9,39.59303567238517,0.014267283229169586,20.0,6609.231040349647
F-zbatch,31.0,14.722535965037054,0.002171985682907202,30.0,11424.06576081585
F-zbatch,41.175,14.292382863647276,0.001308104700820327,40.0,16197.504231282053
F-zbatch,51.45,14.838442846163257,0.0011662908832551873,50.0,21102.152406719117
F-zbatch,61.525,16.100903297843654,0.0011562367265692708,60.0,25561.725139612478
F-zbatch,71.575,16.98921812622885,0.0011161540862453935,70.0,29245.300884933
F-zbatch,81.75,17.893193929032737,0.0010566700884517587,80.0,33114.62889577972
F-zfixed,10.75,74.86098283326808,0.0941593322064539,10.0,2476.942360233099
F-zfixed,20.9,35.56570180858945,0.014332635806422217,20.0,6662.083195239946
F-zfixed,31.0,14.617572699142036,0.002587932326769377,30.0,11328.05973868866
F-zfixed,41.5,13.638769896940564,0.0013790247040207687,40.0,16173.194459154858
F-zfixed,51.775,15.51512410360985,0.0012765138280899165,50.0,20972.14888459192
F-zfixed,61.925,17.654164994950623,0.0012096195284805648,60.0,26124.783605058117
F-zfixed,72.125,19.413482846605593,0.0011840579541321516,70.0,30388.423351928162
F-zfixed,82.3,20.506054875316128,0.0011563986738485042,80.0,34554.85901028947
