strategy,round,p_correct,model_entropy,param_err_pct,blind_rmse_M
D,1,nan,nan,326.247113755998,0.14234461034560608
D,2,nan,nan,217.48565433127322,0.035958829217294784
D,3,nan,nan,46.10409125386843,0.006995705905955973
D,4,nan,nan,39.307734602522885,0.00391076982906306
D,5,nan,nan,36.441413350776784,0.0037328278397925235
D,6,nan,nan,34.22113949694383,0.0036243368888319053
D,7,nan,nan,34.14333019715387,0.0034601340757787315
D,8,nan,nan,32.52988304749971,0.003436193213193409
F,1,0.49907997267495086,0.6931364749408334,69.34257301633235,0.10559214969020107
F,2,0.6748374674654721,0.47231029124684965,47.46758627338861,0.017573777682594723
F,3,0.853180260449695,0.04080534172414609,12.556084510120726,0.005264154385002233
F,4,0.9656670011034905,0.016888852663371062,13.971457129050687,0.001900037226990709
F,5,0.9755148951708008,0.002508722936063623,14.619658826604763,0.0016716782491624893
F,6,0.989373590758704,0.017046791042425197,16.745409364605933,0.0011978043182350774
F,7,1.0,0.0,17.666441294556954,0.001016377553511103
F,8,1.0,0.0,18.131280259586564,0.0010080891245228432
