completed,faulted,last_valid_blind_rmse_M,last_valid_param_err_pct,nmr_acquisitions,nmr_reacquisitions,qc_rejected,rounds_completed,rounds_planned,runtime_s,scenario,seed,stop_reason,strategy
1,0,0.00432190849899549,46.63449010245064,8.0,0.0,0.0,8,8,2.9806888103485107,S1_ideal,1,budget exhausted,A
1,0,0.006722229998632797,56.69468706178722,8.0,0.0,0.0,8,8,2.065138816833496,S1_ideal,2,budget exhausted,A
1,0,0.005337640188882443,27.91577600716071,8.0,0.0,0.0,8,8,4.943293809890747,S1_ideal,3,budget exhausted,A
1,0,0.00407544948685749,53.1469447643117,8.0,0.0,0.0,8,8,2.490108013153076,S1_ideal,4,budget exhausted,A
1,0,0.0018195541172763622,8.482553401281256,8.0,0.0,0.0,8,8,2.588772773742676,S1_ideal,5,budget exhausted,A
1,0,0.005398706125005695,34.58997052030928,8.0,0.0,0.0,8,8,2.2519779205322266,S1_ideal,6,budget exhausted,A
1,0,0.0036386193893232573,32.0483813621629,8.0,0.0,0.0,8,8,2.5388290882110596,S1_ideal,7,budget exhausted,A
1,0,0.006598044388957875,61.02494769161528,8.0,0.0,0.0,8,8,2.477442979812622,S1_ideal,8,budget exhausted,A
1,0,0.004468334546798509,54.23501861643045,8.0,0.0,0.0,8,8,2.5518620014190674,S1_ideal,9,budget exhausted,A
1,0,0.007242694531770182,43.9190379504324,8.0,0.0,0.0,8,8,2.2391979694366455,S1_ideal,10,budget exhausted,A
1,0,0.0024940497483428607,46.22035758965526,8.0,0.0,0.0,8,8,1.9713647365570068,S1_ideal,11,budget exhausted,A
1,0,0.0027652252684589626,41.60359900104298,8.0,0.0,0.0,8,8,2.019260883331299,S1_ideal,12,budget exhausted,A
1,0,0.003707914534188662,53.7162470709768,8.0,0.0,0.0,8,8,2.2393128871917725,S1_ideal,13,budget exhausted,A
1,0,0.002210114116438104,42.38948472980879,8.0,0.0,0.0,8,8,2.45131516456604,S1_ideal,14,budget exhausted,A
1,0,0.0036566249589982283,35.588200611236154,8.0,0.0,0.0,8,8,2.4672698974609375,S1_ideal,15,budget exhausted,A
1,0,0.0032175426422237615,47.298540195176656,8.0,0.0,0.0,8,8,2.1797029972076416,S1_ideal,16,budget exhausted,A
1,0,0.005186403041242798,47.745265602990685,8.0,0.0,0.0,8,8,2.360100030899048,S1_ideal,17,budget exhausted,A
1,0,0.001175893658621314,40.61807696328565,8.0,0.0,0.0,8,8,2.3304102420806885,S1_ideal,18,budget exhausted,A
1,0,0.007661195303022714,64.37914005382915,8.0,0.0,0.0,8,8,2.79850697517395,S1_ideal,19,budget exhausted,A
1,0,0.0025651029294097016,44.73182257288322,8.0,0.0,0.0,8,8,2.329167127609253,S1_ideal,20,budget exhausted,A
1,0,0.003117294936838587,46.94577593015921,8.0,0.0,0.0,8,8,2.063948154449463,S1_ideal,21,budget exhausted,A
1,0,0.004094468744117198,44.77039201514539,8.0,0.0,0.0,8,8,2.4260683059692383,S1_ideal,22,budget exhausted,A
1,0,0.010817176375443889,52.28027713461039,8.0,0.0,0.0,8,8,2.5055348873138428,S1_ideal,23,budget exhausted,A
1,0,0.013238075568960603,73.98493729861283,8.0,0.0,0.0,8,8,2.668800115585327,S1_ideal,24,budget exhausted,A
