param,round,median_rel_width_pct,median_rel_error_pct,n_bound_active
Ea1_J,1,136.00127872614055,41.317773454288584,0
Ea1_J,2,8.660813111951029,9.016722463928794,0
Ea1_J,3,2.5742851989862476,1.0467114518526,0
Ea1_J,4,1.6688792101503938,0.39979702999511924,0
Ea1_J,5,1.3227947910738773,0.3327548593499763,0
Ea1_J,6,1.196344831858459,0.32428150503462927,0
Ea1_J,7,1.046278448527827,0.3064233954086504,0
Ea1_J,8,0.9366344703254111,0.26751187156676126,0
Ea2_J,1,139.93787953743092,14.75024751142927,0
Ea2_J,2,100.16411720876349,19.978145085839056,0
Ea2_J,3,4.3811058654838755,1.238407218913956,0
Ea2_J,4,2.807986413982082,0.6443872374852777,0
Ea2_J,5,2.1845700891311663,0.6135480595780063,0
Ea2_J,6,1.7680423469165976,0.4470391303822985,0
Ea2_J,7,1.6231271531465958,0.46462624754892157,0
Ea2_J,8,1.4727981738931422,0.43316836321518615,0
K1_ref,1,849.6960992807541,31.331195909835664,0
K1_ref,2,812.0251516302812,17.492918899445215,0
K1_ref,3,656.0134813159118,96.37332853699297,0
K1_ref,4,561.6202810328232,96.99570191363384,0
K1_ref,5,528.2125080577093,99.9782173836234,0
K1_ref,6,515.152704116382,129.91661985061467,0
K1_ref,7,510.6984301819406,126.51086896992771,0
K1_ref,8,513.7994981984878,132.07601876815016,1
K2_ref,1,849.6960982318674,120.71814780661518,0
K2_ref,2,132.24173478529235,16.708036227411938,0
K2_ref,3,20.98711483610583,5.040059172157985,0
K2_ref,4,12.678665949019535,2.4719926189606554,0
K2_ref,5,9.350012728377061,2.405806070705313,0
K2_ref,6,8.674490448262379,2.495667717966965,0
K2_ref,7,7.068986339094746,2.19631242112297,0
K2_ref,8,6.6909647864504205,2.1413525359666394,0
k1_ref,1,207.30725148917895,3.923540916234991,0
k1_ref,2,30.78806348090523,26.169969241602537,0
k1_ref,3,6.338415963890542,3.018057815288694,0
k1_ref,4,4.10130193618608,1.10513010961924,0
k1_ref,5,3.1937292372987924,1.1011589000032573,0
k1_ref,6,2.8590236814584227,1.2075546052948138,0
k1_ref,7,2.637054347787904,1.270885788497722,0
k1_ref,8,2.4216866338982515,1.231688141347903,0
k2_ref,1,555.0434581213067,436.7503257528149,0
k2_ref,2,468.16379265723566,118.0268675888001,0
k2_ref,3,13.045623737804341,4.300327833171746,0
k2_ref,4,8.011954032185342,2.335612940700049,0
k2_ref,5,5.553994570374504,1.5761211232731775,0
k2_ref,6,4.889469908491262,1.5042681102198863,0
k2_ref,7,4.70135246109975,1.6350598373244096,0
k2_ref,8,4.224925081171244,1.5135892088317227,0
