strategy,time_s,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
D,2375.442360233099,325.624025901673,10000.0,nan,0.1334840577622401
D,6407.129106731205,240.1976458928663,10000.0,nan,0.04018639550424734
D,10882.151561671179,63.55024146906417,1117.0966279072732,nan,0.022152301549930108
D,15509.128105119895,54.38096123823584,311.5888508351679,nan,0.018580190690466392
D,20698.05873707735,46.474623539504464,44.59403898980408,nan,0.017036165403501426
D,23628.865038304626,44.42221294798935,36.36597585380001,nan,0.01485487780257141
D,28068.254785174668,41.380941976424744,35.937691111092995,nan,0.01369290706218874
D,32509.598620553454,39.745041629460616,30.676714071025486,nan,0.013572536772085966
F,2433.7473602330983,72.38809388866845,1384.718054839111,nan,0.09604396619602171
F,6802.301938638983,39.8617661997517,799.5849453396168,nan,0.013632284786385637
F,11623.606320596446,15.066969167311163,556.6517414149835,nan,0.002547662799438642
F,16530.179452553908,13.775638804512763,458.68252359099927,nan,0.0012463232559557463
F,21239.124641967665,14.281021937751689,426.3861586431846,nan,0.0011577238670450293
F,25514.214204444503,15.47452392531024,412.15484680559166,nan,0.001110501509391055
F,29284.444112031044,16.66023809696401,392.5790100000246,nan,0.0010762261725729802
F,33883.821271941866,18.08724812776209,381.8884979423518,nan,0.001062282749929577
