strategy,round,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
D,1,339.41682898115505,10000.0,nan,0.14894757431667932
D,2,235.48354318957294,9784.088853771365,nan,0.03946872498771674
D,3,68.0047769676557,1815.6978561934382,nan,0.02023301659202396
D,4,49.01245163025525,826.9773127103778,nan,0.016114236321120426
D,5,43.2611967406572,293.50247604533786,nan,0.01456325349470329
D,6,42.49188402992813,36.4371921280312,nan,0.013317022564429121
D,7,40.12656910302808,34.4693225819556,nan,0.011791041762375495
D,8,37.72426004813736,32.70978203874368,nan,0.011773403149578351
F,1,72.44968623984167,1393.9609993250006,nan,0.0957727894296881
F,2,42.433748490803474,795.5864019392328,nan,0.01478350027549628
F,3,14.768269376772391,513.3007471065584,nan,0.0031940031198164397
F,4,11.360014053084226,395.52144607001253,nan,0.0017415418661435444
F,5,11.145733502226925,341.304759506004,nan,0.001613546075327568
F,6,11.017875058351333,304.78876548575147,nan,0.0014666206211164598
F,7,12.11277096523447,291.1474648132889,nan,0.0014010877514980264
F,8,12.650529159350699,280.9416793415104,nan,0.0013584766197024373
F-uncorr,1,73.53200175411254,1418.771260647498,nan,0.09833384318836123
F-uncorr,2,147.0505375846654,492.4679891758175,nan,0.0363098247082694
F-uncorr,3,64.78495341280738,43.85976184760981,nan,0.01814352931729681
F-uncorr,4,50.62149184027662,24.931455828733316,nan,0.012493634484101956
F-uncorr,5,48.85016636492615,22.968696887084185,nan,0.012397609471407512
F-uncorr,6,47.373181988414274,22.433103907036806,nan,0.013080531984312836
F-uncorr,7,47.364201221418085,22.451241739049006,nan,0.012734625645413663
F-uncorr,8,47.06760628718058,20.082835776939454,nan,0.013142243036110371
