strategy,time_s,param_err_pct,max_rel_ci_pct,p_correct,blind_rmse_M
D,2375.442360233099,345.66316897469693,10000.0,nan,0.14685623213521734
D,6544.830682038022,232.60894055476336,9642.548663322777,nan,0.04066943022100574
D,11047.899048469255,62.916580403635024,1118.7499708404844,nan,0.020847355381851444
D,15243.878942853864,49.54175334895781,815.312443412623,nan,0.01682087761071994
D,20220.855486302586,42.4038506263326,304.1382469886556,nan,0.015364185393117496
D,23368.251935044427,41.38323464606994,38.49183466831634,nan,0.01356954715264529
D,27767.64168191447,39.17632893394862,36.77531441794084,nan,0.012792646612870892
D,32064.349458287423,36.806690624859456,35.12881307080763,nan,0.012737213633152094
F,2433.7473602330983,72.40099814433927,1386.4063494589486,nan,0.09599108052029856
F,6802.363188638983,39.88952276655347,807.3817271546129,nan,0.013643226500498484
F,11597.081320596444,15.745315569069595,560.7172419099182,nan,0.0027135373725627834
F,16489.125702553905,14.772136460744509,476.5299286017771,nan,0.001258068935491525
F,21176.136421470575,15.439109922830715,449.5904772122402,nan,0.0011667147690010474
F,25467.427954444505,16.853853853038906,442.07374547925644,nan,0.001136176979494734
F,29486.054142308723,17.802120765224192,416.4018226414504,nan,0.0011131322845366553
F,33652.342417906904,19.45189845716835,414.02428722203484,nan,0.001102438340142797
