x_m,tau_s,C_EGDA_mol_L,C_EGDA_eq_mol_L,C_EGMA_mol_L,C_EGMA_eq_mol_L,C_EG_mol_L,C_EG_eq_mol_L,C_AcOH_mol_L,C_AcOH_eq_mol_L
0.00000000e+00,0.00000000e+00,2.50000000e-01,1.56185430e-04,0.00000000e+00,1.21850461e-02,0.00000000e+00,2.37658768e-01,0.00000000e+00,4.87502583e-01
1.00000000e-03,7.53982237e-01,2.47363057e-01,1.56185430e-04,2.62960563e-03,1.21850461e-02,7.33723344e-06,2.37658768e-01,2.64428010e-03,4.87502583e-01
2.00000000e-03,1.50796447e+00,2.44754066e-01,1.56185430e-04,5.21674452e-03,1.21850461e-02,2.91898427e-05,2.37658768e-01,5.27512421e-03,4.87502583e-01
3.00000000e-03,2.26194671e+00,2.42172731e-01,1.56185430e-04,7.76194774e-03,1.21850461e-02,6.53213988e-05,2.37658768e-01,7.89259053e-03,4.87502583e-01
4.00000000e-03,3.01592895e+00,2.39618761e-01,1.56185430e-04,1.02657404e-02,1.21850461e-02,1.15498396e-04,2.37658768e-01,1.04967372e-02,4.87502583e-01
5.00000000e-03,3.76991118e+00,2.37091868e-01,1.56185430e-04,1.27286416e-02,1.21850461e-02,1.79490223e-04,2.37658768e-01,1.30876220e-02,4.87502583e-01
6.00000000e-03,4.52389342e+00,2.34591766e-01,1.56185430e-04,1.51511646e-02,1.21850461e-02,2.57069118e-04,2.37658768e-01,1.56653029e-02,4.87502583e-01
7.00000000e-03,5.27787566e+00,2.32118173e-01,1.56185430e-04,1.75338171e-02,1.21850461e-02,3.48010150e-04,2.37658768e-01,1.82298374e-02,4.87502583e-01
8.00000000e-03,6.03185789e+00,2.29670808e-01,1.56185430e-04,1.98771008e-02,1.21850461e-02,4.52091186e-04,2.37658768e-01,2.07812832e-02,4.87502583e-01
9.00000000e-03,6.78584013e+00,2.27249395e-01,1.56185430e-04,2.21815118e-02,1.21850461e-02,5.69092854e-04,2.37658768e-01,2.33196975e-02,4.87502583e-01
1.00000000e-02,7.53982237e+00,2.24853661e-01,1.56185430e-04,2.44475406e-02,1.21850461e-02,6.98798519e-04,2.37658768e-01,2.58451377e-02,4.87502583e-01
1.10000000e-02,8.29380461e+00,2.22483334e-01,1.56185430e-04,2.66756722e-02,1.21850461e-02,8.40994248e-04,2.37658768e-01,2.83576607e-02,4.87502583e-01
1.20000000e-02,9.04778684e+00,2.20138145e-01,1.56185430e-04,2.88663860e-02,1.21850461e-02,9.95468785e-04,2.37658768e-01,3.08573236e-02,4.87502583e-01
1.30000000e-02,9.80176908e+00,2.17817830e-01,1.56185430e-04,3.10201560e-02,1.21850461e-02,1.16201352e-03,2.37658768e-01,3.33441830e-02,4.87502583e-01
1.40000000e-02,1.05557513e+01,2.15522127e-01,1.56185430e-04,3.31374509e-02,1.21850461e-02,1.34042245e-03,2.37658768e-01,3.58182958e-02,4.87502583e-01
1.50000000e-02,1.13097336e+01,2.13250774e-01,1.56185430e-04,3.52187340e-02,1.21850461e-02,1.53049216e-03,2.37658768e-01,3.82797183e-02,4.87502583e-01
1.60000000e-02,1.20637158e+01,2.11003515e-01,1.56185430e-04,3.72644633e-02,1.21850461e-02,1.73202181e-03,2.37658768e-01,4.07285069e-02,4.87502583e-01
1.70000000e-02,1.28176980e+01,2.08780095e-01,1.56185430e-04,3.92750917e-02,1.21850461e-02,1.94481307e-03,2.37658768e-01,4.31647178e-02,4.87502583e-01
1.80000000e-02,1.35716803e+01,2.06580263e-01,1.56185430e-04,4.12510669e-02,1.21850461e-02,2.16867011e-03,2.37658768e-01,4.55884071e-02,4.87502583e-01
1.90000000e-02,1.43256625e+01,2.04403769e-01,1.56185430e-04,4.31928315e-02,1.21850461e-02,2.40339960e-03,2.37658768e-01,4.79996307e-02,4.87502583e-01
