x_m,tau_s,C_EGDA_mol_L,C_EGMA_mol_L,C_EG_mol_L,C_AcOH_mol_L,C_H2O_mol_L,C_OH_mol_L,X_EGDA,Y_EGMA,Y_EG
0.00000000e+00,0.00000000e+00,2.50000000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.12020538e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-03,7.53982237e-01,2.47363057e-01,2.62960563e-03,7.33723344e-06,2.64428010e-03,5.11994096e+01,0.00000000e+00,1.05477715e-02,1.05184225e-02,2.93489338e-05
2.00000000e-03,1.50796447e+00,2.44754066e-01,5.21674452e-03,2.91898427e-05,5.27512421e-03,5.11967787e+01,0.00000000e+00,2.09837375e-02,2.08669781e-02,1.16759371e-04
3.00000000e-03,2.26194671e+00,2.42172731e-01,7.76194774e-03,6.53213988e-05,7.89259053e-03,5.11941613e+01,0.00000000e+00,3.13090765e-02,3.10477909e-02,2.61285595e-04
4.00000000e-03,3.01592895e+00,2.39618761e-01,1.02657404e-02,1.15498396e-04,1.04967372e-02,5.11915571e+01,0.00000000e+00,4.15249550e-02,4.10629615e-02,4.61993586e-04
5.00000000e-03,3.76991118e+00,2.37091868e-01,1.27286416e-02,1.79490223e-04,1.30876220e-02,5.11889662e+01,0.00000000e+00,5.16325271e-02,5.09145662e-02,7.17960893e-04
6.00000000e-03,4.52389342e+00,2.34591766e-01,1.51511646e-02,2.57069118e-04,1.56653029e-02,5.11863885e+01,0.00000000e+00,6.16329351e-02,6.06046586e-02,1.02827647e-03
7.00000000e-03,5.27787566e+00,2.32118173e-01,1.75338171e-02,3.48010150e-04,1.82298374e-02,5.11838240e+01,0.00000000e+00,7.15273092e-02,7.01352686e-02,1.39204060e-03
8.00000000e-03,6.03185789e+00,2.29670808e-01,1.98771008e-02,4.52091186e-04,2.07812832e-02,5.11812726e+01,0.00000000e+00,8.13167681e-02,7.95084033e-02,1.80836474e-03
9.00000000e-03,6.78584013e+00,2.27249395e-01,2.21815118e-02,5.69092854e-04,2.33196975e-02,5.11787341e+01,0.00000000e+00,9.10024187e-02,8.87260473e-02,2.27637142e-03
1.00000000e-02,7.53982237e+00,2.24853661e-01,2.44475406e-02,6.98798519e-04,2.58451377e-02,5.11762087e+01,0.00000000e+00,1.00585357e-01,9.77901625e-02,2.79519408e-03
1.10000000e-02,8.29380461e+00,2.22483334e-01,2.66756722e-02,8.40994248e-04,2.83576607e-02,5.11736962e+01,0.00000000e+00,1.10066666e-01,1.06702689e-01,3.36397699e-03
1.20000000e-02,9.04778684e+00,2.20138145e-01,2.88663860e-02,9.95468785e-04,3.08573236e-02,5.11711965e+01,0.00000000e+00,1.19447419e-01,1.15465544e-01,3.98187514e-03
1.30000000e-02,9.80176908e+00,2.17817830e-01,3.10201560e-02,1.16201352e-03,3.33441830e-02,5.11687097e+01,0.00000000e+00,1.28728678e-01,1.24080624e-01,4.64805407e-03
1.40000000e-02,1.05557513e+01,2.15522127e-01,3.31374509e-02,1.34042245e-03,3.58182958e-02,5.11662355e+01,0.00000000e+00,1.37911493e-01,1.32549804e-01,5.36168978e-03
1.50000000e-02,1.13097336e+01,2.13250774e-01,3.52187340e-02,1.53049216e-03,3.82797183e-02,5.11637741e+01,0.00000000e+00,1.46996904e-01,1.40874936e-01,6.12196864e-03
