acid_mol,capillary_travel_m,egda_mol,energy_kJ,metric,nmr_acquisitions,ratio_acid_mol,ratio_capillary_travel_m,ratio_egda_mol,ratio_energy_kJ,ratio_nmr_acquisitions,ratio_reactor_conditions,ratio_spatial_samples,ratio_time_s,ratio_waste_mL,reached,reactor_conditions,reference_acid_mol,reference_capillary_travel_m,reference_egda_mol,reference_energy_kJ,reference_nmr_acquisitions,reference_reached,reference_reactor_conditions,reference_round,reference_spatial_samples,reference_strategy,reference_time_s,reference_waste_mL,round,scenario,seed,spatial_samples,strategy,target,time_s,waste_mL
0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,param_err_pct,8.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,8.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,8,S1_ideal,1,8.0,A,50.0,13977.344210806323,238.95573684677206
nan,nan,nan,nan,param_err_pct,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,-1,nan,A,nan,nan,-1,S1_ideal,2,nan,A,50.0,nan,nan
0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,param_err_pct,7.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7.0,0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,7.0,1,7.0,7,7.0,A,12187.31904159839,208.37198402663984,7,S1_ideal,3,7.0,A,50.0,12187.31904159839,208.37198402663984
nan,nan,nan,nan,param_err_pct,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,-1,nan,A,nan,nan,-1,S1_ideal,4,nan,A,50.0,nan,nan
0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,param_err_pct,8.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,8.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,8,S1_ideal,5,8.0,A,50.0,13977.344210806323,238.95573684677206
0.020946743186527738,0.0,0.041893486373055476,28.809704797429,param_err_pct,3.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,3.0,0.020946743186527738,0.0,0.041893486373055476,28.809704797429,3.0,1,3.0,3,3.0,A,5027.218364766657,86.03697274611095,3,S1_ideal,6,3.0,A,50.0,5027.218364766657,86.03697274611095
0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,param_err_pct,8.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,8.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,8,S1_ideal,7,8.0,A,50.0,13977.344210806323,238.95573684677206
0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,param_err_pct,7.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7.0,0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,7.0,1,7.0,7,7.0,A,12187.31904159839,208.37198402663984,7,S1_ideal,8,7.0,A,50.0,12187.31904159839,208.37198402663984
nan,nan,nan,nan,param_err_pct,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,-1,nan,A,nan,nan,-1,S1_ideal,9,nan,A,50.0,nan,nan
0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,param_err_pct,7.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7.0,0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,7.0,1,7.0,7,7.0,A,12187.31904159839,208.37198402663984,7,S1_ideal,10,7.0,A,50.0,12187.31904159839,208.37198402663984
0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,param_err_pct,7.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7.0,0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,7.0,1,7.0,7,7.0,A,12187.31904159839,208.37198402663984,7,S1_ideal,11,7.0,A,50.0,12187.31904159839,208.37198402663984
0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,param_err_pct,7.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7.0,0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,7.0,1,7.0,7,7.0,A,12187.31904159839,208.37198402663984,7,S1_ideal,12,7.0,A,50.0,12187.31904159839,208.37198402663984
0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,param_err_pct,7.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7.0,0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,7.0,1,7.0,7,7.0,A,12187.31904159839,208.37198402663984,7,S1_ideal,13,7.0,A,50.0,12187.31904159839,208.37198402663984
0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,param_err_pct,8.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,8.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,8,S1_ideal,14,8.0,A,50.0,13977.344210806323,238.95573684677206
0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,param_err_pct,8.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,8.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,8,S1_ideal,15,8.0,A,50.0,13977.344210806323,238.95573684677206
0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,param_err_pct,8.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,8.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,8,S1_ideal,16,8.0,A,50.0,13977.344210806323,238.95573684677206
0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,param_err_pct,7.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7.0,0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,7.0,1,7.0,7,7.0,A,12187.31904159839,208.37198402663984,7,S1_ideal,17,7.0,A,50.0,12187.31904159839,208.37198402663984
0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,param_err_pct,8.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,8.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,8,S1_ideal,18,8.0,A,50.0,13977.344210806323,238.95573684677206
nan,nan,nan,nan,param_err_pct,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,-1,nan,A,nan,nan,-1,S1_ideal,19,nan,A,50.0,nan,nan
0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,param_err_pct,8.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,8.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,8,S1_ideal,20,8.0,A,50.0,13977.344210806323,238.95573684677206
0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,param_err_pct,8.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,8.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,8,S1_ideal,21,8.0,A,50.0,13977.344210806323,238.95573684677206
0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,param_err_pct,8.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,8.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,8,S1_ideal,22,8.0,A,50.0,13977.344210806323,238.95573684677206
0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,param_err_pct,7.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7.0,0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,7.0,1,7.0,7,7.0,A,12187.31904159839,208.37198402663984,7,S1_ideal,23,7.0,A,50.0,12187.31904159839,208.37198402663984
nan,nan,nan,nan,param_err_pct,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,-1,nan,A,nan,nan,-1,S1_ideal,24,nan,A,50.0,nan,nan
0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,param_err_pct,8.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,8.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,8,S1_ideal,25,8.0,A,50.0,13977.344210806323,238.95573684677206
0.04332205780162691,0.0,0.08664411560325382,85.78933727074443,param_err_pct,6.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,6.0,0.04332205780162691,0.0,0.08664411560325382,85.78933727074443,6.0,1,6.0,6,6.0,A,10397.293872390457,177.78823120650762,6,S1_ideal,26,6.0,A,50.0,10397.293872390457,177.78823120650762
