accuracy_gain_at_equal_material,frac_seeds_reached,n_paired_at_target,p_better_at_equal_material,reference_strategy,resource_ratio_egda_mol,resource_ratio_energy_kJ,resource_ratio_nmr_acquisitions,resource_ratio_time_s,saving_pct_egda_mol,saving_pct_energy_kJ,saving_pct_nmr_acquisitions,saving_pct_time_s,scenario,strategy,tightest_target_reached_by_half
1.0,0.8,32,0.0,A,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,S1_ideal,A,50.0
0.3218854707596409,0.675,4,0.0,A,1.8821254351727448,1.5826863353732015,10.714285714285715,1.8821254351727443,-88.21254351727448,-58.26863353732015,-971.4285714285716,-88.21254351727444,S1_ideal,B,30.0
0.2615647709043424,1.0,2,0.075,A,1.976841610586911,1.6965173519658843,0.5357142857142857,0.951330070830974,-97.6841610586911,-69.65173519658843,46.42857142857143,4.866992916902602,S1_ideal,C,20.0
0.33591311318138295,1.0,2,0.325,A,2.154915638953582,1.6978962751902726,5.446428571428571,1.3380212911856524,-115.4915638953582,-69.78962751902726,-444.6428571428571,-33.80212911856524,S1_ideal,D,20.0
0.29210274771102746,1.0,2,0.225,A,1.007683113948999,0.8474929413843189,4.017857142857142,1.007683113949,-0.768311394899901,15.250705861568115,-301.7857142857142,-0.7683113948999898,S1_ideal,E,20.0
0.8477885889279538,1.0,2,0.25,A,1.788954879001641,1.3958800786194212,3.392857142857143,0.7420315682916583,-78.8954879001641,-39.58800786194212,-239.28571428571428,25.796843170834173,S1_ideal,F,20.0
1.0,0.5,20,0.0,B,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,S2_nmr,B,50.0
0.1951457970738821,0.7,5,0.225,B,3.034346049943375,2.3459238216273777,0.5,0.6265233806182449,-203.4346049943375,-134.59238216273778,50.0,37.34766193817551,S2_nmr,D,20.0
0.621617473678169,0.85,6,0.125,B,3.5128067893131165,2.4865479046851657,0.45625000000000004,0.5368306730472181,-251.28067893131166,-148.65479046851658,54.37499999999999,46.31693269527819,S2_nmr,F,20.0
1.0,0.65,26,0.0,D,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,S3_transport,D,20.0
0.7662132307237166,0.525,8,0.45,D,2.518952749195969,1.8747175241880893,1.0071428571428571,0.8558941410627534,-151.8952749195969,-87.47175241880893,-0.7142857142857117,14.410585893724658,S3_transport,F,5.0
0.7890356739807058,0.7,13,0.4,D,1.1724276560068532,1.1605971012363498,0.95,0.7544866707164785,-17.242765600685317,-16.059710123634986,5.000000000000004,24.551332928352153,S3_transport,F-uncorr,10.0
1.0,0.525,21,0.0,D,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,S3ab_delay,D,10.0
0.7562820009482107,0.65,19,0.45,D,1.7155006625073055,1.2845273420742096,1.0,0.7626352717394828,-71.55006625073055,-28.45273420742096,0.0,23.736472826051724,S3ab_delay,F,10.0
1.0,0.675,27,0.0,D,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,S3ab_rtd,D,20.0
0.9971923439516778,0.65,16,0.5,D,2.607939383133032,2.3088969394411545,1.0750000000000002,0.906178255303328,-160.7939383133032,-130.88969394411544,-7.500000000000018,9.382174469667204,S3ab_rtd,F,10.0
1.0,0.775,31,0.0,D,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,S4a_ambiguity,D,20.0
1.0657210265998456,0.575,14,0.575,D,0.897155017991581,1.0013798520380912,0.95,0.8397281462419635,10.284498200841895,-0.13798520380912116,5.000000000000004,16.027185375803654,S4a_ambiguity,F,10.0
1.0,0.7,28,0.0,D,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,S4b_identifiable,D,20.0
0.995534316546965,0.65,13,0.5,D,0.7782671794840385,0.9343473468200717,0.925,0.8279232350164059,22.173282051596154,6.56526531799283,7.499999999999996,17.207676498359415,S4b_identifiable,F,10.0
