C_EGDA_M,C_cat_M,Q_total_mL_min,T_C,blind_rmse_M,cum_acid_mol,cum_capillary_travel_m,cum_egda_mol,cum_energy_kJ,cum_nmr_acquisitions,cum_reactor_conditions,cum_spatial_samples,cum_time_s,cum_waste_mL,design_mode,is_reference,n_positions,param_err_pct,reference_acid_mol,reference_blind_rmse_M,reference_capillary_travel_m,reference_egda_mol,reference_energy_kJ,reference_nmr_acquisitions,reference_param_err_pct,reference_reactor_conditions,reference_spatial_samples,reference_strategy,reference_time_s,reference_waste_mL,round,scenario,seed,strategy,z_over_L_list,z_over_L_max,z_over_L_min
1.0,0.5,1.0,160.0,0.0041128424896568015,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,8.0,8.0,13977.344210806323,238.95573684677206,fixed,1,1,52.97900960033364,0.05823893421169302,0.0041128424896568015,0.0,0.11647786842338605,134.4647663586059,8.0,52.97900960033364,8.0,8.0,A,13977.344210806323,238.95573684677206,8,S1_ideal,4,A,1.0000,1.0,1.0
1.0,0.5,1.0,40.0,0.12394806531409687,0.006029866776461627,0.0,0.012059733552923254,1.5122905875365757,1.0,1.0,1.0,1447.1680263507903,24.869467105846507,fixed,1,1,130.94748490861585,0.006029866776461627,0.12394806531409687,0.0,0.012059733552923254,1.5122905875365757,1.0,130.94748490861585,1.0,1.0,A,1447.1680263507903,24.869467105846507,1,S1_ideal,5,A,1.0000,1.0,1.0
1.0,0.5,1.0,57.14285714285714,0.12611243464454694,0.013488304981494682,0.0,0.026976609962989364,14.092096948584338,2.0,2.0,2.0,3237.1931955587233,55.45321992597873,fixed,1,1,115.17807872394243,0.013488304981494682,0.12611243464454694,0.0,0.026976609962989364,14.092096948584338,2.0,115.17807872394243,2.0,2.0,A,3237.1931955587233,55.45321992597873,2,S1_ideal,5,A,1.0000,1.0,1.0
1.0,0.5,1.0,74.28571428571428,0.032158701162265824,0.020946743186527738,0.0,0.041893486373055476,28.809704797429,3.0,3.0,3.0,5027.218364766657,86.03697274611095,fixed,1,1,122.85769471242327,0.020946743186527738,0.032158701162265824,0.0,0.041893486373055476,28.809704797429,3.0,122.85769471242327,3.0,3.0,A,5027.218364766657,86.03697274611095,3,S1_ideal,5,A,1.0000,1.0,1.0
1.0,0.5,1.0,91.42857142857143,0.0414250720239063,0.028405181391560792,0.0,0.056810362783121585,45.66511413407058,4.0,4.0,4.0,6817.243533974591,116.62072556624317,fixed,1,1,187.3262224300248,0.028405181391560792,0.0414250720239063,0.0,0.056810362783121585,45.66511413407058,4.0,187.3262224300248,4.0,4.0,A,6817.243533974591,116.62072556624317,4,S1_ideal,5,A,1.0000,1.0,1.0
1.0,0.5,1.0,108.57142857142857,0.041486162998088064,0.03586361959659385,0.0,0.0717272391931877,64.65832495850906,5.0,5.0,5.0,8607.268703182524,147.2044783863754,fixed,1,1,150.77335916020846,0.03586361959659385,0.041486162998088064,0.0,0.0717272391931877,64.65832495850906,5.0,150.77335916020846,5.0,5.0,A,8607.268703182524,147.2044783863754,5,S1_ideal,5,A,1.0000,1.0,1.0
1.0,0.5,1.0,125.71428571428571,0.037436846321411706,0.04332205780162691,0.0,0.08664411560325382,85.78933727074443,6.0,6.0,6.0,10397.293872390457,177.78823120650762,fixed,1,1,104.53718339681717,0.04332205780162691,0.037436846321411706,0.0,0.08664411560325382,85.78933727074443,6.0,104.53718339681717,6.0,6.0,A,10397.293872390457,177.78823120650762,6,S1_ideal,5,A,1.0000,1.0,1.0
1.0,0.5,1.0,142.85714285714286,0.01895778648159849,0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,7.0,7.0,7.0,12187.31904159839,208.37198402663984,fixed,1,1,69.23971363638574,0.050780496006659966,0.01895778648159849,0.0,0.10156099201331993,109.05815107077672,7.0,69.23971363638574,7.0,7.0,A,12187.31904159839,208.37198402663984,7,S1_ideal,5,A,1.0000,1.0,1.0
1.0,0.5,1.0,160.0,0.0018234043303855738,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,8.0,8.0,13977.344210806323,238.95573684677206,fixed,1,1,9.030237780391559,0.05823893421169302,0.0018234043303855738,0.0,0.11647786842338605,134.4647663586059,8.0,9.030237780391559,8.0,8.0,A,13977.344210806323,238.95573684677206,8,S1_ideal,5,A,1.0000,1.0,1.0
1.0,0.5,1.0,40.0,0.12118760596777954,0.006029866776461627,0.0,0.012059733552923254,1.5122905875365757,1.0,1.0,1.0,1447.1680263507903,24.869467105846507,fixed,1,1,307.53284661019535,0.006029866776461627,0.12118760596777954,0.0,0.012059733552923254,1.5122905875365757,1.0,307.53284661019535,1.0,1.0,A,1447.1680263507903,24.869467105846507,1,S1_ideal,6,A,1.0000,1.0,1.0
1.0,0.5,1.0,57.14285714285714,0.07097583720056411,0.013488304981494682,0.0,0.026976609962989364,14.092096948584338,2.0,2.0,2.0,3237.1931955587233,55.45321992597873,fixed,1,1,187.06187939250358,0.013488304981494682,0.07097583720056411,0.0,0.026976609962989364,14.092096948584338,2.0,187.06187939250358,2.0,2.0,A,3237.1931955587233,55.45321992597873,2,S1_ideal,6,A,1.0000,1.0,1.0
1.0,0.5,1.0,74.28571428571428,0.01968229832300759,0.020946743186527738,0.0,0.041893486373055476,28.809704797429,3.0,3.0,3.0,5027.218364766657,86.03697274611095,fixed,1,1,42.036605975091625,0.020946743186527738,0.01968229832300759,0.0,0.041893486373055476,28.809704797429,3.0,42.036605975091625,3.0,3.0,A,5027.218364766657,86.03697274611095,3,S1_ideal,6,A,1.0000,1.0,1.0
1.0,0.5,1.0,91.42857142857143,0.03730965792107377,0.028405181391560792,0.0,0.056810362783121585,45.66511413407058,4.0,4.0,4.0,6817.243533974591,116.62072556624317,fixed,1,1,109.81862376890822,0.028405181391560792,0.03730965792107377,0.0,0.056810362783121585,45.66511413407058,4.0,109.81862376890822,4.0,4.0,A,6817.243533974591,116.62072556624317,4,S1_ideal,6,A,1.0000,1.0,1.0
1.0,0.5,1.0,108.57142857142857,0.038042851186340224,0.03586361959659385,0.0,0.0717272391931877,64.65832495850906,5.0,5.0,5.0,8607.268703182524,147.2044783863754,fixed,1,1,88.52372101847669,0.03586361959659385,0.038042851186340224,0.0,0.0717272391931877,64.65832495850906,5.0,88.52372101847669,5.0,5.0,A,8607.268703182524,147.2044783863754,5,S1_ideal,6,A,1.0000,1.0,1.0
1.0,0.5,1.0,125.71428571428571,0.009581029762579343,0.04332205780162691,0.0,0.08664411560325382,85.78933727074443,6.0,6.0,6.0,10397.293872390457,177.78823120650762,fixed,1,1,23.449912996665923,0.04332205780162691,0.009581029762579343,0.0,0.08664411560325382,85.78933727074443,6.0,23.449912996665923,6.0,6.0,A,10397.293872390457,177.78823120650762,6,S1_ideal,6,A,1.0000,1.0,1.0
1.0,0.5,1.0,142.85714285714286,0.003962320657809033,0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,7.0,7.0,7.0,12187.31904159839,208.37198402663984,fixed,1,1,48.28606041124932,0.050780496006659966,0.003962320657809033,0.0,0.10156099201331993,109.05815107077672,7.0,48.28606041124932,7.0,7.0,A,12187.31904159839,208.37198402663984,7,S1_ideal,6,A,1.0000,1.0,1.0
1.0,0.5,1.0,160.0,0.005519745019548994,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,8.0,8.0,13977.344210806323,238.95573684677206,fixed,1,1,35.191308497372866,0.05823893421169302,0.005519745019548994,0.0,0.11647786842338605,134.4647663586059,8.0,35.191308497372866,8.0,8.0,A,13977.344210806323,238.95573684677206,8,S1_ideal,6,A,1.0000,1.0,1.0
1.0,0.5,1.0,40.0,0.10985302457340546,0.006029866776461627,0.0,0.012059733552923254,1.5122905875365757,1.0,1.0,1.0,1447.1680263507903,24.869467105846507,fixed,1,1,182.43500215905786,0.006029866776461627,0.10985302457340546,0.0,0.012059733552923254,1.5122905875365757,1.0,182.43500215905786,1.0,1.0,A,1447.1680263507903,24.869467105846507,1,S1_ideal,7,A,1.0000,1.0,1.0
1.0,0.5,1.0,57.14285714285714,0.08189595279452329,0.013488304981494682,0.0,0.026976609962989364,14.092096948584338,2.0,2.0,2.0,3237.1931955587233,55.45321992597873,fixed,1,1,150.17566869480174,0.013488304981494682,0.08189595279452329,0.0,0.026976609962989364,14.092096948584338,2.0,150.17566869480174,2.0,2.0,A,3237.1931955587233,55.45321992597873,2,S1_ideal,7,A,1.0000,1.0,1.0
1.0,0.5,1.0,74.28571428571428,0.05322981119009433,0.020946743186527738,0.0,0.041893486373055476,28.809704797429,3.0,3.0,3.0,5027.218364766657,86.03697274611095,fixed,1,1,143.45519407924692,0.020946743186527738,0.05322981119009433,0.0,0.041893486373055476,28.809704797429,3.0,143.45519407924692,3.0,3.0,A,5027.218364766657,86.03697274611095,3,S1_ideal,7,A,1.0000,1.0,1.0
1.0,0.5,1.0,91.42857142857143,0.051155367363231764,0.028405181391560792,0.0,0.056810362783121585,45.66511413407058,4.0,4.0,4.0,6817.243533974591,116.62072556624317,fixed,1,1,139.6205371226968,0.028405181391560792,0.051155367363231764,0.0,0.056810362783121585,45.66511413407058,4.0,139.6205371226968,4.0,4.0,A,6817.243533974591,116.62072556624317,4,S1_ideal,7,A,1.0000,1.0,1.0
1.0,0.5,1.0,108.57142857142857,0.02353929704557049,0.03586361959659385,0.0,0.0717272391931877,64.65832495850906,5.0,5.0,5.0,8607.268703182524,147.2044783863754,fixed,1,1,207.18893443885725,0.03586361959659385,0.02353929704557049,0.0,0.0717272391931877,64.65832495850906,5.0,207.18893443885725,5.0,5.0,A,8607.268703182524,147.2044783863754,5,S1_ideal,7,A,1.0000,1.0,1.0
1.0,0.5,1.0,125.71428571428571,0.017975501492615172,0.04332205780162691,0.0,0.08664411560325382,85.78933727074443,6.0,6.0,6.0,10397.293872390457,177.78823120650762,fixed,1,1,124.6855602623,0.04332205780162691,0.017975501492615172,0.0,0.08664411560325382,85.78933727074443,6.0,124.6855602623,6.0,6.0,A,10397.293872390457,177.78823120650762,6,S1_ideal,7,A,1.0000,1.0,1.0
1.0,0.5,1.0,142.85714285714286,0.007588675538256248,0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,7.0,7.0,7.0,12187.31904159839,208.37198402663984,fixed,1,1,65.06050064397218,0.050780496006659966,0.007588675538256248,0.0,0.10156099201331993,109.05815107077672,7.0,65.06050064397218,7.0,7.0,A,12187.31904159839,208.37198402663984,7,S1_ideal,7,A,1.0000,1.0,1.0
1.0,0.5,1.0,160.0,0.003626762527804133,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,8.0,8.0,13977.344210806323,238.95573684677206,fixed,1,1,32.31822177677688,0.05823893421169302,0.003626762527804133,0.0,0.11647786842338605,134.4647663586059,8.0,32.31822177677688,8.0,8.0,A,13977.344210806323,238.95573684677206,8,S1_ideal,7,A,1.0000,1.0,1.0
1.0,0.5,1.0,40.0,0.10854265500435524,0.006029866776461627,0.0,0.012059733552923254,1.5122905875365757,1.0,1.0,1.0,1447.1680263507903,24.869467105846507,fixed,1,1,213.93937982815237,0.006029866776461627,0.10854265500435524,0.0,0.012059733552923254,1.5122905875365757,1.0,213.93937982815237,1.0,1.0,A,1447.1680263507903,24.869467105846507,1,S1_ideal,8,A,1.0000,1.0,1.0
1.0,0.5,1.0,57.14285714285714,0.09747539907226158,0.013488304981494682,0.0,0.026976609962989364,14.092096948584338,2.0,2.0,2.0,3237.1931955587233,55.45321992597873,fixed,1,1,84.76223099506363,0.013488304981494682,0.09747539907226158,0.0,0.026976609962989364,14.092096948584338,2.0,84.76223099506363,2.0,2.0,A,3237.1931955587233,55.45321992597873,2,S1_ideal,8,A,1.0000,1.0,1.0
1.0,0.5,1.0,74.28571428571428,0.022499330937452083,0.020946743186527738,0.0,0.041893486373055476,28.809704797429,3.0,3.0,3.0,5027.218364766657,86.03697274611095,fixed,1,1,91.64574830958017,0.020946743186527738,0.022499330937452083,0.0,0.041893486373055476,28.809704797429,3.0,91.64574830958017,3.0,3.0,A,5027.218364766657,86.03697274611095,3,S1_ideal,8,A,1.0000,1.0,1.0
1.0,0.5,1.0,91.42857142857143,0.04458666313888371,0.028405181391560792,0.0,0.056810362783121585,45.66511413407058,4.0,4.0,4.0,6817.243533974591,116.62072556624317,fixed,1,1,106.80710405253522,0.028405181391560792,0.04458666313888371,0.0,0.056810362783121585,45.66511413407058,4.0,106.80710405253522,4.0,4.0,A,6817.243533974591,116.62072556624317,4,S1_ideal,8,A,1.0000,1.0,1.0
1.0,0.5,1.0,108.57142857142857,0.01588190997866985,0.03586361959659385,0.0,0.0717272391931877,64.65832495850906,5.0,5.0,5.0,8607.268703182524,147.2044783863754,fixed,1,1,170.37013861868652,0.03586361959659385,0.01588190997866985,0.0,0.0717272391931877,64.65832495850906,5.0,170.37013861868652,5.0,5.0,A,8607.268703182524,147.2044783863754,5,S1_ideal,8,A,1.0000,1.0,1.0
1.0,0.5,1.0,125.71428571428571,0.01595136143725787,0.04332205780162691,0.0,0.08664411560325382,85.78933727074443,6.0,6.0,6.0,10397.293872390457,177.78823120650762,fixed,1,1,170.0432846327612,0.04332205780162691,0.01595136143725787,0.0,0.08664411560325382,85.78933727074443,6.0,170.0432846327612,6.0,6.0,A,10397.293872390457,177.78823120650762,6,S1_ideal,8,A,1.0000,1.0,1.0
