improvement_blind_rmse_M_ci_hi,improvement_blind_rmse_M_ci_lo,improvement_blind_rmse_M_median,improvement_blind_rmse_M_n,improvement_blind_rmse_M_q25,improvement_blind_rmse_M_q75,improvement_param_err_pct_ci_hi,improvement_param_err_pct_ci_lo,improvement_param_err_pct_median,improvement_param_err_pct_n,improvement_param_err_pct_q25,improvement_param_err_pct_q75,n_seeds,p_better_blind_rmse_M,p_better_param_err_pct,reference_strategy,resource,scenario,strategy
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,A,egda_mol,S1_ideal,A
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,A,energy_kJ,S1_ideal,A
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,A,nmr_acquisitions,S1_ideal,A
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,A,time_s,S1_ideal,A
0.1983675873422357,0.10730613935502731,0.15264185476525846,40,0.09164976320258936,0.21097441641210518,0.3688843403430062,0.27070870591918605,0.3218854707596409,40,0.24819639749115135,0.42726716326038344,40,0.0,0.0,A,egda_mol,S1_ideal,B
0.5413178952358652,0.2673208294595608,0.34075137612533957,40,0.1931519434331821,0.6810755357068964,0.9388786651845722,0.6451229905849354,0.8223490775420295,40,0.5292266445977777,1.0627798901833019,40,0.2,0.3,A,energy_kJ,S1_ideal,B
nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,40,nan,nan,A,nmr_acquisitions,S1_ideal,B
0.1983675873422357,0.1035683011724035,0.15264185476525846,40,0.09164976320258936,0.21097441641210518,0.3688843403430062,0.27070870591918605,0.3218854707596409,40,0.24819639749115135,0.42726716326038344,40,0.0,0.0,A,time_s,S1_ideal,B
0.06418580351025041,0.032110516057614474,0.04631658389338822,40,0.027520584058570767,0.1145973188945193,0.3085082044382139,0.23105062272664464,0.2615647709043424,40,0.17668568147416502,0.3257232331312758,40,0.05,0.075,A,egda_mol,S1_ideal,C
0.18132182374011185,0.04296368278818409,0.0820180670783345,40,0.03243267296743792,0.26146784005141166,0.5003080235099332,0.26092330083801674,0.3261119310033903,40,0.18867740145580433,0.7498442315418046,40,0.125,0.175,A,energy_kJ,S1_ideal,C
3.7674401918831855,2.3272406141427124,2.8482143967177698,40,2.103789533018439,5.450137039472943,11.088958988629702,6.485547781937615,9.474519550446093,40,5.88322520217208,12.94440867996197,40,0.975,1.0,A,nmr_acquisitions,S1_ideal,C
1.7072480795817286,1.0503352967490776,1.2790176861578413,40,0.8163115730967316,1.9530663993200055,5.682234834717612,3.6920156492443192,4.74915851666918,40,2.848113997656996,7.037323269812592,40,0.675,0.875,A,time_s,S1_ideal,C
0.17059195936182145,0.04115817628470054,0.0694064617998795,40,0.031187231333752535,0.6981278852893683,0.6061869555876434,0.20064040726256843,0.33591311318138295,40,0.15545405461181927,2.8095511697550073,40,0.25,0.325,A,egda_mol,S1_ideal,D
0.29773709417251193,0.05428655036163986,0.11071033490419992,40,0.032194718653607915,1.0956334156326648,1.7035593900289305,0.23643147959310573,0.36170701038942965,40,0.1610885091851108,3.76456927368165,40,0.275,0.375,A,energy_kJ,S1_ideal,D
nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,40,nan,nan,A,nmr_acquisitions,S1_ideal,D
3.3862965183187725,1.8048108176299062,2.3012773896673338,40,1.5203107662827802,4.478600139892508,10.328668544137543,5.747231141593094,7.127373549794127,40,4.952151777863534,11.486823551185756,40,0.875,0.9,A,time_s,S1_ideal,D
0.09233438207658162,0.03787247482734757,0.07297059768818193,40,0.02702283153136726,0.4421132577794297,0.3406520465604246,0.2135871837123759,0.29210274771102746,40,0.1834318111444853,0.6959398264748844,40,0.225,0.225,A,egda_mol,S1_ideal,E
0.3909914260658629,0.07297059768818193,0.11138211393979408,40,0.047585859462302704,1.0081677673866016,0.6193566007674645,0.2882335474449138,0.32040613319814165,40,0.2383363942138663,1.9584710745800187,40,0.25,0.275,A,energy_kJ,S1_ideal,E
nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,40,nan,nan,A,nmr_acquisitions,S1_ideal,E
4.521441582386054,2.247606635943652,2.7775912363508732,40,1.4085459501839783,4.933575761590645,10.573720654319057,6.614082328883447,8.242444739475072,40,4.530176104963774,14.604711680607673,40,0.875,0.9,A,time_s,S1_ideal,E
0.0466199584889812,0.03370722705449111,0.037980356340397745,40,0.02947481074025381,0.05955451680965405,0.9334978764014907,0.688435661955622,0.8477885889279538,40,0.5900903505795201,1.0000317764466566,40,0.025,0.25,A,egda_mol,S1_ideal,F
0.04738500715931824,0.03409097851547946,0.037980356340397745,40,0.02947481074025381,0.05955451680965405,0.936928169607194,0.6908694178700341,0.8477885889279538,40,0.5900903505795201,1.0000317764466566,40,0.025,0.25,A,energy_kJ,S1_ideal,F
nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,nan,40,nan,nan,A,nmr_acquisitions,S1_ideal,F
4.406339945033955,2.9032942030156645,3.92412998835247,40,2.801705461604013,4.972623568833605,13.495942757480389,7.838647422053519,10.518757822616683,40,6.137048372552145,17.701856494516747,40,0.975,1.0,A,time_s,S1_ideal,F
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,B,egda_mol,S2_nmr,B
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,B,energy_kJ,S2_nmr,B
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,B,nmr_acquisitions,S2_nmr,B
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,B,time_s,S2_nmr,B
0.17519699185999738,0.07054664655962399,0.08094431704730029,40,0.06566816724211345,0.5176607282262307,0.3320776997394999,0.1547489537277973,0.1951457970738821,40,0.1316632021762258,0.47409096102245035,40,0.25,0.225,B,egda_mol,S2_nmr,D
1.2918049479412157,0.07018083656766361,0.08094431704730029,40,0.06566816724211345,2.108159245411674,0.9876601959966117,0.17667494858552202,0.2311151054025448,40,0.14442494961122657,1.4061264006108591,40,0.4,0.35,B,energy_kJ,S2_nmr,D
3.103807631353455,2.3152577827507854,2.725152569718243,40,2.16413378420402,3.4483014888140744,4.136767293014529,1.8701219091429964,2.71027746170341,40,1.636496936546701,6.168696938752964,40,1.0,0.9,B,nmr_acquisitions,S2_nmr,D
2.9242076756718482,2.2356295165364424,2.413004271448121,40,2.159881975328206,3.2990327817599283,3.2740612282885917,1.589956785318195,2.509560574043064,40,1.3502503222504105,3.899892456684576,40,1.0,0.875,B,time_s,S2_nmr,D
0.13172132944498716,0.09140569454749106,0.12372438666533106,40,0.08206327746098196,0.3425863652339032,0.763920894439358,0.5383475218310068,0.621617473678169,40,0.49463276615449014,0.8807860964753764,40,0.0,0.125,B,egda_mol,S2_nmr,F
0.214859355726914,0.0985944802221598,0.1248461334137907,40,0.08408073020250843,0.40280005738627644,0.7701578718365167,0.5501570815583594,0.6261978735231731,40,0.5070000932541546,0.8892150136892308,40,0.0,0.15,B,energy_kJ,S2_nmr,F
12.36612771600755,7.541178924705686,9.587297616336496,40,6.2622151901241025,12.850864813531992,5.059364625970357,2.4657722443114913,3.4369745543776506,40,1.6722919309081785,8.988648278050315,40,1.0,0.95,B,nmr_acquisitions,S2_nmr,F
10.591010668595734,7.590258557717203,9.177957758694202,40,5.7181460497191505,12.22608601797451,5.965213489880417,2.7633179392626115,3.4492744989609205,40,1.688911709753206,8.172980655309914,40,1.0,0.925,B,time_s,S2_nmr,F
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,egda_mol,S3_transport,D
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,energy_kJ,S3_transport,D
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,nmr_acquisitions,S3_transport,D
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,time_s,S3_transport,D
3.2416086665683643,0.062231571834982874,2.4579909727570914,40,0.047415131996352056,3.7439572762007742,1.43598967895469,0.38673449882761474,0.7662132307237166,40,0.32068710738307177,2.8539773695188337,40,0.6,0.45,D,egda_mol,S3_transport,F
3.1240420735831123,1.5134531210316542,2.379849863564326,40,0.698138193806637,4.072763083223023,1.9538871967826958,0.6374695742608436,0.90530884282003,40,0.4252231996849423,3.0778791722101513,40,0.7,0.475,D,energy_kJ,S3_transport,F
3.6586969537998275,2.485348970213135,3.0078674532434153,40,2.2235562957880886,4.361052853768498,3.37835122662144,1.0982446606796108,1.7354726443205002,40,0.8506810592014524,3.903925154628739,40,0.95,0.675,D,nmr_acquisitions,S3_transport,F
3.916467730216024,2.651032405423418,2.964189150928031,40,2.2235562957880886,4.389998668639277,3.250332687103066,0.9469919556891375,1.7624495295698848,40,0.8012989627149417,4.1429812366459355,40,0.95,0.625,D,time_s,S3_transport,F
3.445217503227746,1.3716385092402792,2.65265205445864,40,0.05392122106684986,4.162967580201149,1.2882857576473707,0.4591230906774755,0.7890356739807058,40,0.3500258224142936,2.8178004348256804,40,0.675,0.4,D,egda_mol,S3_transport,F-uncorr
3.445217503227746,1.8323371148446648,2.7016053411680145,40,1.5027220816614317,4.162967580201149,1.4590360233412403,0.6938979921042726,0.9325763197753396,40,0.472548086051915,2.844052461670038,40,0.8,0.45,D,energy_kJ,S3_transport,F-uncorr
4.27699718452088,2.7127373647334134,3.185391542358956,40,2.5991685429835094,5.071399400355602,2.701120869153555,1.0218913663022466,1.3969572106526598,40,0.8249638144103645,3.4719934399546935,40,1.0,0.65,D,nmr_acquisitions,S3_transport,F-uncorr
4.474147362096627,2.750195962277032,3.3931661072087387,40,2.680178911721419,5.121588312517371,2.886155664423012,0.9961452943494145,1.4840787261031665,40,0.8024291406922226,3.5579787515838612,40,1.0,0.625,D,time_s,S3_transport,F-uncorr
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,egda_mol,S3ab_delay,D
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,energy_kJ,S3ab_delay,D
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,nmr_acquisitions,S3ab_delay,D
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,time_s,S3ab_delay,D
2.7818528010921826,0.049355756022561495,1.450607410874799,40,0.034081710050730706,3.518854795731202,1.3691676116457514,0.45694925916043366,0.7562820009482107,40,0.2871745426987575,1.7121009268154683,40,0.6,0.45,D,egda_mol,S3ab_delay,F
3.0925971325265342,1.3946545354122342,2.239326022459652,40,1.0739907661094583,3.6745984043372886,1.7186783698379944,0.6925754386852736,1.0151299563590845,40,0.47757457493017985,2.499400521024663,40,0.775,0.55,D,energy_kJ,S3ab_delay,F
3.597013794500015,2.61755690198731,3.027346169056106,40,2.012178353652312,4.09012701112095,1.7177332072792582,1.010532775108573,1.3707402114955811,40,0.9218335808860694,2.3837365285534458,40,1.0,0.7,D,nmr_acquisitions,S3ab_delay,F
3.5797768191979635,2.729919782336216,3.103718828632303,40,2.03044083322763,4.09012701112095,1.5666381094988941,1.0058807965623238,1.2896609665948588,40,0.8289656389566797,2.3837365285534458,40,0.925,0.675,D,time_s,S3ab_delay,F
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,egda_mol,S3ab_rtd,D
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,energy_kJ,S3ab_rtd,D
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,nmr_acquisitions,S3ab_rtd,D
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,time_s,S3ab_rtd,D
2.7358952449952123,0.044570675412819824,1.3447575495000077,40,0.036956092710484126,3.2588558397438936,1.4469992320560054,0.3659000268801175,0.9971923439516778,40,0.18356436581757632,1.7706612862866884,40,0.575,0.5,D,egda_mol,S3ab_rtd,F
2.924303787379719,1.0845695214713929,1.6865284129915166,40,0.33277733658624814,3.8106274220295004,1.600494791208769,0.7289042905199146,1.050533987101592,40,0.4731918215111219,2.2241726509342197,40,0.675,0.575,D,energy_kJ,S3ab_rtd,F
3.989272829101905,2.7039358832646307,3.1034883869203664,40,2.092522461676621,4.683869451624233,1.917627946347261,1.039432319226708,1.4681528786686644,40,0.8993257547493879,2.3883094421392004,40,1.0,0.7,D,nmr_acquisitions,S3ab_rtd,F
3.962680489412583,2.7632798726582393,3.0847717131840433,40,2.2532259227241926,4.570006137787751,2.1443517783826884,1.0389171919944453,1.4634108827618917,40,0.8485470146461646,2.3883094421392004,40,1.0,0.7,D,time_s,S3ab_rtd,F
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,egda_mol,S4a_ambiguity,D
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,energy_kJ,S4a_ambiguity,D
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,nmr_acquisitions,S4a_ambiguity,D
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,time_s,S4a_ambiguity,D
3.2697883218382384,1.5930077677464096,2.3293565446070246,40,1.1468351226310547,4.10141415061228,1.4270886898384738,0.6840629647873412,1.0657210265998456,40,0.569677461803584,2.1652204734122242,40,0.775,0.575,D,egda_mol,S4a_ambiguity,F
3.853908618381427,2.2717509046317272,3.1052116094060667,40,1.7082896438507762,4.571606340999406,1.6884127040498018,1.016009764250671,1.2723044707120816,40,0.8588363202071339,2.249166606060893,40,0.925,0.675,D,energy_kJ,S4a_ambiguity,F
4.235305033804979,2.7908703794641445,3.2864827376129493,40,2.3061038269748133,4.6957261976673985,1.4318699533949546,0.9706435499486874,1.182963944930942,40,0.7916072030167253,1.984175322384605,40,0.925,0.65,D,nmr_acquisitions,S4a_ambiguity,F
4.303541059191088,2.9330044126671666,3.3750548369569673,40,2.297137489877414,5.442881672325051,1.9484693579724413,0.9715407034153587,1.1653464718483115,40,0.6887913408968499,2.1887640283680914,40,0.95,0.65,D,time_s,S4a_ambiguity,F
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,egda_mol,S4b_identifiable,D
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,energy_kJ,S4b_identifiable,D
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,nmr_acquisitions,S4b_identifiable,D
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,time_s,S4b_identifiable,D
3.1287499227817386,1.1388218192133595,2.133439077659179,40,0.04267972908813742,3.27120825579535,1.2773766506842354,0.4168672827512415,0.995534316546965,40,0.30291984696103524,1.9350165252358638,40,0.675,0.5,D,egda_mol,S4b_identifiable,F
3.159362010731636,1.3979626464571138,2.9123090371172546,40,1.223060193391633,4.3804077180485335,1.5393045804515835,0.8702005136045772,1.0330655464934244,40,0.4986704041276207,1.9350165252358638,40,0.775,0.55,D,energy_kJ,S4b_identifiable,F
3.5683984602264385,2.4711155083002527,2.7968914062770764,40,2.0979953092227666,5.221491272367258,1.4293619071433907,0.978004627333999,1.0913205804590331,40,0.54366073214485,1.8807162749698647,40,0.95,0.65,D,nmr_acquisitions,S4b_identifiable,F
4.1376297534793665,2.7819635983722,3.2104151361481477,40,2.014656305872732,4.938390647328834,1.6221675538399867,1.0275498737083781,1.1976903952181568,40,0.5029875181675691,2.433544115184289,40,0.95,0.675,D,time_s,S4b_identifiable,F
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,F,egda_mol,S4c_out_of_domain,F
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,F,energy_kJ,S4c_out_of_domain,F
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,F,nmr_acquisitions,S4c_out_of_domain,F
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,F,time_s,S4c_out_of_domain,F
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,egda_mol,S5_inadequacy,D
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,energy_kJ,S5_inadequacy,D
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,nmr_acquisitions,S5_inadequacy,D
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,time_s,S5_inadequacy,D
0.9345598903528383,0.21175048382168896,0.32857160969170857,40,0.2088985196995416,1.3939063926175166,2.0788441981113412,1.5758319027726162,1.8321239779134344,40,1.4759535732885325,2.6583688151738607,40,0.35,1.0,D,egda_mol,S5_inadequacy,F
0.4764551806836026,0.31964474806782983,0.3350864429283993,40,0.2154095028709461,1.3820554043469535,2.397270292878996,1.6325810076691396,1.9474428335885108,40,1.4894551481455702,3.4724137517580775,40,0.3,1.0,D,energy_kJ,S5_inadequacy,F
1.4381204841923008,1.3463010231663337,1.389677122461125,40,1.2968275448008522,1.496011488569648,1.9034276080605386,1.4861940762720605,1.6162252345375947,40,1.4004802356589348,1.9475815960242029,40,0.85,0.975,D,nmr_acquisitions,S5_inadequacy,F
1.4919516301905906,1.350418316630609,1.459175052828992,40,1.2128361436135349,1.510538573133783,1.758679624547808,1.461400927376566,1.5825784492602781,40,1.3181777521537064,1.8522718276780972,40,0.875,0.975,D,time_s,S5_inadequacy,F
0.8287825955389264,0.21230411093410592,0.3275227550712219,40,0.2088985196995416,1.3164814753286909,2.1682815564013307,1.8160136506688482,1.9327926336439238,40,1.5736486064141368,2.2650654733921476,40,0.3,1.0,D,egda_mol,S5_inadequacy,F-noGovernor
0.8187465916931334,0.31980226857138194,0.33771506270416624,40,0.2154095028709461,1.2822583445003506,2.2362647342612023,1.8870075126196917,2.0468596230478617,40,1.6809455473806896,2.7614844216182135,40,0.3,1.0,D,energy_kJ,S5_inadequacy,F-noGovernor
1.4448757276699413,1.3067095390725527,1.374053435597697,40,1.2129605338933298,1.4944844581049648,2.162984717597288,1.874503840815966,2.005916693326492,40,1.7541205617636209,2.1759917548351537,40,0.875,0.975,D,nmr_acquisitions,S5_inadequacy,F-noGovernor
1.4698805342006356,1.3703249812005547,1.4326155378845646,40,1.3348138947544184,1.519950939015849,2.0893573995388914,1.8237311848180244,2.006592936397226,40,1.5886832023894142,2.1627265948799423,40,0.875,0.975,D,time_s,S5_inadequacy,F-noGovernor
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,egda_mol,S6_resources,D
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,energy_kJ,S6_resources,D
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,nmr_acquisitions,S6_resources,D
1.0,1.0,1.0,40,1.0,1.0,1.0,1.0,1.0,40,1.0,1.0,40,0.0,0.0,D,time_s,S6_resources,D
3.6234592195365636,1.3809957929090986,2.4538278232280857,40,0.06418178419603966,4.053130413314143,1.450120263661864,0.6282446034149465,1.0214785849901316,40,0.2962276059299593,1.851076433098615,40,0.725,0.525,D,egda_mol,S6_resources,F
4.053976288865104,1.8536333503057492,3.0601550263696824,40,1.3740950611329963,4.460772341272953,1.4668768810316424,0.8256070680605161,1.0379422339747295,40,0.47656509132151337,1.851076433098615,40,0.825,0.575,D,energy_kJ,S6_resources,F
4.038328489207361,2.8195667822788835,3.5754352491867145,40,2.2125939481793373,4.3815795534646895,1.8056936219871245,1.1253945323304786,1.2895669632187106,40,1.0196416083578332,2.083383996326479,40,1.0,0.775,D,nmr_acquisitions,S6_resources,F
4.101955048187114,3.052488586791413,3.6621918710928942,40,2.3434291872681543,4.616867076528878,1.848160615800262,1.0615559320783305,1.3652721065040385,40,1.0377835945295575,2.285041664757011,40,1.0,0.8,D,time_s,S6_resources,F
