blind_rmse_M,improvement_factor_blind_rmse_M,improvement_factor_param_err_pct,param_err_pct,reference_blind_rmse_M,reference_final_round,reference_param_err_pct,reference_strategy,reference_total,resource,round_at_budget,scenario,seed,spent,strategy
0.004316002333362245,1.0,1.0,46.87191570097624,0.004316002333362245,8,46.87191570097624,A,0.11647786842338605,egda_mol,8,S1_ideal,1,0.11647786842338605,A
0.02191940785662277,0.1969032357805323,0.7547207031005829,62.1049820263504,0.004316002333362245,8,46.87191570097624,A,0.11647786842338605,egda_mol,4,S1_ideal,1,0.09956036278312162,B
0.03924020300003531,0.10998929677704168,0.306807985890378,152.77280206690415,0.004316002333362245,8,46.87191570097624,A,0.11647786842338605,egda_mol,3,S1_ideal,1,0.0843820010979496,C
0.000831655643532048,5.18965074899528,18.829455670801572,2.489286813195535,0.004316002333362245,8,46.87191570097624,A,0.11647786842338605,egda_mol,3,S1_ideal,1,0.11363200109794962,D
0.11396145493628201,0.03787247482734757,0.21802249556473002,214.98660300886314,0.004316002333362245,8,46.87191570097624,A,0.11647786842338605,egda_mol,1,S1_ideal,1,0.020708483552923252,E
0.11884658406888289,0.03631574577575331,0.5326928904374258,87.99050361360543,0.004316002333362245,8,46.87191570097624,A,0.11647786842338605,egda_mol,1,S1_ideal,1,0.020708483552923252,F
0.0069939961183578874,1.0,1.0,57.361147308449326,0.0069939961183578874,8,57.361147308449326,A,0.11647786842338605,egda_mol,8,S1_ideal,2,0.11647786842338605,A
0.027985703447552655,0.24991317911537117,0.8248211963599903,69.54373573519837,0.0069939961183578874,8,57.361147308449326,A,0.11647786842338605,egda_mol,4,S1_ideal,2,0.09956036278312162,B
0.04570457288315808,0.1530261782828112,0.26012692103375573,220.51215260801774,0.0069939961183578874,8,57.361147308449326,A,0.11647786842338605,egda_mol,3,S1_ideal,2,0.0843820010979496,C
0.12090266315481307,0.057848155994729714,0.3371011582213503,170.16004219951196,0.0069939961183578874,8,57.361147308449326,A,0.11647786842338605,egda_mol,1,S1_ideal,2,0.02105973355292326,D
0.09785843785306336,0.07147054737231275,0.5129619060615763,111.82340565765844,0.0069939961183578874,8,57.361147308449326,A,0.11647786842338605,egda_mol,1,S1_ideal,2,0.020708483552923252,E
0.09985335391451428,0.07004267602614066,1.0862630206626427,52.80594682626483,0.0069939961183578874,8,57.361147308449326,A,0.11647786842338605,egda_mol,1,S1_ideal,2,0.020708483552923252,F
0.00553309361075291,1.0,1.0,29.08193188076107,0.00553309361075291,8,29.08193188076107,A,0.11647786842338605,egda_mol,8,S1_ideal,3,0.11647786842338605,A
0.04175119112197729,0.13252540734916568,0.24546135741450356,118.47865662883646,0.00553309361075291,8,29.08193188076107,A,0.11647786842338605,egda_mol,4,S1_ideal,3,0.09956036278312162,B
0.01959066853331571,0.28243516046138917,0.19629766668786486,148.15220359702278,0.00553309361075291,8,29.08193188076107,A,0.11647786842338605,egda_mol,3,S1_ideal,3,0.11104866776461628,C
0.1344348586409474,0.04115817628470054,0.071741905181267,405.36882603383725,0.00553309361075291,8,29.08193188076107,A,0.11647786842338605,egda_mol,1,S1_ideal,3,0.02105973355292326,D
0.0012760050540608792,4.336263083867787,1.8116093116697827,16.053092514718802,0.00553309361075291,8,29.08193188076107,A,0.11647786842338605,egda_mol,3,S1_ideal,3,0.10939991776461626,E
0.09306290718242971,0.05945541331420559,0.5237498076633426,55.52638197712607,0.00553309361075291,8,29.08193188076107,A,0.11647786842338605,egda_mol,1,S1_ideal,3,0.020708483552923252,F
