frac_reached,metric,n_paired,n_reached,n_reference_reached,n_seeds,p_cheaper_egda_mol,p_cheaper_energy_kJ,p_cheaper_nmr_acquisitions,p_cheaper_time_s,ratio_acid_mol_ci_hi,ratio_acid_mol_ci_lo,ratio_acid_mol_median,ratio_acid_mol_q25,ratio_acid_mol_q75,ratio_capillary_travel_m_ci_hi,ratio_capillary_travel_m_ci_lo,ratio_capillary_travel_m_median,ratio_capillary_travel_m_q25,ratio_capillary_travel_m_q75,ratio_egda_mol_ci_hi,ratio_egda_mol_ci_lo,ratio_egda_mol_median,ratio_egda_mol_q25,ratio_egda_mol_q75,ratio_energy_kJ_ci_hi,ratio_energy_kJ_ci_lo,ratio_energy_kJ_median,ratio_energy_kJ_q25,ratio_energy_kJ_q75,ratio_nmr_acquisitions_ci_hi,ratio_nmr_acquisitions_ci_lo,ratio_nmr_acquisitions_median,ratio_nmr_acquisitions_q25,ratio_nmr_acquisitions_q75,ratio_reactor_conditions_ci_hi,ratio_reactor_conditions_ci_lo,ratio_reactor_conditions_median,ratio_reactor_conditions_q25,ratio_reactor_conditions_q75,ratio_spatial_samples_ci_hi,ratio_spatial_samples_ci_lo,ratio_spatial_samples_median,ratio_spatial_samples_q25,ratio_spatial_samples_q75,ratio_time_s_ci_hi,ratio_time_s_ci_lo,ratio_time_s_median,ratio_time_s_q25,ratio_time_s_q75,ratio_waste_mL_ci_hi,ratio_waste_mL_ci_lo,ratio_waste_mL_median,ratio_waste_mL_q25,ratio_waste_mL_q75,reference_strategy,scenario,strategy,target
0.7,blind_rmse_M,2,28,4,40,0.0,0.0,0.0,0.0,1.7533620007625579,1.4955950369540763,1.624478518858317,1.5600367779061965,1.6889202598104376,nan,nan,nan,nan,nan,1.7533620007625579,1.4955950369540763,1.624478518858317,1.5600367779061965,1.6889202598104376,1.4175655193588665,1.083421750918453,1.2504936351386597,1.1669576930285563,1.3340295772487631,10.0,8.571428571428571,9.285714285714285,8.928571428571429,9.642857142857142,1.0,0.8571428571428571,0.9285714285714286,0.8928571428571428,0.9642857142857143,10.0,8.571428571428571,9.285714285714285,8.928571428571429,9.642857142857142,1.7533620007625572,1.4955950369540758,1.6244785188583166,1.560036777906196,1.688920259810437,1.9604289188803388,1.6738729673079078,1.8171509430941233,1.7455119552010157,1.888789930987231,A,S1_ideal,B,0.002
1.0,blind_rmse_M,33,40,33,40,0.0,0.12121212121212122,0.0,0.0,1.7533620007625579,1.5287109424606322,1.7532419532685042,1.5287109424606322,1.7533620007625579,nan,nan,nan,nan,nan,1.7533620007625579,1.5287109424606322,1.7532419532685042,1.5287109424606322,1.7533620007625579,1.4175655193588665,1.134194891352041,1.3984213887121644,1.134194891352041,1.4175655193588665,10.0,8.75,10.0,8.75,10.0,1.0,0.875,1.0,0.875,1.0,10.0,8.75,10.0,8.75,10.0,1.7533620007625572,1.5287109424606318,1.7532419532685035,1.5287109424606318,1.7533620007625572,1.9610217080545653,1.7100321148123954,1.9604289188803388,1.7100321148123954,1.9610217080545653,A,S1_ideal,B,0.005
1.0,blind_rmse_M,39,40,39,40,0.0,0.2564102564102564,0.0,0.0,1.7532419532685042,1.4955950369540763,1.5287109424606322,1.3998274605563914,1.7532419532685042,nan,nan,nan,nan,nan,1.7532419532685042,1.4955950369540763,1.5287109424606322,1.3998274605563914,1.7532419532685042,1.3984213887121644,1.083421750918453,1.134194891352041,0.9810675046520304,1.3984213887121644,10.0,8.571428571428571,8.75,8.035714285714285,10.0,1.0,0.8571428571428571,0.875,0.8035714285714286,1.0,10.0,8.571428571428571,8.75,8.035714285714285,10.0,1.7532419532685035,1.4955950369540758,1.5287109424606318,1.399827460556391,1.7532419532685035,1.9610217080545653,1.6738729673079078,1.7100321148123954,1.5667541390261799,1.9610217080545653,A,S1_ideal,B,0.01
0.025,param_err_pct,0,1,0,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A,S1_ideal,B,5.0
0.15,param_err_pct,0,6,1,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A,S1_ideal,B,10.0
0.5,param_err_pct,1,20,2,40,0.0,0.0,0.0,0.0,1.7533620007625579,1.7533620007625579,1.7533620007625579,1.7533620007625579,1.7533620007625579,nan,nan,nan,nan,nan,1.7533620007625579,1.7533620007625579,1.7533620007625579,1.7533620007625579,1.7533620007625579,1.4175655193588665,1.4175655193588665,1.4175655193588665,1.4175655193588665,1.4175655193588665,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,1.7533620007625572,1.7533620007625572,1.7533620007625572,1.7533620007625572,1.7533620007625572,1.9604289188803388,1.9604289188803388,1.9604289188803388,1.9604289188803388,1.9604289188803388,A,S1_ideal,B,20.0
0.675,param_err_pct,4,27,4,40,0.0,0.25,0.0,0.0,2.0550846502798525,1.3040598841587066,1.8821254351727448,1.641036471611595,2.021937814757162,nan,nan,nan,nan,nan,2.0550846502798525,1.3040598841587066,1.8821254351727448,1.641036471611595,2.021937814757162,1.777718023272162,0.8787132583856079,1.5826863353732015,1.282852454115552,1.7552848693586927,11.666666666666666,7.5,10.714285714285715,9.375,11.488095238095237,1.1666666666666667,0.75,1.0714285714285714,0.9375,1.1488095238095237,11.666666666666666,7.5,10.714285714285715,9.375,11.488095238095237,2.0550846502798517,1.304059884158706,1.8821254351727443,1.6410364716115944,2.0219378147571616,2.2983635151418444,1.4596353107444517,2.1042996838407806,1.835230516846367,2.2607187153863784,A,S1_ideal,B,30.0
1.0,param_err_pct,32,40,32,40,0.0,0.3125,0.0,0.0,1.7532419532685042,1.4936147963629662,1.5287109424606322,1.3040598841587066,1.7532419532685042,nan,nan,nan,nan,nan,1.7532419532685042,1.4955950369540763,1.5287109424606322,1.3040598841587066,1.7532419532685042,1.3984213887121644,1.083421750918453,1.134194891352041,0.8787132583856079,1.3984213887121644,10.0,8.571428571428571,8.75,7.5,10.0,1.0,0.8571428571428571,0.875,0.75,1.0,10.0,8.571428571428571,8.75,7.5,10.0,1.7532419532685035,1.5121529897073538,1.5287109424606318,1.304059884158706,1.7532419532685035,1.9610217080545653,1.6919525410601515,1.7100321148123954,1.4596353107444517,1.9610217080545653,A,S1_ideal,B,50.0
0.35,blind_rmse_M,0,14,0,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,A,S1_ideal,C,0.001
0.9,blind_rmse_M,3,36,4,40,0.0,0.0,1.0,0.6666666666666666,3.778890144883374,2.233765828320895,3.4884031303371064,2.8610844793290005,3.63364663761024,nan,nan,nan,nan,nan,4.083302658057797,2.7483412912917777,3.2345326481623116,2.9914369697270446,3.6589176531100547,2.6693564717244542,1.9279807622060134,2.3072740084521053,2.1176273853290595,2.48831524008828,0.7142857142857143,0.5,0.625,0.5625,0.6696428571428572,0.7142857142857143,0.5,0.625,0.5625,0.6696428571428572,0.7142857142857143,0.5,0.625,0.5625,0.6696428571428572,1.1818999331058464,0.8095590953751746,0.982589534044978,0.8960743147100763,1.0822447335754122,2.066083903778826,1.4058280135704713,1.6396810845682452,1.5227545490693584,1.8528824941735356,A,S1_ideal,C,0.002
